SSC_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC70086,7,9,16,34,27,27,16,9,0,152,0,0,0,0,0,0,4,0,0,9,37,17,10,6,3,4,4,0,0,88,81,88,128,139,82,67,23,12,0,626
SSC70087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11
SSC70088,0,3,3,10,10,17,18,10,0,70,0,3,3,3,3,6,6,3,4,32,13,10,74,44,37,50,32,8,4,273,67,135,538,432,429,415,202,51,17,2290
SSC70089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,7,0,0,0,0,20,13,33,82,37,24,9,3,0,0,197
SSC70090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,9,13,23,10,6,0,0,76,7,19,22,31,44,23,13,0,0,158
SSC70091,0,3,6,3,4,9,3,0,0,29,0,0,0,0,0,4,7,4,0,19,0,0,3,3,0,0,0,0,0,7,16,27,49,43,26,30,18,3,0,206
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,3,3,3,3,11,3,11,0,0,37
SSC70094,0,0,0,0,6,7,9,0,0,28,0,0,0,0,5,6,0,0,0,12,3,3,4,3,5,0,3,0,0,23,20,39,41,37,44,30,17,3,0,228
SSC70095,0,3,9,5,8,3,0,0,0,33,0,0,3,0,0,4,5,3,0,19,0,0,0,0,0,0,0,0,0,0,6,23,19,21,18,13,4,3,0,112
