SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC70159,..,27,57,12,9,4,0,0,0,113,..,4,26,13,17,33,18,11,0,136,3,4,12,0,6,5,3,0,0,37,228,149,402,204,196,154,67,24,8,1441,..,17,283,246,236,173,95,25,8,1087,..,36,200,65,57,39,14,0,0,413,..,3,3,9,31,7,3,3,0,65,483,..,..,..,..,..,..,..,..,483,..,74,..,..,..,..,..,..,..,74,..,54,19,6,4,0,0,0,0,84,..,17,12,9,5,0,6,3,0,52,..,21,55,13,0,0,0,0,0,89,..,55,133,36,19,12,5,0,0,267,..,20,57,52,66,71,44,27,7,349,6,6,29,10,14,14,8,3,0,75,490,307,786,448,437,322,172,62,18,3040
SSC70160,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,..,0,0,3,3,5,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,8,0,0,3,0,0,0,0,0,0,3,0,0,4,3,3,5,3,3,0,26
SSC70161,..,6,15,8,7,12,10,3,0,51,..,3,22,13,26,46,28,26,8,180,11,7,10,8,3,9,4,0,0,44,384,220,329,320,322,276,135,63,8,2062,..,17,241,377,404,338,173,61,0,1606,..,40,164,73,65,47,16,0,0,413,..,9,20,46,47,20,12,6,0,162,798,..,..,..,..,..,..,..,..,798,..,194,..,..,..,..,..,..,..,194,..,166,83,30,11,4,0,0,0,297,..,24,14,7,10,10,12,10,3,97,..,21,31,20,7,7,5,0,0,90,..,11,27,28,18,15,13,7,0,127,..,8,42,33,50,80,59,28,11,313,14,10,18,12,6,12,7,3,0,86,816,510,645,634,629,537,297,112,15,4190
SSC70162,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,4,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,10,3,0,30,..,0,0,0,3,14,8,4,0,28,..,0,4,3,4,8,9,0,0,24,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,..,0,0,0,0,7,9,0,0,13,0,0,0,0,0,0,0,0,0,3,0,0,5,5,6,22,28,4,0,72
SSC70163,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,..,0,0,0,0,4,3,0,0,7,..,0,3,0,0,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,3,..,..,..,..,..,..,..,..,3,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,7,0,4,4,4,0,0,25
SSC70164,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,0,0,0,0,13,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,6,..,..,..,..,..,..,..,..,6,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,3,3,0,3,3,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,4,3,3,3,3,0,0,23
SSC70165,..,0,0,0,0,3,0,0,0,5,..,0,0,0,3,4,0,0,0,7,0,0,0,0,3,0,0,0,0,10,44,30,24,27,26,25,5,3,0,175,..,0,10,24,31,30,10,0,0,103,..,4,14,13,16,0,0,0,0,50,..,0,0,8,5,0,0,0,0,14,74,..,..,..,..,..,..,..,..,74,..,24,..,..,..,..,..,..,..,24,..,10,5,0,0,0,0,0,0,16,..,3,0,0,0,0,0,0,0,7,..,5,0,0,0,0,0,0,0,4,..,3,3,0,0,3,0,0,0,10,..,3,4,3,6,10,7,0,0,36,3,4,3,0,3,7,0,0,0,19,81,56,37,53,56,55,19,4,0,365
SSC70166,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,12,15,18,8,7,4,0,0,80,..,3,15,19,6,4,7,0,0,50,..,4,11,8,6,6,0,0,0,40,..,0,0,0,0,0,0,0,0,6,43,..,..,..,..,..,..,..,..,43,..,3,..,..,..,..,..,..,..,3,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,47,19,28,24,16,8,6,0,0,150
SSC70167,..,12,13,6,4,3,0,0,0,41,..,0,4,6,6,10,17,3,0,52,5,0,3,4,3,3,0,0,0,18,146,105,149,120,109,80,66,15,0,793,..,11,84,115,108,75,59,20,3,468,..,12,52,26,27,20,8,0,0,147,..,7,9,24,27,14,8,3,0,92,305,..,..,..,..,..,..,..,..,305,..,63,..,..,..,..,..,..,..,63,..,54,22,8,3,0,0,0,0,96,..,35,21,17,15,17,8,7,0,113,..,11,22,4,10,3,0,0,0,50,..,18,35,18,18,7,5,4,0,103,..,3,7,18,13,20,26,3,0,91,5,5,8,3,3,3,0,4,0,37,310,217,270,229,226,159,117,41,7,1571
SSC70168,..,0,11,0,0,3,0,0,0,13,..,0,3,3,3,0,7,5,0,23,3,3,3,0,8,0,0,0,0,18,342,147,216,192,118,43,29,7,0,1102,..,25,232,332,205,69,33,9,0,904,..,38,89,29,19,6,3,0,0,180,..,3,3,5,9,3,0,0,0,23,652,..,..,..,..,..,..,..,..,652,..,121,..,..,..,..,..,..,..,121,..,58,17,3,0,0,0,0,0,78,..,7,11,0,0,6,0,0,0,31,..,6,8,0,0,0,0,0,0,17,..,15,17,3,7,3,0,0,0,39,..,3,11,11,6,4,8,8,0,41,8,3,5,0,6,3,0,0,0,28,654,285,398,380,246,93,53,20,0,2127
