SSC_CODE_2016,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_H_or_W_in_RM_0_14,P_H_or_W_in_RM_15_24,P_H_or_W_in_RM_25_34,P_H_or_W_in_RM_35_44,P_H_or_W_in_RM_45_54,P_H_or_W_in_RM_55_64,P_H_or_W_in_RM_65_74,P_H_or_W_in_RM_75_84,P_H_or_W_in_RM_85ov,P_H_or_W_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC70169,..,8,8,6,6,5,4,0,0,36,..,0,12,5,18,25,22,14,3,103,7,11,9,3,8,3,5,0,0,43,311,168,203,200,199,168,76,35,6,1367,..,4,117,211,190,201,72,27,4,830,..,20,92,64,50,13,7,0,0,240,..,9,25,38,40,32,17,4,0,148,576,..,..,..,..,..,..,..,..,576,..,122,..,..,..,..,..,..,..,122,..,87,63,19,12,3,0,0,0,184,..,30,26,7,11,20,16,7,3,108,..,19,22,9,12,3,5,0,0,62,..,12,12,19,31,17,5,0,0,101,..,3,30,19,35,54,40,17,3,203,16,15,18,9,10,5,5,3,0,74,587,321,393,394,376,345,162,58,15,2646
SSC70170,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70171,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70172,..,3,0,0,0,0,0,0,0,6,..,0,3,0,3,5,0,0,0,14,9,5,3,3,3,4,0,0,0,28,271,209,200,132,113,71,11,9,3,1001,..,123,232,176,116,65,8,0,0,714,..,7,32,15,11,6,0,0,0,64,..,15,22,15,24,18,5,3,0,94,568,..,..,..,..,..,..,..,..,568,..,43,..,..,..,..,..,..,..,43,..,115,52,8,4,0,0,0,0,182,..,85,59,50,47,19,11,9,0,280,..,0,3,0,0,0,0,0,0,7,..,9,6,0,3,3,0,0,0,19,..,0,7,3,5,7,3,0,0,26,21,16,13,14,3,5,0,0,0,63,584,403,408,278,224,131,24,9,3,2068
SSC70173,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,10,7,7,0,0,0,29,..,0,4,11,3,3,0,0,0,27,..,0,3,0,0,0,0,0,0,3,..,0,0,0,3,0,0,0,0,3,17,..,..,..,..,..,..,..,..,17,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,5,..,0,0,0,3,4,0,0,0,9,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,17,4,14,16,11,14,0,0,0,72
SSC70174,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70175,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10
SSC70176,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,10,0,0,3,0,0,0,0,0,0,6,68,30,34,47,59,39,11,7,0,296,..,0,26,83,93,52,14,6,0,283,..,7,14,9,24,13,3,0,0,64,..,0,4,0,3,3,0,0,0,17,158,..,..,..,..,..,..,..,..,158,..,22,..,..,..,..,..,..,..,22,..,32,11,3,0,0,0,0,0,45,..,0,0,0,4,0,0,3,0,7,..,0,4,3,0,3,0,0,0,12,..,4,7,3,0,0,0,0,0,13,..,0,3,0,5,0,0,0,0,16,6,3,3,3,0,3,0,0,0,10,162,70,68,107,133,78,22,11,3,649
SSC70177,..,0,0,0,0,0,0,0,0,9,..,0,3,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0,0,10,57,18,26,29,32,15,9,4,0,193,..,0,15,33,40,17,9,3,0,121,..,3,7,9,13,5,0,3,0,49,..,0,3,8,4,5,0,0,0,22,107,..,..,..,..,..,..,..,..,107,..,16,..,..,..,..,..,..,..,16,..,14,5,5,3,0,0,0,0,20,..,0,0,0,3,0,0,0,0,8,..,0,4,0,0,3,0,0,0,7,..,0,4,8,9,4,0,0,0,28,..,0,3,8,9,20,12,0,0,54,4,3,0,0,4,0,0,0,0,14,110,38,48,69,83,54,30,11,0,444
SSC70178,..,0,12,0,6,7,0,0,0,25,..,0,3,7,11,26,22,8,4,68,3,3,0,7,0,0,0,0,0,18,97,54,94,93,103,110,67,13,5,634,..,7,73,99,117,125,72,17,0,509,..,13,50,32,34,34,9,0,0,178,..,4,3,7,15,7,4,0,3,40,192,..,..,..,..,..,..,..,..,192,..,50,..,..,..,..,..,..,..,50,..,40,9,6,0,4,0,0,0,53,..,0,4,4,0,4,5,4,0,23,..,3,9,3,0,0,0,0,0,19,..,0,19,9,5,11,9,0,0,62,..,0,7,11,22,52,35,15,4,148,3,3,3,6,0,3,3,0,0,33,193,121,188,177,200,233,139,34,8,1305
SSC70179,..,0,0,0,0,0,0,0,0,0,..,0,0,3,5,7,3,3,0,14,0,0,0,0,0,0,0,0,0,5,25,12,10,19,29,24,14,8,0,131,..,0,9,15,25,26,21,7,0,99,..,0,4,9,10,0,0,0,0,27,..,0,0,0,3,0,0,0,0,4,42,..,..,..,..,..,..,..,..,42,..,0,..,..,..,..,..,..,..,0,..,4,0,0,0,0,0,0,0,8,..,4,0,3,7,4,0,0,0,24,..,0,0,0,0,4,3,0,0,7,..,0,0,0,0,0,0,0,0,0,..,0,0,4,9,17,10,3,0,44,5,0,0,0,5,0,0,0,0,9,46,14,19,32,59,51,34,13,0,270
SSC70180,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,6,0,0,7,0,0,0,0,0,0,0,0,0,3,16,15,5,7,9,15,11,0,0,79,..,3,5,3,11,15,18,0,0,48,..,8,3,3,7,10,0,0,0,34,..,0,0,0,0,0,0,0,0,3,27,..,..,..,..,..,..,..,..,27,..,0,..,..,..,..,..,..,..,0,..,8,0,0,0,0,0,0,0,14,..,12,3,0,0,0,0,0,0,15,..,4,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,3,0,9,10,7,0,0,29,0,0,0,0,0,0,0,0,0,3,27,32,18,13,26,36,28,3,0,187
SSC70181,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,3,6,3,0,11,0,0,0,0,0,0,0,0,0,0,82,29,40,65,38,32,26,13,0,318,..,0,28,83,56,43,28,17,3,252,..,3,21,21,11,15,4,0,0,80,..,0,0,8,4,8,0,0,0,18,158,..,..,..,..,..,..,..,..,158,..,31,..,..,..,..,..,..,..,31,..,35,6,4,0,0,0,0,0,47,..,0,3,4,0,9,3,4,0,26,..,3,0,3,3,3,0,0,0,15,..,0,0,5,3,3,3,0,0,15,..,3,4,9,3,8,12,6,0,38,0,0,3,0,0,0,0,0,0,4,158,77,67,129,84,83,50,26,0,680
SSC70182,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3
SSC70183,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70184,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,0,5,0,0,23,..,0,0,3,3,0,10,0,0,15,..,0,0,0,0,3,0,0,0,3,..,0,0,0,0,0,0,0,0,0,7,..,..,..,..,..,..,..,..,7,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,10,0,3,0,0,0,0,14,..,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,7,5,14,4,12,5,10,0,0,57
SSC70185,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,9,56,41,28,21,32,16,3,3,0,200,..,7,0,0,9,8,3,0,0,25,..,13,31,24,21,16,3,3,0,113,..,0,8,5,3,4,0,0,0,21,98,..,..,..,..,..,..,..,..,98,..,18,..,..,..,..,..,..,..,18,..,22,4,0,3,0,0,0,0,29,..,18,10,7,11,5,0,0,0,52,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,0,3,7,5,0,0,0,0,17,0,5,0,0,0,0,0,0,0,10,103,81,49,53,55,39,8,3,0,383
SSC70186,..,0,4,0,0,0,0,0,0,4,..,0,0,0,0,3,0,0,0,8,4,0,0,3,0,0,0,0,0,12,152,101,95,94,64,43,15,3,0,570,..,20,83,82,52,30,7,0,0,266,..,0,11,7,7,0,0,0,0,25,..,13,17,22,22,18,12,0,0,99,329,..,..,..,..,..,..,..,..,329,..,41,..,..,..,..,..,..,..,41,..,67,38,25,8,0,0,0,0,143,..,85,52,41,37,26,4,3,0,246,..,0,0,0,0,0,0,0,0,0,..,0,5,0,0,0,0,0,0,5,..,0,5,3,5,5,0,0,0,17,3,4,3,0,0,0,0,0,0,19,332,234,207,180,131,79,30,5,0,1202
SSC70187,..,3,18,6,12,5,3,0,0,46,..,4,17,21,24,26,21,17,0,126,6,3,11,0,5,10,3,0,0,44,198,120,219,185,164,114,79,34,4,1115,..,5,170,180,117,109,59,27,3,677,..,26,88,57,69,25,10,0,0,271,..,6,9,30,32,17,14,4,0,106,395,..,..,..,..,..,..,..,..,395,..,69,..,..,..,..,..,..,..,69,..,68,33,16,3,3,0,0,0,126,..,22,22,4,11,14,9,8,4,83,..,8,19,11,10,4,3,0,0,59,..,20,61,27,29,19,3,0,0,153,..,10,31,33,51,44,34,30,3,234,12,8,24,5,8,8,11,3,0,79,400,247,454,369,315,237,144,76,7,2248
SSC70188,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,15,16,12,11,3,0,0,0,68,..,0,13,16,11,4,3,0,0,48,..,3,5,0,0,0,0,0,0,6,..,0,0,3,0,0,0,0,0,9,34,..,..,..,..,..,..,..,..,34,..,0,..,..,..,..,..,..,..,0,..,14,4,0,0,0,0,0,0,15,..,8,3,0,0,5,6,0,0,25,..,3,0,0,0,0,0,0,0,4,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,34,28,24,18,17,8,8,0,0,140
SSC70189,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,0,5,123,55,61,33,28,13,0,3,0,312,..,27,70,43,25,17,0,0,0,188,..,0,0,0,0,0,0,0,0,3,..,3,11,7,10,0,0,0,0,31,222,..,..,..,..,..,..,..,..,222,..,16,..,..,..,..,..,..,..,16,..,23,17,3,0,0,0,0,0,45,..,21,21,5,4,9,7,0,0,67,..,0,3,0,0,0,0,0,0,10,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,3,0,0,0,3,4,7,0,0,3,0,0,0,0,12,230,108,120,60,44,28,5,0,0,596
SSC70190,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,18,13,22,10,8,3,0,0,113,..,8,23,15,15,9,8,0,0,76,..,0,0,0,0,0,0,0,0,3,..,0,3,5,0,0,0,0,0,13,62,..,..,..,..,..,..,..,..,62,..,8,..,..,..,..,..,..,..,8,..,11,10,0,0,0,0,0,0,26,..,5,0,0,0,3,0,0,0,20,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,7,3,0,3,0,0,0,0,0,0,9,68,39,38,28,20,18,13,0,0,221
SSC70191,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70192,..,0,3,0,3,3,4,0,0,18,..,0,3,3,7,14,5,3,0,39,0,4,0,3,10,3,0,0,0,23,186,98,116,147,121,99,65,18,8,866,..,7,111,173,114,110,73,27,3,607,..,14,38,38,30,27,7,3,0,156,..,6,5,28,24,9,14,4,0,100,395,..,..,..,..,..,..,..,..,395,..,97,..,..,..,..,..,..,..,97,..,67,32,22,13,0,0,0,0,133,..,16,7,9,9,8,6,0,3,60,..,13,16,5,14,3,0,0,0,56,..,3,14,4,17,9,4,0,0,47,..,0,9,11,16,35,17,10,0,93,6,6,3,5,10,7,3,0,0,38,400,225,236,293,236,205,131,46,10,1780
SSC70193,..,3,10,0,7,7,3,0,0,33,..,4,13,12,11,25,27,10,3,107,6,8,10,5,4,3,3,0,0,34,335,175,219,195,166,122,72,22,6,1307,..,11,100,143,149,105,57,20,0,575,..,50,107,87,50,19,9,0,0,323,..,14,60,60,48,28,10,0,3,226,702,..,..,..,..,..,..,..,..,702,..,115,..,..,..,..,..,..,..,115,..,94,31,6,6,0,3,0,0,152,..,22,11,13,8,8,9,5,3,84,..,15,11,3,6,0,0,0,0,41,..,4,28,8,22,16,3,0,0,79,..,9,24,35,45,58,46,11,3,235,21,17,15,4,8,8,3,0,0,73,721,351,392,372,342,239,142,40,6,2606
SSC70194,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,9,..,0,4,0,0,0,0,0,0,10,..,0,0,3,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,4,..,..,..,..,..,..,..,..,4,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,15
SSC70195,..,3,6,0,0,0,0,0,0,12,..,3,6,4,0,5,3,0,0,26,0,3,3,0,0,0,0,0,0,6,54,20,53,34,28,19,4,3,0,217,..,3,54,49,38,29,3,0,0,181,..,4,11,16,3,3,0,0,0,38,..,0,3,0,0,0,0,0,0,8,100,..,..,..,..,..,..,..,..,100,..,18,..,..,..,..,..,..,..,18,..,4,3,0,0,0,0,0,0,11,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,..,3,10,0,0,0,0,0,0,16,..,7,16,16,7,11,8,0,0,60,0,3,3,0,5,5,0,0,0,11,101,47,101,80,61,52,7,6,0,444
SSC70196,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,10,11,18,12,0,5,0,0,83,..,3,9,22,15,0,0,0,0,52,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,8,44,..,..,..,..,..,..,..,..,44,..,0,..,..,..,..,..,..,..,0,..,9,5,0,0,0,0,0,0,18,..,5,4,7,4,4,3,0,0,23,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,44,24,23,31,25,4,4,0,0,151
SSC70197,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,3,3,3,4,7,0,0,0,26,..,0,8,3,7,4,0,0,0,26,..,0,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,12,..,..,..,..,..,..,..,..,12,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,6,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,5,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,0,4,14,3,12,7,11,13,4,0,0,62
SSC70198,..,8,11,3,0,0,0,0,0,24,..,0,0,0,0,3,0,0,0,4,5,8,8,3,0,4,0,0,0,31,343,141,313,181,91,39,4,3,0,1119,..,22,322,301,151,54,9,0,0,862,..,80,156,39,23,3,0,0,0,300,..,0,6,8,10,4,0,0,0,31,683,..,..,..,..,..,..,..,..,683,..,69,..,..,..,..,..,..,..,69,..,29,15,0,0,0,0,0,0,45,..,20,16,4,6,10,4,0,0,61,..,14,26,4,4,0,3,0,0,51,..,20,35,9,0,0,0,0,0,70,..,5,5,6,7,6,0,0,0,23,15,14,12,4,3,3,0,0,0,46,692,273,599,378,201,74,15,6,0,2243
SSC70199,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,0,..,0,..,..,..,..,..,..,..,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70200,..,0,3,0,0,0,0,0,0,3,..,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,32,18,16,24,16,8,5,0,0,116,..,13,15,13,18,8,3,0,0,62,..,0,3,3,4,0,0,0,0,13,..,0,0,6,3,0,0,0,0,16,44,..,..,..,..,..,..,..,..,44,..,5,..,..,..,..,..,..,..,5,..,10,3,0,0,0,0,0,0,17,..,8,3,3,0,3,3,4,0,33,..,3,0,0,0,0,0,0,0,3,..,0,4,0,0,0,0,0,0,4,..,3,3,3,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,10,51,45,36,36,27,14,7,4,0,223
SSC70201,..,6,11,3,3,4,3,3,0,38,..,4,0,3,0,11,5,10,0,34,0,3,3,0,5,3,0,0,0,16,179,107,130,138,116,90,73,18,5,857,..,9,87,163,152,107,101,31,3,654,..,12,46,41,29,19,0,0,0,142,..,6,3,18,19,10,14,0,0,69,373,..,..,..,..,..,..,..,..,373,..,100,..,..,..,..,..,..,..,100,..,48,36,19,9,0,0,0,0,114,..,8,13,4,3,9,5,3,0,47,..,19,43,7,5,3,4,0,0,87,..,15,41,15,11,10,8,3,0,106,..,4,9,10,3,20,13,14,0,68,7,5,5,0,12,8,0,0,0,45,380,232,284,285,236,183,138,56,11,1801
SSC70202,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,0,0,15,..,0,5,0,0,0,0,0,0,4,..,0,3,0,0,0,0,0,0,3,..,0,3,0,0,0,0,0,0,3,5,..,..,..,..,..,..,..,..,5,..,0,..,..,..,..,..,..,..,0,..,3,0,0,0,0,0,0,0,3,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,10,3,11,5,0,5,3,0,0,36
SSC70203,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,40,29,26,17,22,17,4,0,0,174,..,8,17,5,7,22,0,0,0,63,..,3,5,8,8,6,0,0,0,33,..,5,9,7,3,3,4,0,0,32,101,..,..,..,..,..,..,..,..,101,..,11,..,..,..,..,..,..,..,11,..,18,5,0,0,0,0,0,0,32,..,11,9,4,5,5,0,0,0,42,..,0,0,0,0,0,0,0,0,0,..,0,0,3,0,0,0,0,0,3,..,0,3,3,0,5,3,0,0,19,3,3,0,0,0,0,0,0,0,3,102,57,53,38,27,35,7,3,0,319
SSC70204,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,18,3,13,6,10,4,0,0,0,49,..,3,4,0,6,4,0,0,0,17,..,4,5,3,3,3,0,0,0,19,..,0,0,4,3,0,0,0,0,7,42,..,..,..,..,..,..,..,..,42,..,0,..,..,..,..,..,..,..,0,..,5,8,3,0,0,0,0,0,13,..,4,3,3,3,0,0,0,0,8,..,0,0,0,0,0,0,0,0,0,..,0,0,0,0,0,0,0,0,0,..,0,0,0,3,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,42,18,26,12,18,6,0,0,0,121
