SSC_CODE_2016,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,3,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,4,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,0,3,13,4,7,7,3,0,0,37,0,3,3,0,3,0,0,0,0,15,0,3,3,4,4,5,4,0,0,27,0,0,7,0,0,5,0,0,0,15,0,0,5,4,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,6,0,0,0,21,0,13,38,18,22,28,7,0,0,123,0,3,13,0,3,4,4,0,0,27,0,0,6,0,0,0,0,0,0,8,0,3,8,0,5,3,0,0,0,17,0,0,0,0,3,0,0,0,0,7,0,0,0,5,3,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,9,3,4,33,6,17,17,4,0,0,91,0,9,27,7,11,10,9,0,0,67,0,4,9,0,4,0,0,0,0,25,3,3,13,4,13,10,4,0,0,45,0,0,3,3,3,7,0,0,0,16
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,5,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SSC70059,22,34,248,150,84,72,33,14,3,652,5,17,29,17,27,15,9,9,0,127,8,9,21,30,30,35,21,3,0,163,0,0,7,5,12,13,8,4,0,47,0,0,5,3,3,11,21,12,0,59,0,0,0,0,0,0,3,0,0,10,3,12,64,32,23,32,16,12,0,192,43,83,373,234,174,177,115,43,10,1253,6,64,276,143,95,66,31,9,3,696,4,9,13,15,23,10,15,7,0,93,0,11,22,16,33,31,11,18,4,151,0,5,13,5,9,4,10,4,3,49,0,0,0,7,3,9,11,14,5,59,0,0,0,3,0,0,0,4,3,14,5,15,65,14,27,28,18,8,3,185,24,104,390,208,191,160,91,58,17,1242,28,103,530,290,179,138,60,21,6,1353,12,26,40,29,51,32,22,8,0,221,8,21,45,43,69,72,35,20,6,312,0,3,16,16,21,18,16,5,4,98
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70061,0,8,9,14,17,10,9,6,0,76,0,0,4,0,4,6,0,0,0,13,0,4,3,6,6,4,4,3,0,29,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,7,3,0,26,3,11,15,26,38,31,21,11,0,161,3,7,13,11,14,15,6,3,0,65,0,0,4,3,3,9,0,0,0,21,0,0,4,4,14,3,3,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,5,6,0,0,27,5,8,20,26,35,29,17,9,5,155,5,14,22,33,26,23,13,9,0,143,3,0,9,6,15,13,0,0,0,43,0,3,8,8,18,8,5,3,0,55,0,0,0,0,3,0,3,0,0,10
SSC70062,0,19,31,7,3,0,5,3,0,79,0,6,7,14,3,3,0,0,0,35,0,13,6,0,12,9,3,0,0,45,0,0,5,0,0,3,0,0,0,13,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,14,4,5,11,4,0,0,42,4,46,62,28,21,30,20,5,0,217,7,25,37,15,14,12,0,0,0,115,5,0,3,3,3,3,0,0,0,20,0,3,8,0,13,9,3,0,0,38,0,0,7,3,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,11,8,7,6,3,3,3,0,0,45,26,43,63,29,28,25,18,4,0,231,7,49,72,25,18,13,9,0,0,188,7,10,10,15,4,7,3,0,0,56,0,16,16,0,22,16,6,0,0,83,3,0,3,4,0,3,3,0,0,25
SSC70063,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,10,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
SSC70064,0,0,12,4,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,0,17,4,3,0,0,0,0,31,0,0,11,3,3,0,0,0,0,18,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,7,13,3,4,0,0,0,0,25,0,4,21,9,3,0,0,0,0,36,0,3,3,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
SSC70065,4,7,24,32,18,21,13,4,0,130,0,5,8,8,18,12,4,3,0,53,0,0,12,20,35,29,14,3,0,110,5,4,4,3,6,8,4,4,0,37,0,4,4,0,4,6,11,3,0,33,0,0,0,0,0,0,0,0,0,0,4,0,6,10,16,21,13,0,0,77,15,28,60,71,92,97,60,21,3,440,3,14,34,48,42,23,10,4,0,172,4,4,13,9,12,9,3,0,0,52,3,3,10,16,29,24,14,3,0,104,0,0,4,0,8,3,3,0,0,21,0,3,0,0,0,3,3,5,0,15,0,0,0,0,0,0,3,0,0,5,3,4,6,17,19,15,10,0,0,74,19,24,64,88,100,76,44,18,0,438,9,20,55,72,63,42,24,9,0,294,7,9,22,17,24,16,10,6,0,107,5,5,23,39,57,55,28,3,0,219,3,4,9,7,16,12,11,3,0,53
SSC70066,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,4,0,0,3,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SSC70067,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC70068,4,3,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,12,3,4,6,0,0,0,0,28,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,13,5,10,5,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,4
SSC70069,0,0,4,0,3,0,0,0,0,10,4,3,0,0,0,0,0,0,0,6,3,0,4,4,4,0,0,0,0,16,0,0,0,0,5,0,0,0,0,13,0,0,5,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,11,0,0,5,0,3,0,0,0,0,7,5,5,20,13,10,3,0,0,0,68,0,0,3,0,3,0,0,0,0,9,4,0,3,0,0,0,0,0,0,9,3,3,9,7,3,0,0,0,0,21,0,0,0,0,6,0,0,0,0,9,0,3,3,3,3,0,0,0,0,15,0,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,5,11,9,23,9,14,3,0,0,0,69,0,3,9,0,6,0,0,0,0,13,3,4,3,0,0,0,0,0,0,12,3,4,16,7,6,3,0,0,0,33,0,0,0,0,7,0,0,0,0,19
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,0,0,3,3,0,0,0,3,0,11,0,0,0,0,3,0,0,0,0,7,0,0,0,0,6,3,4,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,11,7,13,8,9,8,0,46,0,0,3,3,3,7,0,0,0,14,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,0,11,0,4,7,4,9,5,7,0,0,44,0,0,4,7,8,9,5,3,0,26,0,3,4,0,5,0,3,0,0,14,0,0,0,3,8,3,8,0,0,16,0,0,0,0,0,0,0,0,0,3
SSC70072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70073,21,197,860,394,238,202,87,11,5,2010,0,32,87,40,59,37,6,3,0,262,3,27,72,51,87,76,19,4,4,338,4,0,10,10,10,12,3,0,0,57,0,0,3,5,11,9,7,3,4,42,0,3,3,0,3,3,0,0,0,12,0,67,236,96,98,72,25,6,0,606,33,329,1278,599,493,411,151,27,10,3331,25,230,808,289,142,101,54,10,3,1667,9,12,32,24,56,27,3,3,0,157,3,14,38,23,59,44,13,5,0,207,0,0,5,0,10,11,3,0,0,34,0,0,4,3,3,3,7,3,0,30,0,0,0,3,5,0,0,4,0,16,7,66,176,64,60,47,21,7,0,446,48,332,1057,407,327,240,105,30,8,2552,41,435,1664,687,382,303,144,19,4,3675,11,41,116,63,109,70,14,7,0,427,5,44,109,73,141,120,37,12,4,544,3,3,17,11,24,21,11,0,0,93
SSC70074,0,5,11,21,12,13,6,4,0,72,4,0,7,4,13,8,0,0,0,39,0,0,17,22,26,13,11,5,0,89,0,0,0,3,0,7,0,0,0,16,0,0,0,0,4,3,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,4,12,12,16,8,4,3,0,53,11,13,41,55,79,56,30,10,0,292,7,4,22,31,13,10,8,0,0,95,3,0,6,9,8,6,0,0,0,29,0,0,9,3,19,12,13,0,0,53,0,0,3,0,0,0,4,0,0,11,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,4,0,9,9,4,0,0,0,29,15,12,41,48,53,30,24,0,0,233,5,11,37,49,32,24,17,4,0,171,3,3,14,17,20,10,0,0,0,68,0,3,22,21,45,28,25,5,0,145,0,0,3,3,4,7,3,0,0,24
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
SSC70076,0,0,8,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,7,3,4,3,5,3,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,3,3,3,7,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,3,0,3,0,3,0,0,0,0,11,10,12,23,14,11,5,6,3,0,86,0,3,5,3,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,3,0,0,8,0,0,3,0,3,0,0,0,0,8,0,0,9,3,3,0,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,0,11,19,10,9,4,4,0,0,59,0,6,11,3,3,3,0,0,0,27,0,0,3,4,0,0,0,0,0,15,3,3,3,10,6,0,0,0,0,31,0,0,3,0,3,0,0,0,0,7
SSC70077,0,0,6,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,0,0,3,0,0,20,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,5,0,0,0,3,0,0,16,0,0,7,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7
SSC70078,15,25,59,63,67,64,15,11,0,317,0,9,12,7,24,27,4,0,0,87,0,3,6,11,20,14,13,3,0,83,0,0,0,0,9,3,8,0,0,14,0,0,0,0,0,0,3,5,0,9,0,0,0,0,0,0,0,0,0,0,3,3,15,9,18,12,5,7,0,76,21,35,94,96,140,124,53,21,4,580,7,19,97,89,83,46,11,4,0,353,3,3,3,3,19,13,9,3,0,59,0,0,9,8,22,14,8,3,6,76,0,0,3,0,0,0,3,3,0,11,0,0,0,0,3,0,3,0,0,11,0,0,0,0,0,0,0,0,0,0,3,8,12,11,13,12,3,5,0,69,10,29,124,114,143,87,40,17,7,577,18,44,157,158,144,103,26,12,3,671,4,11,15,12,46,38,11,4,0,142,0,9,9,21,46,36,26,6,3,155,0,0,3,0,8,5,6,3,0,32
SSC70079,3,3,26,9,3,8,0,0,0,52,0,0,3,0,0,3,0,0,0,13,0,0,4,0,7,0,0,0,0,18,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,17,7,8,4,0,0,0,44,4,11,54,23,25,15,10,0,0,142,0,0,8,4,0,0,0,0,0,21,0,3,0,0,0,3,0,0,0,5,0,0,0,0,4,6,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,5,0,0,0,21,0,6,15,13,5,14,9,0,0,62,3,6,30,13,7,9,4,0,0,77,0,3,8,7,0,3,3,0,0,22,0,3,4,0,10,4,0,0,0,31,0,0,0,0,0,3,3,0,0,8
