SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC70137,23,0,225,90,550,2.2,939,5.8
SSC70138,37,2167,983,465,2321,0.8,2282,3
SSC70139,25,2817,1188,440,2503,0.9,2351,2.9
SSC70140,30,0,386,60,762,1.3,885,2.5
SSC70141,25,0,281,53,537,1.3,1343,3.7
SSC70142,31,0,280,50,754,1.4,1111,3.6
SSC70143,33,2000,824,360,2015,1,1796,3
SSC70144,35,1517,938,280,2102,0.9,1767,2.3
SSC70145,30,1733,941,250,2140,0.9,1926,2.8
SSC70146,36,1593,819,270,1687,1,1445,2.3
SSC70147,59,2200,425,142,1187,1.1,693,2.4
SSC70148,30,0,166,30,420,1.4,966,4.8
SSC70149,35,3240,1002,113,2318,1.1,2422,3.2
SSC70150,0,0,0,0,0,0,0,0
SSC70151,28,0,236,15,687,1.7,574,4
SSC70152,22,0,262,100,612,1.4,936,4.5
SSC70153,56,2026,725,0,1333,0.8,1270,1.4
SSC70154,23,0,850,0,0,0,0,0
SSC70155,42,2600,712,100,1875,1.2,1875,3.1
SSC70156,40,2427,832,153,1833,1,1607,2.7
SSC70157,24,0,366,70,734,1.7,1424,4.9
SSC70158,33,1950,1015,350,2164,0.9,1857,2.6
SSC70159,33,2253,1241,450,2859,0.9,2435,2.3
SSC70160,41,0,612,0,1375,0.9,725,2.1
SSC70161,37,2167,1011,450,2412,0.9,2183,2.7
SSC70162,62,0,733,0,1625,1.9,1274,1.7
SSC70163,40,0,474,0,725,0,849,2.3
SSC70164,38,0,754,0,0,1,900,1
SSC70165,37,2167,917,330,2232,0.9,1474,2.6
SSC70166,29,2392,1218,575,2770,1,2833,2.9
SSC70167,34,2232,869,320,2122,1,2004,2.9
SSC70168,28,3049,1267,300,2959,0.9,2902,3.4
SSC70169,35,1950,851,300,2142,1,1792,2.8
SSC70170,34,0,749,0,0,0,0,0
SSC70171,0,0,0,0,0,0,0,0
SSC70172,27,0,237,59,620,2.2,1396,5.4
SSC70173,35,2711,388,40,849,1,974,3
SSC70174,0,0,0,0,0,0,0,0
SSC70175,47,0,3000,0,0,0,0,0
SSC70176,38,3000,1355,533,3112,0.9,3125,3.2
SSC70177,39,1498,645,191,1660,1.1,1387,2.5
SSC70178,41,2167,1087,425,2386,1.1,1899,2.4
SSC70179,46,867,478,0,1174,1.2,1263,2.3
SSC70180,41,0,505,23,776,1.3,718,2.4
SSC70181,38,2450,995,525,2468,1,2282,3
SSC70182,20,0,350,0,0,0,0,0
SSC70183,0,0,0,0,0,0,0,0
SSC70184,36,0,871,40,2250,0.8,1437,2.2
SSC70185,28,0,277,70,725,1.3,820,3.4
SSC70186,26,0,238,90,714,2.1,1468,5.6
SSC70187,35,1985,891,370,1971,1,1763,2.5
SSC70188,27,0,0,30,0,1.5,0,4.9
SSC70189,21,0,274,80,691,2.2,1577,5.8
SSC70190,25,0,267,65,844,1.8,1125,4.5
SSC70191,0,0,0,0,0,0,0,0
SSC70192,36,2167,893,368,2126,1,2141,3
SSC70193,30,1966,772,255,1663,0.9,1432,2.7
SSC70194,34,0,1083,0,1625,1,1625,1.5
SSC70195,33,2457,1254,225,2687,0.8,2227,2.4
SSC70196,30,0,262,68,840,1.1,1097,4.5
SSC70197,36,0,450,0,1249,1.4,1166,1.4
SSC70198,27,3200,1277,300,2720,0.9,2758,3.3
SSC70199,0,0,0,0,0,0,0,0
SSC70200,26,0,294,50,743,1.3,1125,3.7
SSC70201,36,2167,875,465,2155,0.9,2261,3.2
SSC70202,19,0,524,20,474,0.8,2249,1.5
SSC70203,25,0,255,65,725,1.8,1083,4.1
SSC70204,26,0,280,50,875,1.8,850,4
SSC70205,22,0,465,50,1350,0.9,1350,3.4
SSC70206,20,0,231,55,511,2,1174,5.6
SSC70207,23,0,256,62,561,2.1,1286,6
SSC70208,32,1733,1230,7,2589,1,2337,2.8
SSC70209,23,0,737,0,1749,1.3,2749,5
SSC70210,35,2000,1087,375,2398,1,1988,2.4
SSC70211,28,0,365,50,669,1.4,749,2.8
SSC70212,45,2239,809,335,2088,1.1,1797,2.5
SSC70213,27,0,155,50,383,1.9,809,4.7
SSC70214,27,0,0,25,0,2,0,3
SSC70215,27,0,321,57,837,1.3,1098,3.4
SSC70216,31,0,1187,0,2249,0.6,2249,2
SSC70217,29,0,762,42,1875,1.3,1062,1.6
