SSC_CODE_2016,M_15_19_CF_Own_CCO,M_15_19_CF_Oth_CCO,M_15_19_CF_Own_CC_Oth_CC,M_15_19_CF_Total,M_15_19_DNPCC,M_15_19_UCC_NS,M_15_19_Total,M_20_24_CF_Own_CCO,M_20_24_CF_Oth_CCO,M_20_24_CF_Own_CC_Oth_CC,M_20_24_CF_Total,M_20_24_DNPCC,M_20_24_UCC_NS,M_20_24_Total,M_25_34_CF_Own_CCO,M_25_34_CF_Oth_CCO,M_25_34_CF_Own_CC_Oth_CC,M_25_34_CF_Total,M_25_34_DNPCC,M_25_34_UCC_NS,M_25_34_Total,M_35_44_CF_Own_CCO,M_35_44_CF_Oth_CCO,M_35_44_CF_Own_CC_Oth_CC,M_35_44_CF_Total,M_35_44_DNPCC,M_35_44_UCC_NS,M_35_44_Total,M_45_54_CF_Own_CCO,M_45_54_CF_Oth_CCO,M_45_54_CF_Own_CC_Oth_CC,M_45_54_CF_Total,M_45_54_DNPCC,M_45_54_UCC_NS,M_45_54_Total,M_55_64_CF_Own_CCO,M_55_64_CF_Oth_CCO,M_55_64_CF_Own_CC_Oth_CC,M_55_64_CF_Total,M_55_64_DNPCC,M_55_64_UCC_NS,M_55_64_Total,M_65_74_CF_Own_CCO,M_65_74_CF_Oth_CCO,M_65_74_CF_Own_CC_Oth_CC,M_65_74_CF_Total,M_65_74_DNPCC,M_65_74_UCC_NS,M_65_74_Total,M_75_84_CF_Own_CCO,M_75_84_CF_Oth_CCO,M_75_84_CF_Own_CC_Oth_CC,M_75_84_CF_Total,M_75_84_DNPCC,M_75_84_UCC_NS,M_75_84_Total,M_85ov_CF_Own_CCO,M_85ov_CF_Oth_CCO,M_85ov_CF_Own_CC_Oth_CC,M_85ov_CF_Total,M_85ov_DNPCC,M_85ov_UCC_NS,M_85ov_Total,M_Tot_CF_Own_CCO,M_Tot_CF_Oth_CCO,M_Tot_CF_Own_CC_Oth_CC,M_Tot_CF_Total,M_Tot_DNPCC,M_Tot_UCC_NS,M_Tot_Total,F_15_19_CF_Own_CCO,F_15_19_CF_Oth_CCO,F_15_19_CF_Own_CC_Oth_CC,F_15_19_CF_Total,F_15_19_DNPCC,F_15_19_UCC_NS,F_15_19_Total,F_20_24_CF_Own_CCO,F_20_24_CF_Oth_CCO,F_20_24_CF_Own_CC_Oth_CC,F_20_24_CF_Total,F_20_24_DNPCC,F_20_24_UCC_NS,F_20_24_Total,F_25_34_CF_Own_CCO,F_25_34_CF_Oth_CCO,F_25_34_CF_Own_CC_Oth_CC,F_25_34_CF_Total,F_25_34_DNPCC,F_25_34_UCC_NS,F_25_34_Total,F_35_44_CF_Own_CCO,F_35_44_CF_Oth_CCO,F_35_44_CF_Own_CC_Oth_CC,F_35_44_CF_Total,F_35_44_DNPCC,F_35_44_UCC_NS,F_35_44_Total,F_45_54_CF_Own_CCO,F_45_54_CF_Oth_CCO,F_45_54_CF_Own_CC_Oth_CC,F_45_54_CF_Total,F_45_54_DNPCC,F_45_54_UCC_NS,F_45_54_Total,F_55_64_CF_Own_CCO,F_55_64_CF_Oth_CCO,F_55_64_CF_Own_CC_Oth_CC,F_55_64_CF_Total,F_55_64_DNPCC,F_55_64_UCC_NS,F_55_64_Total,F_65_74_CF_Own_CCO,F_65_74_CF_Oth_CCO,F_65_74_CF_Own_CC_Oth_CC,F_65_74_CF_Total,F_65_74_DNPCC,F_65_74_UCC_NS,F_65_74_Total,F_75_84_CF_Own_CCO,F_75_84_CF_Oth_CCO,F_75_84_CF_Own_CC_Oth_CC,F_75_84_CF_Total,F_75_84_DNPCC,F_75_84_UCC_NS,F_75_84_Total,F_85ov_CF_Own_CCO,F_85ov_CF_Oth_CCO,F_85ov_CF_Own_CC_Oth_CC,F_85ov_CF_Total,F_85ov_DNPCC,F_85ov_UCC_NS,F_85ov_Total,F_Tot_CF_Own_CCO,F_Tot_CF_Oth_CCO,F_Tot_CF_Own_CC_Oth_CC,F_Tot_CF_Total,F_Tot_DNPCC,F_Tot_UCC_NS,F_Tot_Total,P_15_19_CF_Own_CCO,P_15_19_CF_Oth_CCO,P_15_19_CF_Own_CC_Oth_CC,P_15_19_CF_Total,P_15_19_DNPCC,P_15_19_UCC_NS,P_15_19_Total,P_20_24_CF_Own_CCO,P_20_24_CF_Oth_CCO,P_20_24_CF_Own_CC_Oth_CC,P_20_24_CF_Total,P_20_24_DNPCC,P_20_24_UCC_NS,P_20_24_Total,P_25_34_CF_Own_CCO,P_25_34_CF_Oth_CCO,P_25_34_CF_Own_CC_Oth_CC,P_25_34_CF_Total,P_25_34_DNPCC,P_25_34_UCC_NS,P_25_34_Total,P_35_44_CF_Own_CCO,P_35_44_CF_Oth_CCO,P_35_44_CF_Own_CC_Oth_CC,P_35_44_CF_Total,P_35_44_DNPCC,P_35_44_UCC_NS,P_35_44_Total,P_45_54_CF_Own_CCO,P_45_54_CF_Oth_CCO,P_45_54_CF_Own_CC_Oth_CC,P_45_54_CF_Total,P_45_54_DNPCC,P_45_54_UCC_NS,P_45_54_Total,P_55_64_CF_Own_CCO,P_55_64_CF_Oth_CCO,P_55_64_CF_Own_CC_Oth_CC,P_55_64_CF_Total,P_55_64_DNPCC,P_55_64_UCC_NS,P_55_64_Total,P_65_74_CF_Own_CCO,P_65_74_CF_Oth_CCO,P_65_74_CF_Own_CC_Oth_CC,P_65_74_CF_Total,P_65_74_DNPCC,P_65_74_UCC_NS,P_65_74_Total,P_75_84_CF_Own_CCO,P_75_84_CF_Oth_CCO,P_75_84_CF_Own_CC_Oth_CC,P_75_84_CF_Total,P_75_84_DNPCC,P_75_84_UCC_NS,P_75_84_Total,P_85ov_CF_Own_CCO,P_85ov_CF_Oth_CCO,P_85ov_CF_Own_CC_Oth_CC,P_85ov_CF_Total
SSC70166,0,0,0,0,0,0,0,0,0,0,3,8,0,9,8,0,0,8,5,0,16,3,0,0,9,3,0,11,3,0,0,3,6,0,11,0,0,0,0,10,0,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,0,24,38,4,64,0,0,0,0,4,0,3,3,0,0,6,0,0,9,6,0,0,6,6,0,15,16,0,0,16,3,0,13,4,0,0,3,3,0,7,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,0,26,24,6,58,0,0,0,0,3,0,6,4,3,0,7,12,0,20,13,0,0,13,20,0,31,20,0,0,17,10,0,25,3,0,0,9,9,3,18,0,0,0,0,12,0,15,3,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0
SSC70167,0,3,0,5,52,11,69,3,3,0,8,33,13,50,25,4,0,23,94,30,149,39,4,0,44,59,16,126,31,3,0,33,79,15,129,6,6,0,13,68,7,85,0,9,0,8,41,4,56,0,0,0,3,16,4,30,0,0,0,0,3,0,3,105,28,7,140,448,105,696,3,0,0,3,48,11,59,8,0,0,8,27,8,42,40,8,3,51,95,15,161,62,6,3,73,51,16,141,35,12,0,42,67,20,127,0,18,0,25,51,9,89,0,14,0,17,47,13,70,0,0,0,0,17,4,22,0,0,0,0,0,0,0,144,68,4,222,398,96,712,7,3,0,10,104,19,132,9,8,0,13,62,24,93,65,14,3,76,189,45,310,102,14,5,115,113,35,259,59,13,0,73,142,33,254,7,24,0,35,119,18,169,5,25,0,25,88,13,133,0,3,0,3,34,12,46,0,0,0,0
SSC70168,0,9,0,9,66,4,81,9,0,0,8,61,3,70,70,3,0,76,115,13,204,126,0,0,128,71,20,214,48,4,0,57,78,13,147,10,9,0,18,34,3,50,0,5,0,6,16,3,24,0,0,0,0,6,0,6,0,0,0,0,0,0,0,258,35,3,298,438,60,795,3,11,0,14,61,7,87,13,3,0,20,53,3,80,109,11,7,126,94,13,223,137,3,5,143,51,15,205,37,11,3,48,72,13,128,5,12,0,13,33,4,53,0,6,0,6,17,0,29,0,0,0,0,7,0,9,0,0,0,0,0,0,0,308,54,9,368,387,56,817,3,18,0,23,123,16,167,18,8,0,24,111,7,148,182,10,10,203,210,24,433,259,0,5,266,123,30,417,83,17,4,102,147,22,275,8,16,0,30,62,7,98,0,17,0,19,36,3,55,0,0,0,0,20,0,17,0,0,0,0
SSC70169,0,7,0,9,78,16,99,8,7,0,13,52,10,69,49,9,0,53,137,40,226,97,4,0,103,93,25,219,42,12,0,53,124,15,189,14,13,0,31,143,21,199,3,14,0,12,70,15,105,0,0,0,0,25,0,25,0,0,0,0,4,0,11,215,62,0,276,730,140,1148,0,12,0,16,72,11,102,9,10,0,20,65,10,99,80,16,6,104,94,43,237,96,6,6,109,84,24,220,42,15,0,61,137,28,227,5,34,0,41,125,26,195,0,14,0,14,58,11,88,0,6,0,7,24,7,31,0,0,0,0,6,0,6,235,113,22,366,673,158,1204,4,13,0,23,153,28,201,19,13,0,31,114,18,167,131,19,6,157,228,77,466,193,10,6,214,184,51,445,93,23,3,115,259,39,416,17,52,0,68,271,45,391,3,27,0,31,127,28,192,0,7,0,4,48,7,60,0,0,0,0
SSC70170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70172,6,27,3,35,39,14,87,19,33,17,67,34,10,116,48,48,48,138,62,18,222,42,34,28,100,38,81,224,13,31,15,54,59,9,119,6,25,0,28,35,11,71,0,4,0,3,9,0,16,0,3,0,3,0,0,4,0,0,0,0,0,0,0,135,201,111,441,274,145,865,12,36,9,56,28,7,90,31,31,29,89,21,9,126,56,32,62,145,35,29,209,35,33,30,99,27,60,191,11,34,21,60,43,22,126,0,29,3,32,36,4,76,0,7,0,7,4,0,10,0,0,0,0,4,0,11,0,0,0,0,3,0,3,147,201,151,496,197,135,831,20,68,9,96,65,23,182,47,60,46,156,64,23,238,108,80,107,288,97,47,432,81,69,54,202,63,146,412,20,61,33,113,104,26,244,6,52,3,67,65,14,147,0,8,0,12,9,0,25,0,3,0,0,6,3,9,0,0,0,0
SSC70173,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,3,3,10,3,0,0,3,3,0,4,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,22,6,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,4,0,0,6,0,0,11,0,0,0,0,4,0,5,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,14,16,3,27,0,0,0,0,3,0,4,0,0,0,3,0,0,4,7,0,0,6,9,0,12,7,0,0,7,3,3,17,3,0,0,5,5,0,11,0,0,0,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70176,0,0,0,0,17,0,16,0,0,0,0,24,0,28,8,0,0,7,19,6,34,41,0,3,47,12,3,65,18,3,0,29,45,8,79,3,5,0,11,41,3,54,0,0,0,0,11,4,18,0,0,0,0,3,0,4,0,0,0,0,0,0,0,68,13,5,92,173,30,293,0,0,0,0,12,0,19,0,3,0,4,6,0,15,21,3,3,25,9,0,40,37,6,0,38,7,3,52,7,10,4,21,38,0,61,0,8,0,10,32,6,41,0,3,0,3,7,3,11,0,0,0,0,6,0,7,0,0,0,0,0,0,0,69,29,10,108,131,16,252,0,3,0,3,31,0,35,0,3,0,4,32,4,36,29,8,3,35,32,11,78,73,7,4,87,24,10,115,28,10,3,47,85,9,137,3,11,0,16,71,10,97,0,3,0,3,17,8,27,0,0,0,0,12,3,13,0,0,0,0
SSC70177,0,0,0,0,13,8,19,0,0,0,0,8,6,15,4,0,0,4,16,10,27,18,0,0,21,19,3,42,7,3,0,14,35,12,57,4,0,0,5,36,8,49,0,0,0,0,17,4,18,0,0,0,0,4,4,12,0,0,0,0,0,0,0,38,7,0,48,146,43,242,0,0,0,0,8,4,12,0,0,0,3,4,0,8,14,0,3,18,4,6,29,25,0,0,26,9,4,30,3,4,0,4,28,6,43,0,3,0,3,13,0,14,0,0,0,3,6,4,14,0,0,0,0,5,0,4,0,0,0,0,0,0,0,45,7,5,53,75,23,147,0,0,0,0,19,10,26,0,0,0,3,12,4,19,21,0,3,20,22,8,51,40,0,0,42,26,9,78,15,6,3,23,60,20,100,4,3,0,9,49,6,67,0,3,0,3,27,5,32,0,4,0,4,9,4,14,0,0,0,0
SSC70178,0,5,0,5,28,9,49,3,0,0,6,41,15,57,23,3,0,27,77,25,129,55,0,0,54,40,23,112,24,3,0,22,83,20,121,0,11,0,17,111,13,144,0,9,0,11,63,4,76,0,0,0,0,19,3,21,0,0,0,0,7,0,7,105,37,0,143,468,111,719,0,0,0,0,26,4,36,4,3,0,6,18,13,35,33,5,0,39,60,17,116,49,0,0,54,40,0,99,18,6,0,30,78,10,119,0,18,0,18,90,12,124,0,10,0,13,57,3,69,0,4,0,4,10,0,13,0,0,0,0,5,0,5,101,49,7,155,397,63,615,0,7,0,7,61,12,82,3,4,0,13,60,22,97,58,7,5,66,138,46,244,104,7,0,109,85,21,213,41,8,0,55,156,33,241,0,35,0,33,204,22,267,3,14,0,20,119,6,150,0,0,0,0,35,3,41,0,0,0,0
SSC70179,0,0,0,0,3,0,3,0,0,0,0,5,9,18,3,0,0,3,8,10,17,9,3,0,8,9,9,28,4,0,3,5,20,8,32,0,0,0,0,27,10,35,0,3,0,3,18,10,26,0,0,0,0,6,4,10,0,0,0,0,0,0,0,21,6,5,29,88,55,170,0,0,0,0,3,0,5,0,0,0,0,0,0,3,3,0,0,4,3,3,17,5,0,0,6,3,9,20,3,3,0,4,20,10,30,0,5,0,5,18,13,32,0,5,0,5,8,10,19,0,0,0,0,3,0,8,0,0,0,0,0,0,0,19,9,9,32,58,38,129,0,0,3,7,8,3,14,0,0,0,4,8,9,21,12,0,0,15,8,10,29,12,3,3,18,8,18,44,8,3,3,16,34,19,66,0,5,0,4,43,25,70,0,8,0,8,22,15,41,0,0,0,0,7,4,15,0,0,0,0
SSC70180,0,0,0,0,11,3,12,0,0,0,0,11,3,15,3,3,0,3,21,3,28,8,0,0,11,21,4,28,0,0,0,0,26,6,37,0,0,0,3,19,4,22,0,0,0,0,21,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,5,0,18,128,26,171,0,0,0,0,5,3,11,0,0,0,0,6,0,12,0,0,0,0,9,4,9,0,0,0,0,4,0,8,0,0,0,0,8,0,11,0,4,0,3,14,4,26,0,0,0,0,13,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,12,66,13,93,0,0,0,0,12,11,24,0,0,0,0,21,3,23,6,3,0,5,31,5,40,8,3,0,12,21,4,39,0,0,0,3,41,6,46,3,3,0,9,38,8,49,0,0,0,0,32,3,38,0,0,0,0,0,0,3,0,0,0,0
SSC70181,0,0,0,0,27,5,32,0,0,0,0,18,0,22,8,0,0,7,18,4,35,36,0,0,42,26,8,71,19,0,3,24,27,4,54,7,0,0,11,35,9,55,0,3,0,3,24,8,38,0,0,0,0,15,7,17,0,0,0,0,0,0,0,75,10,4,85,194,45,322,0,4,0,7,17,5,23,0,0,0,0,6,0,9,23,0,0,23,16,10,48,42,0,0,45,17,9,76,14,4,0,14,23,6,46,3,5,0,5,31,8,41,0,3,0,3,18,6,29,0,0,0,0,10,4,13,0,0,0,0,3,3,3,86,18,0,103,132,46,278,0,4,0,5,44,7,52,0,0,0,0,28,0,28,30,0,0,32,36,16,78,79,3,3,85,45,16,148,32,4,3,40,45,13,97,11,5,0,18,68,17,94,0,3,0,8,45,12,66,0,3,0,3,22,9,34,0,0,0,0
SSC70182,0,0,0,0,0,3,3,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,17,0,0,0,0,0,12,12,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70184,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,11,0,11,0,0,0,0,3,0,3,0,0,0,0,5,0,6,0,0,0,0,4,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,27,3,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,8,3,16,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,12,0,13,3,0,0,3,3,0,4,3,0,0,3,5,3,12,0,0,0,0,3,0,9,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0
SSC70185,3,0,0,3,20,0,24,4,3,0,10,9,0,23,9,0,0,12,12,0,24,9,3,0,14,19,0,34,4,0,0,4,22,0,30,0,4,0,4,18,0,20,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,12,0,45,102,6,146,0,3,0,3,15,0,17,4,3,0,9,7,0,21,23,0,0,27,7,0,28,7,0,0,11,6,0,21,11,6,0,13,17,0,30,0,3,0,3,16,0,16,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,50,18,0,65,84,0,148,3,3,0,4,36,0,41,15,3,0,18,22,0,40,33,0,0,34,22,0,56,21,3,0,24,23,0,53,11,6,0,15,42,3,60,0,5,0,5,31,0,40,0,0,0,0,11,0,6,0,0,0,0,3,0,3,0,0,0,0
SSC70186,3,24,0,28,50,5,73,9,21,4,29,29,0,59,19,38,10,60,54,0,111,21,21,12,49,35,4,91,8,27,4,41,23,0,68,3,17,3,20,16,0,35,0,3,0,3,11,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,145,28,234,213,14,460,7,24,0,39,21,0,62,14,14,10,31,6,0,44,30,36,11,80,19,0,100,33,32,16,78,20,0,99,5,36,4,47,20,0,67,0,23,10,35,7,0,43,0,4,0,7,6,0,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,86,182,55,321,106,5,436,8,45,3,60,68,4,136,20,37,10,65,38,0,104,52,75,18,138,69,0,214,47,48,29,130,59,5,193,15,64,15,93,43,0,134,3,38,8,55,26,0,78,0,11,0,11,16,0,30,0,3,0,3,0,0,5,0,0,0,0
SSC70187,0,3,0,3,58,11,68,5,3,0,5,53,12,74,56,3,0,60,179,35,276,67,3,0,68,109,24,206,43,5,0,50,111,21,177,13,11,0,21,94,8,131,0,13,0,13,51,13,75,0,8,0,8,37,9,48,0,0,0,0,0,0,3,183,43,0,231,695,126,1056,0,9,0,9,48,9,65,9,4,0,11,53,12,74,75,12,0,87,134,19,239,88,10,0,94,97,20,210,41,14,3,57,106,21,183,5,24,0,29,82,17,131,0,10,0,11,60,11,88,0,6,0,6,31,3,34,0,0,0,0,7,0,4,218,81,9,303,614,123,1040,0,11,0,11,100,18,129,9,9,0,16,105,23,152,129,15,0,145,313,63,518,155,7,4,171,207,46,420,89,19,3,104,219,41,357,19,36,0,50,178,26,263,0,25,0,24,114,23,165,0,12,0,12,68,12,83,0,0,0,0
SSC70188,0,0,0,0,0,3,3,0,0,0,0,0,12,12,0,0,0,0,0,8,8,0,0,0,0,0,10,11,0,0,0,0,0,10,10,0,0,0,0,0,4,4,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,55,0,0,0,0,0,7,7,0,0,0,0,0,4,9,0,0,0,0,0,16,16,0,0,0,0,0,11,12,0,0,0,0,0,11,11,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,51,0,0,0,0,0,16,16,0,0,0,0,0,14,18,0,0,0,0,0,24,24,0,0,0,0,0,21,18,0,0,0,0,0,17,17,0,0,0,0,0,8,8,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0
SSC70189,0,7,0,9,18,6,31,7,3,0,13,5,0,22,27,7,6,38,16,3,59,10,6,7,18,11,0,28,3,4,0,6,12,0,17,0,6,0,7,11,4,21,0,3,0,3,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,31,17,94,81,10,188,0,3,0,11,18,8,34,13,8,3,20,4,0,26,35,9,12,47,13,0,64,12,10,5,24,7,0,33,10,4,3,15,16,0,29,0,6,0,6,12,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,63,32,25,122,65,10,198,3,14,0,16,39,10,59,21,7,3,36,13,0,49,59,18,16,90,32,3,125,19,15,11,45,20,0,60,6,9,4,18,23,0,45,0,9,0,11,23,3,39,0,3,3,6,6,0,11,0,0,0,3,0,0,0,0,0,0,0
SSC70190,0,3,0,9,6,0,13,0,3,0,3,5,0,7,10,5,3,21,3,0,21,0,3,4,6,5,0,11,6,3,0,5,3,0,13,0,3,0,3,3,0,6,0,3,0,3,8,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,23,10,47,35,5,83,0,3,0,5,5,3,8,3,0,0,5,0,0,8,12,0,5,15,0,0,20,4,3,3,10,8,3,19,3,3,0,7,6,0,7,0,4,3,8,3,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,23,11,50,22,8,82,3,12,0,15,11,0,24,3,4,0,8,6,0,16,22,4,7,33,10,0,41,9,8,7,21,6,6,33,3,6,0,12,10,0,20,0,3,5,13,5,3,18,0,4,0,4,9,0,13,0,0,0,0,0,0,0,0,0,0,0
SSC70191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70192,0,10,3,14,64,13,91,0,0,0,3,41,3,52,34,10,0,40,74,7,127,64,0,0,66,78,19,161,35,5,4,43,71,19,136,15,14,0,21,87,11,121,3,4,0,11,59,13,85,0,3,0,3,21,9,34,0,0,0,0,3,0,3,154,44,10,206,507,91,804,0,14,0,17,43,7,69,6,0,0,7,32,3,39,49,7,3,50,64,19,135,80,3,8,91,57,17,169,37,7,3,51,75,3,128,6,19,0,27,72,16,117,5,13,0,14,49,14,72,0,0,0,0,20,5,23,0,0,0,0,3,0,4,190,61,13,260,405,81,753,4,24,3,30,110,19,159,9,0,0,12,71,8,92,80,9,3,98,140,26,259,146,3,4,162,132,31,329,80,13,6,99,147,24,270,19,36,0,49,152,25,231,7,14,0,23,107,27,153,0,3,0,3,39,10,54,0,0,0,0
