SSC_CODE_2016,R1,R2,R3,R4,R5,R6
SSC70154,0,0,0,0,0,0
SSC70155,19,21,32,18,13,0
SSC70156,15,21,29,21,3,6
SSC70157,0,11,24,3,0,0
SSC70158,30,158,387,113,12,3
SSC70159,89,520,431,201,29,9
SSC70160,0,0,3,3,0,0
SSC70161,30,362,695,318,74,16
SSC70162,22,0,0,0,0,0
SSC70163,0,0,0,4,0,0
SSC70164,8,0,0,3,0,0
SSC70165,13,26,51,30,14,0
SSC70166,4,4,17,15,3,0
SSC70167,28,85,243,115,28,9
SSC70168,0,19,169,366,62,9
SSC70169,33,176,467,161,35,11
SSC70170,0,0,0,0,0,0
SSC70171,0,0,0,0,0,0
SSC70172,21,116,133,26,11,0
SSC70173,0,0,9,5,7,0
SSC70174,0,0,0,0,0,0
SSC70175,0,0,0,0,0,0
SSC70176,16,8,50,79,39,13
SSC70177,30,48,46,17,4,5
SSC70178,78,174,130,102,15,7
SSC70179,22,21,23,4,0,0
SSC70180,12,18,11,4,0,0
SSC70181,15,30,72,64,21,10
SSC70182,0,0,0,0,0,0
SSC70183,0,0,0,0,0,0
SSC70184,3,6,7,5,0,0
SSC70185,3,27,61,4,0,0
SSC70186,4,47,84,20,0,0
SSC70187,30,362,352,91,24,6
SSC70188,0,10,17,3,0,0
SSC70189,4,18,38,9,0,0
SSC70190,0,15,24,4,0,0
SSC70191,0,0,0,0,0,0
SSC70192,11,74,302,142,43,4
SSC70193,42,193,579,96,16,0
SSC70194,4,0,0,0,0,0
SSC70195,26,28,93,33,5,3
SSC70196,0,3,24,5,0,0
SSC70197,7,3,3,0,3,0
SSC70198,0,3,266,367,30,9
SSC70199,0,0,0,0,0,0
SSC70200,3,15,25,14,0,0
SSC70201,0,47,284,158,41,14
SSC70202,0,5,3,0,0,0
SSC70203,14,16,43,3,0,0
SSC70204,3,3,13,0,0,0
SSC70205,0,0,3,6,0,3
SSC70206,0,6,38,8,0,0
SSC70207,7,46,64,16,5,3
SSC70208,66,154,515,149,6,3
SSC70209,0,3,6,0,0,0
SSC70210,178,597,299,195,66,20
SSC70211,13,7,16,3,0,0
SSC70212,18,22,25,16,10,3
SSC70213,13,36,35,40,0,0
SSC70214,0,3,0,0,0,0
SSC70215,0,16,33,7,0,0
SSC70216,0,4,3,0,0,0
SSC70217,3,3,0,3,0,0
SSC70218,3,17,36,10,0,0
SSC70219,104,390,305,130,45,9
SSC70220,0,0,0,0,0,0
SSC70221,0,3,9,5,0,0
SSC70222,7,3,12,3,0,0
SSC70223,3,6,6,0,0,0
SSC70224,14,35,33,10,3,0
SSC70225,0,4,3,0,0,0
SSC70226,3,33,45,5,0,0
SSC70227,0,3,3,0,0,0
SSC70228,4,0,4,0,0,0
SSC70229,3,43,32,32,13,0
SSC70230,3,0,4,4,0,0
SSC70231,96,414,342,177,48,8
SSC70232,5,3,0,0,0,0
SSC70233,5,3,20,0,0,0
SSC70234,11,215,450,508,54,3
SSC70235,97,50,30,32,10,8
SSC70236,10,3,6,0,0,0
SSC70237,42,166,366,74,9,3
SSC70238,13,43,40,4,0,0
SSC70239,19,28,66,3,3,0
SSC70240,0,0,0,0,0,0
SSC70241,0,0,0,0,0,0
SSC70242,12,22,24,11,0,0
SSC70243,0,4,3,3,3,0
SSC70244,8,33,50,25,0,0
SSC70245,60,560,603,172,33,17
SSC70246,0,0,3,0,0,0
SSC70247,3,9,14,10,0,0
SSC70248,0,0,3,0,0,0
SSC70249,0,0,4,0,0,0
SSC70250,0,3,10,0,0,0
SSC70251,106,159,433,97,11,8
SSC70252,4,6,9,11,0,0
SSC70253,107,226,176,29,5,0
SSC70254,30,155,108,4,0,3
SSC70255,37,83,58,25,7,0
