SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC70235,75,149,0,16,3,23,3,7,39,140,48,190,3,8,8,11,15,36,22,64,71,251,0,0,0,0,0,0,7,26,7,26,0,0,0,0,4,5,8,9,16,30,0,3,156,427
SSC70236,11,23,0,0,0,0,0,3,3,15,3,19,0,0,0,0,0,4,0,4,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,4,3,4,0,0,18,43
SSC70237,163,325,5,26,27,109,8,41,142,545,181,722,3,18,11,31,28,95,46,140,225,865,3,6,7,22,4,19,50,135,59,187,0,3,6,17,19,52,30,74,92,259,18,37,496,1482
SSC70238,29,71,0,0,4,20,4,27,51,246,61,301,0,3,0,0,7,16,3,22,66,324,0,10,0,5,8,46,16,41,19,97,0,0,0,0,6,27,6,27,33,125,5,13,132,528
SSC70239,22,52,0,5,5,27,9,54,36,151,47,234,0,0,3,8,6,36,9,42,58,278,0,0,0,3,6,19,28,87,32,109,0,0,0,4,10,29,7,33,45,140,6,11,133,488
SSC70240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70242,19,27,0,0,0,3,0,0,18,70,14,68,0,0,0,3,0,4,3,11,20,81,0,0,0,0,3,6,8,27,14,38,0,0,0,0,6,7,6,7,18,47,3,4,56,159
SSC70243,12,16,0,0,0,0,0,3,0,3,3,10,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,3,0,4,3,7,0,0,0,0,3,3,3,3,5,13,0,0,19,36
SSC70244,43,80,0,4,0,11,0,12,25,91,31,120,0,0,0,3,3,18,3,20,34,136,0,0,0,0,5,15,15,58,22,73,0,0,0,0,3,16,3,18,25,91,6,8,102,314
SSC70245,495,966,5,23,23,130,3,21,226,837,260,1003,8,20,27,92,36,109,67,229,330,1232,3,14,7,21,3,16,43,97,59,149,0,3,10,16,40,81,51,105,109,251,16,37,954,2486
SSC70246,5,13,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,21
SSC70247,15,24,0,0,4,16,0,10,12,59,20,84,0,0,0,0,0,6,0,6,20,90,0,0,0,0,0,0,7,23,7,23,0,0,0,0,0,0,0,0,7,23,0,4,41,140
SSC70248,3,3,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19
SSC70249,3,6,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,19
SSC70250,0,0,0,0,0,0,0,3,9,36,14,42,0,0,0,0,0,0,0,0,14,42,0,0,0,0,0,0,6,12,6,12,0,0,0,0,0,0,0,0,6,12,0,0,18,57
SSC70251,233,483,4,21,9,71,18,99,151,600,183,787,3,25,7,29,37,139,50,193,232,982,3,10,3,19,21,105,80,269,104,401,0,6,3,6,28,74,38,87,135,484,22,54,622,2000
SSC70252,4,6,0,3,0,16,9,45,11,58,28,124,0,0,0,0,4,13,4,13,32,139,0,0,0,0,3,7,3,15,5,19,0,0,0,0,0,5,0,5,6,30,0,11,40,182
SSC70253,121,239,0,8,9,42,4,15,94,350,105,414,3,5,9,13,9,26,17,54,126,468,0,0,4,7,0,0,42,96,44,109,0,0,4,5,18,37,20,44,65,152,12,19,316,870
SSC70254,109,206,0,0,3,22,0,4,38,118,45,142,0,0,0,0,4,10,4,10,43,159,0,0,0,0,0,0,4,14,4,14,3,3,0,0,10,18,10,24,15,35,3,7,177,408
SSC70255,49,94,0,9,13,59,0,0,30,130,49,198,0,14,0,0,6,23,11,37,56,239,0,0,0,0,0,5,3,11,3,15,0,4,0,3,17,32,15,32,21,46,0,0,133,376
SSC70256,6,14,0,6,0,0,0,0,3,9,6,18,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,33
SSC70257,21,44,0,0,3,17,0,15,5,37,16,66,0,3,0,0,0,0,0,3,13,68,0,0,0,3,0,0,3,11,4,18,0,0,0,0,5,10,5,10,11,25,0,3,45,140
SSC70258,52,96,0,0,9,32,0,4,102,406,113,441,0,11,3,5,0,5,3,15,113,454,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,4,3,0,3,175,563
SSC70259,4,6,0,0,0,0,0,6,3,8,3,14,0,0,0,3,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
SSC70260,11,37,0,0,0,8,3,8,14,53,14,73,0,0,0,0,3,5,3,5,20,79,0,0,0,0,3,11,4,14,9,26,0,0,0,0,3,11,3,11,9,39,3,9,44,160
SSC70261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70262,223,440,3,21,20,102,7,26,163,640,195,791,4,23,19,63,38,119,60,206,262,996,0,6,10,34,3,16,33,95,49,153,7,19,7,21,32,75,47,110,102,257,11,19,588,1707
SSC70263,14,27,0,0,0,0,0,0,9,40,9,40,0,0,0,0,0,9,0,9,14,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,11,3,11,0,0,31,93
SSC70264,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70265,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC70266,20,44,0,4,0,6,0,0,10,47,13,60,0,4,0,0,5,11,3,11,20,73,0,0,0,3,0,0,3,4,0,4,0,0,0,3,0,3,0,4,4,10,0,0,43,124
SSC70267,22,52,3,15,3,16,9,76,24,102,44,212,0,3,0,3,10,43,11,51,52,257,0,0,3,5,14,66,6,22,17,92,0,7,0,3,12,35,15,40,30,135,0,7,113,449
SSC70268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70269,19,39,0,3,4,8,0,7,11,27,12,39,0,0,0,3,4,12,4,14,16,54,0,0,0,0,0,5,0,0,3,6,0,0,0,0,3,3,3,3,3,9,0,0,42,107
SSC70270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70271,8,8,0,4,0,0,0,0,3,14,4,21,0,3,0,0,0,3,3,7,4,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,35
SSC70272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70273,6,16,0,8,0,0,0,10,4,30,8,44,0,0,0,0,0,0,0,0,8,44,0,0,0,0,0,0,4,3,4,3,0,0,0,0,0,0,0,0,0,7,0,0,20,68
SSC70274,205,412,3,19,20,93,7,33,115,447,148,589,12,54,22,54,45,137,75,241,223,832,0,0,3,7,3,16,27,70,37,95,4,9,3,7,20,48,27,68,67,160,3,4,491,1416
SSC70275,70,149,13,108,16,120,44,297,130,595,206,1125,0,16,3,10,22,100,32,128,235,1245,8,38,5,16,20,112,64,202,92,363,0,9,0,6,24,80,24,92,118,458,13,37,430,1885
SSC70276,77,149,0,4,0,18,3,6,20,87,28,116,0,5,3,15,9,20,12,34,44,146,0,0,0,0,3,9,10,18,9,28,0,3,0,3,3,6,3,10,13,36,0,0,130,332
SSC70277,182,373,3,19,25,137,5,35,133,506,170,698,14,47,22,70,48,146,75,255,250,952,3,13,6,30,5,17,36,95,44,152,0,3,6,17,32,74,43,93,88,246,4,6,523,1585
SSC70278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
