SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC70001,73,143,0,6,7,41,3,9,56,222,68,277,3,7,6,17,11,37,15,61,84,340,0,0,0,7,0,0,9,19,11,21,0,0,0,0,8,18,8,18,19,39,3,7,185,529
SSC70002,27,52,0,0,0,4,0,5,17,72,21,82,0,0,6,15,3,14,8,29,28,106,0,7,0,0,0,9,14,46,17,59,0,0,0,0,5,14,5,14,16,71,0,3,72,227
SSC70003,183,366,3,11,22,90,18,70,136,520,173,697,13,38,14,46,43,135,73,225,248,916,3,15,13,33,3,17,31,86,53,153,3,6,10,12,31,70,38,95,91,243,12,29,530,1553
SSC70004,18,41,0,0,4,15,9,61,30,132,45,206,0,0,0,3,3,24,5,21,51,230,0,0,0,9,8,49,19,61,27,119,0,0,0,0,4,9,3,8,32,128,3,11,102,407
SSC70005,8,22,0,0,0,0,0,0,7,20,7,20,0,0,0,0,0,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,41
SSC70006,14,35,0,0,0,8,7,50,35,138,41,190,0,0,0,4,6,33,10,38,52,228,0,0,0,0,4,27,13,40,16,64,0,0,0,0,9,30,9,30,29,94,3,7,102,364
SSC70007,65,132,0,3,3,20,3,15,98,384,107,421,0,0,0,0,11,26,11,26,118,447,0,0,0,0,0,0,8,15,8,15,0,0,0,4,0,9,3,12,7,28,0,0,196,605
SSC70008,12,39,0,0,0,4,3,16,10,52,13,79,0,0,0,0,0,4,0,4,15,80,3,16,0,0,3,18,7,27,13,61,0,5,0,0,5,28,7,30,26,85,0,0,56,202
SSC70009,9,23,3,18,0,4,13,80,28,140,45,242,0,4,0,0,3,4,3,8,49,249,0,0,0,5,0,3,16,64,17,77,0,6,0,0,0,0,0,6,18,77,3,3,77,357
SSC70010,3,14,0,0,0,0,0,6,10,24,10,35,0,0,0,0,0,4,0,4,11,40,0,0,0,0,0,6,0,3,3,13,0,0,0,0,0,0,0,0,3,12,0,0,16,67
SSC70011,50,112,9,46,10,64,23,117,54,206,92,435,0,6,3,9,8,41,12,60,100,500,0,4,3,16,14,70,13,39,32,128,0,3,0,0,22,53,20,58,50,188,3,17,206,813
SSC70012,3,3,0,0,0,0,0,13,8,40,8,59,0,0,0,0,0,0,0,0,14,61,0,0,0,0,0,12,4,14,6,22,0,0,0,0,0,5,0,5,6,29,0,0,19,87
SSC70013,35,69,0,8,0,3,3,23,33,149,42,179,0,0,3,8,9,38,10,49,50,225,0,0,0,0,0,6,16,57,16,65,0,0,0,0,9,30,9,30,27,93,4,20,117,412
SSC70014,178,342,5,38,26,132,6,23,180,699,214,882,17,66,15,59,55,172,90,287,306,1173,0,5,10,41,6,25,47,139,62,204,3,6,10,14,45,98,51,119,119,324,9,31,611,1865
SSC70015,218,417,7,33,35,156,13,52,226,890,281,1133,9,24,16,52,36,121,62,200,340,1334,0,3,6,21,8,16,53,139,67,182,3,13,12,22,16,29,31,68,94,247,6,19,665,2018
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,12,36,0,0,0,0,0,14,14,53,11,64,0,0,0,4,3,5,4,12,19,75,0,0,0,4,0,0,3,15,7,22,0,0,0,3,8,19,4,19,15,41,5,6,48,152
SSC70018,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
SSC70019,14,32,0,0,3,9,4,18,8,16,7,48,0,0,0,0,3,16,3,16,18,69,0,0,0,3,0,14,12,37,15,56,0,0,0,0,3,8,3,8,15,61,5,16,51,179
SSC70020,12,28,0,0,0,0,4,27,24,81,29,112,0,0,0,0,0,0,0,0,29,112,0,0,0,8,3,10,10,33,8,42,0,0,0,0,0,5,0,5,14,50,0,0,52,185
SSC70021,13,29,0,0,0,8,3,26,10,35,15,68,0,0,0,0,0,6,0,6,11,66,0,0,0,0,0,9,10,32,7,35,0,0,0,0,0,0,0,0,7,35,5,10,42,141
SSC70022,255,506,3,14,27,113,11,44,272,999,307,1172,20,83,15,47,42,144,80,271,386,1441,3,0,4,15,7,20,77,196,91,236,3,16,18,38,40,92,62,146,153,377,14,31,816,2357
SSC70023,13,31,0,6,4,27,3,15,32,138,41,177,0,0,0,0,4,15,4,15,46,191,0,0,0,0,0,5,14,61,20,62,0,0,0,5,5,11,9,14,24,83,3,12,89,312
SSC70024,41,74,0,0,3,10,0,0,16,62,16,68,0,8,0,0,3,8,4,17,17,88,0,7,3,21,4,24,19,46,25,91,0,0,3,7,6,14,14,21,35,117,0,3,99,277
SSC70025,182,359,7,30,25,101,9,31,106,417,147,582,8,41,17,55,29,94,56,188,206,772,0,0,6,15,0,3,9,31,17,46,0,3,4,8,13,29,15,39,35,81,7,12,426,1224
SSC70026,100,192,3,9,6,35,3,25,54,217,72,282,0,14,9,21,25,75,31,112,99,396,0,0,0,3,0,0,10,32,12,33,0,7,3,7,9,18,14,37,25,68,3,3,231,660
SSC70027,198,395,14,58,23,120,9,31,286,1118,331,1328,4,25,15,37,21,61,36,122,365,1444,0,0,3,20,3,7,48,142,57,171,0,0,10,12,15,25,19,44,78,214,7,16,650,2067
SSC70028,4,14,0,0,0,0,3,10,8,22,5,29,0,0,0,0,3,14,3,14,12,51,0,0,0,0,5,27,7,17,10,47,0,0,0,0,0,8,0,8,12,53,3,14,36,136
SSC70029,52,97,0,8,6,23,0,0,23,87,34,116,0,7,0,3,8,17,5,21,42,142,0,0,0,3,3,14,9,32,19,46,0,4,0,6,10,14,11,21,31,72,3,7,120,314
SSC70030,82,165,0,5,9,37,3,17,60,240,73,291,0,0,8,20,17,67,28,86,101,379,0,3,0,7,4,13,10,26,14,51,0,3,0,4,4,13,6,24,21,70,0,0,205,615
SSC70031,29,65,0,12,9,36,15,96,42,183,65,317,0,0,0,0,3,18,3,18,65,333,0,0,3,9,0,7,22,60,23,80,0,0,0,3,8,18,7,20,26,96,3,6,133,503
SSC70032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70033,3,4,0,0,3,11,0,9,10,70,12,91,0,0,0,0,3,16,3,16,17,101,0,0,0,0,4,32,3,18,8,41,0,0,0,4,3,11,5,15,13,64,6,6,33,182
SSC70034,3,11,0,0,0,0,0,0,3,14,3,14,0,0,0,3,0,4,3,3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,39
SSC70035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70036,0,0,0,3,0,0,0,0,3,25,10,25,0,0,0,0,0,0,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,27
SSC70037,43,98,0,8,3,28,7,63,43,191,60,293,0,0,0,0,14,38,14,38,71,327,0,20,3,12,7,37,31,93,41,157,0,0,0,3,15,43,14,40,58,202,6,17,176,646
SSC70038,10,11,0,0,0,0,0,0,3,13,3,13,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28
SSC70039,272,530,8,49,29,147,11,53,205,757,256,1011,11,47,16,54,60,191,95,290,347,1298,3,29,13,43,7,23,54,132,72,222,4,7,4,12,39,82,48,101,120,328,9,18,749,2172
SSC70040,89,177,3,11,8,39,0,4,81,307,93,362,9,31,7,23,13,45,29,101,126,464,0,0,0,8,0,0,11,30,11,33,4,6,5,14,7,22,15,40,27,75,8,22,255,735
SSC70041,5,11,0,0,0,0,0,0,6,15,6,15,0,0,0,0,4,3,4,3,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31
SSC70042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70043,4,11,0,0,0,8,6,50,29,126,40,186,0,3,0,3,3,6,3,18,45,199,0,0,0,4,0,0,3,14,5,16,0,0,0,0,3,5,3,5,10,20,3,10,61,246
SSC70044,5,4,0,0,0,0,0,0,3,7,3,7,0,0,0,0,0,3,0,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17
SSC70045,13,29,0,0,0,6,0,0,16,55,18,58,0,0,0,3,0,10,4,9,18,72,0,0,0,3,0,0,5,27,3,32,0,0,0,0,3,3,3,3,7,36,5,12,42,149
SSC70046,6,18,0,0,0,8,0,0,5,17,6,21,0,0,3,7,0,3,4,8,6,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,51
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,0,10,0,0,0,0,0,7,0,10,4,23,0,0,0,0,0,0,0,0,4,23,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,10,31
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,11,20,0,10,0,0,4,33,14,61,18,98,0,0,0,0,0,6,0,6,18,107,0,0,0,0,0,4,5,18,3,20,0,0,0,0,3,8,3,8,7,30,0,0,32,159
SSC70051,4,13,0,4,0,3,0,0,8,30,9,38,0,0,0,3,0,0,0,3,13,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,57
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,0,3,0,0,0,0,0,0,0,4,0,4,0,0,0,6,0,0,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,25,55,0,0,0,3,0,0,8,42,9,47,0,0,0,0,0,13,0,13,13,53,0,0,0,0,0,7,7,14,7,20,0,0,0,0,10,18,10,18,16,36,0,0,57,145
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70058,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,17
SSC70059,301,593,4,12,29,129,7,34,191,668,233,846,0,11,17,54,27,90,47,154,275,997,0,3,3,14,0,4,59,134,66,154,4,8,12,23,40,95,54,124,118,277,11,22,703,1891
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC70061,43,87,3,21,5,15,0,7,24,111,35,146,4,9,3,6,7,31,13,50,44,189,0,0,0,0,0,0,0,3,0,3,0,0,0,3,6,3,3,7,7,16,0,0,99,291
SSC70062,70,128,0,0,0,0,5,15,25,97,28,110,0,3,0,0,0,4,7,12,34,119,0,3,4,7,0,0,13,43,21,57,0,0,0,0,6,10,10,12,27,66,0,0,125,320
SSC70063,0,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,8,18
SSC70064,9,15,0,0,0,0,0,0,5,29,5,29,0,0,0,4,0,0,0,4,10,30,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,18,52
SSC70065,121,224,3,11,8,37,11,74,79,331,102,452,3,23,4,24,23,70,38,112,140,568,0,11,0,9,3,14,14,36,21,64,0,5,0,3,6,15,7,25,30,83,0,6,288,881
SSC70066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70067,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
SSC70068,3,11,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20
SSC70069,16,31,0,8,0,0,4,13,24,94,23,116,0,0,0,4,4,16,4,21,30,135,0,0,0,4,0,3,9,34,15,43,0,0,0,0,0,0,0,0,15,43,0,0,55,208
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,14,28,0,0,0,0,0,0,8,22,8,22,0,0,0,0,0,4,0,4,9,29,0,0,0,0,0,4,3,11,6,18,0,0,0,0,0,0,0,0,3,22,0,0,32,80
SSC70072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
SSC70073,790,1553,0,14,12,44,7,19,275,932,293,1005,6,27,13,42,26,72,45,143,335,1152,0,0,4,8,3,13,35,69,36,91,4,13,10,24,29,67,45,109,85,200,25,52,1239,2953
SSC70074,75,139,3,8,4,25,6,26,44,188,61,244,0,3,8,19,3,8,9,34,68,276,0,10,0,4,0,9,9,31,12,52,0,3,3,9,4,11,9,20,20,65,0,3,169,489
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,0,0,5
SSC70076,13,22,0,0,0,0,0,0,17,63,17,63,0,0,0,0,0,11,0,11,14,74,0,0,0,0,0,0,4,10,4,10,0,0,0,0,6,20,6,20,9,29,0,0,33,126
SSC70077,3,3,0,0,0,5,0,0,0,6,3,9,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,8,13
SSC70078,192,357,3,30,19,71,3,24,99,373,122,495,3,15,13,48,21,64,41,127,163,623,0,0,0,3,0,0,16,46,16,54,3,7,3,4,7,21,17,30,33,85,3,5,392,1064
SSC70079,18,28,0,0,0,0,0,6,11,29,12,40,0,0,0,0,3,6,3,6,13,42,0,0,0,0,0,0,6,4,6,4,0,0,0,0,0,0,0,0,5,5,0,0,32,83
SSC70080,253,492,3,30,34,137,18,66,207,805,260,1030,14,58,21,74,48,129,85,262,344,1294,5,20,10,43,9,31,67,204,91,294,6,15,8,17,32,66,43,94,136,389,12,29,751,2207
SSC70081,46,96,0,0,0,0,0,5,7,19,4,29,0,0,0,0,0,0,0,0,4,29,0,4,0,7,0,0,0,3,3,13,0,0,0,0,7,5,7,5,5,21,0,3,66,139
SSC70082,11,21,0,0,0,0,0,0,3,9,3,9,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,0,3,3,3,0,0,17,37
SSC70083,12,22,0,0,0,0,0,0,4,11,4,11,0,0,0,0,0,3,0,3,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,3,14,41
SSC70084,345,676,3,19,34,152,19,71,362,1369,417,1612,11,55,34,106,53,169,101,327,512,1936,0,3,7,25,8,30,41,117,58,174,0,3,5,15,30,61,33,83,96,256,11,16,962,2894
SSC70085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70086,27,61,12,71,6,44,11,68,46,212,70,398,8,37,0,0,6,20,9,59,83,452,0,0,3,18,8,49,27,74,34,133,0,7,4,12,9,36,16,51,52,188,19,54,173,752
SSC70087,5,7,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
SSC70088,255,478,4,17,22,96,12,67,184,665,219,844,7,32,15,46,32,99,60,186,285,1026,0,0,18,61,5,16,52,143,72,220,5,7,7,23,37,75,46,104,116,318,8,25,665,1848
SSC70089,7,17,0,0,0,3,0,3,8,20,10,24,0,0,0,3,0,5,3,9,7,31,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,5,0,0,18,53
SSC70090,15,28,0,0,0,3,3,8,5,17,11,31,0,0,0,0,3,6,3,6,8,39,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,29,73
SSC70091,15,34,0,0,5,20,3,17,27,105,29,141,0,0,0,0,0,4,0,4,34,146,3,17,0,0,0,11,16,53,23,81,0,0,0,0,4,15,4,15,30,100,3,7,72,287
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,7,9,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20
SSC70094,18,49,0,4,0,14,8,45,16,61,26,123,0,0,0,3,5,16,3,16,29,141,0,0,0,0,0,7,7,17,6,26,0,0,0,0,3,7,3,7,9,34,0,3,60,227
SSC70095,9,19,0,0,0,5,4,14,9,34,10,51,0,4,0,0,3,11,0,21,13,70,0,0,0,0,0,0,4,26,4,26,0,0,0,0,7,20,3,22,9,50,0,0,38,140
SSC70096,14,29,0,0,0,3,0,0,3,19,9,21,0,0,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,51
SSC70097,295,579,4,15,23,83,4,34,175,644,202,769,9,29,24,83,36,114,73,227,274,999,0,0,6,28,0,0,17,49,25,72,0,3,3,10,30,60,37,71,60,150,7,15,636,1742
SSC70098,110,223,3,15,23,84,4,31,157,605,182,733,4,19,9,24,15,56,29,99,214,836,0,0,5,7,3,6,24,61,26,74,0,4,7,8,5,17,11,29,45,103,10,11,379,1176
SSC70099,14,34,0,0,3,14,0,3,17,68,24,87,0,3,0,5,0,4,4,10,26,98,0,0,0,0,0,0,4,12,4,12,0,0,0,0,8,16,8,16,10,27,3,5,49,163
SSC70100,6,13,0,0,0,0,0,0,3,10,3,10,0,0,0,0,0,3,0,3,4,15,0,0,0,0,0,0,3,6,3,6,0,0,0,0,0,0,0,0,3,6,0,0,11,36
SSC70101,7,17,0,0,0,3,0,5,7,21,10,31,0,3,0,5,3,4,3,11,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,0,20,66
SSC70102,17,38,0,4,0,6,0,0,11,56,18,69,0,4,0,3,0,0,3,8,20,80,0,0,0,7,0,0,0,0,0,7,0,0,0,0,0,3,0,3,3,6,0,0,40,123
SSC70103,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70104,5,7,0,0,0,0,0,0,11,40,11,40,0,0,0,0,0,4,0,4,10,49,0,0,0,3,0,8,3,6,7,15,0,0,0,0,0,7,0,7,4,20,3,10,22,83
SSC70105,3,4,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13
SSC70106,63,145,7,71,35,197,28,220,133,544,204,1031,8,42,5,21,12,50,30,117,229,1153,0,8,15,61,34,221,79,241,134,535,3,9,4,8,36,113,36,124,172,662,20,57,482,2015
SSC70107,28,63,0,14,0,0,16,119,54,230,70,370,3,10,4,22,11,61,20,90,89,457,0,6,7,22,20,132,33,108,60,272,0,5,3,4,16,46,16,49,74,323,3,6,196,852
SSC70108,3,8,0,0,0,0,0,0,7,19,7,19,0,0,0,0,0,0,0,0,7,19,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,5,0,0,14,33
SSC70109,328,652,3,40,52,237,18,102,300,1151,382,1526,8,40,33,89,51,164,92,294,471,1823,0,5,14,46,9,37,82,244,104,335,3,11,17,36,42,96,66,142,174,475,15,34,992,2989
SSC70110,145,278,7,35,23,87,6,26,139,559,178,710,15,54,21,68,43,128,74,250,249,958,0,0,3,8,3,9,13,35,17,51,0,0,12,22,14,33,23,47,42,98,3,10,437,1345
SSC70111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70112,236,462,3,23,23,92,22,94,203,777,245,983,8,27,17,61,42,148,67,235,313,1215,3,17,20,92,4,17,105,303,138,422,3,4,13,27,48,107,66,136,197,565,11,31,765,2268
SSC70113,9,16,0,5,0,5,0,4,3,9,3,28,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,11,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,11,61
SSC70114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70115,48,113,0,7,8,47,18,94,83,328,106,473,5,52,3,9,11,36,19,94,121,573,3,21,0,3,3,35,27,76,37,130,6,17,4,14,11,35,23,74,60,200,13,45,247,935
SSC70116,236,458,9,43,39,167,5,35,269,1028,324,1270,10,30,16,57,40,114,59,202,380,1475,0,0,9,23,0,4,39,99,42,124,3,7,13,27,25,60,39,86,82,214,6,16,703,2159
SSC70117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70118,14,22,0,16,0,0,4,19,18,58,21,86,0,3,0,0,0,3,3,8,21,99,0,0,0,0,4,46,10,20,15,70,0,0,0,0,5,18,7,21,21,89,0,13,59,223
SSC70119,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SSC70120,5,14,0,7,0,16,3,28,6,21,14,73,0,0,0,0,0,3,0,3,10,71,0,0,0,0,0,3,4,21,9,21,0,0,0,0,3,6,3,6,7,33,0,4,25,122
SSC70121,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,3,14,0,0,0,0,3,8,3,8,7,18,0,0,13,31
SSC70122,9,8,0,6,0,0,0,11,7,45,11,60,0,0,0,0,0,3,0,3,15,68,0,0,0,0,0,9,4,10,8,20,0,0,0,0,3,6,3,6,11,29,3,10,29,114
SSC70123,170,337,4,21,20,81,7,50,154,603,186,749,6,27,12,29,23,76,40,130,229,883,0,7,3,6,3,15,26,61,27,84,0,4,6,9,17,29,24,48,52,133,3,5,451,1357
SSC70124,38,81,0,12,0,9,4,43,35,161,47,219,0,0,0,0,4,25,4,25,52,242,0,8,0,5,5,23,14,50,22,84,0,0,0,4,6,27,8,24,29,108,5,24,129,456
SSC70125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70127,26,56,0,0,0,0,0,0,8,46,8,46,0,7,0,4,3,17,12,28,18,73,0,0,0,4,0,0,0,4,3,8,0,0,0,0,0,0,0,0,3,8,0,0,52,135
SSC70128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70129,362,737,4,21,29,129,22,82,193,739,240,975,22,80,38,108,91,279,149,471,392,1446,0,10,6,24,4,13,41,109,53,155,3,3,5,15,26,49,32,71,90,229,7,13,852,2423
SSC70130,12,30,0,0,0,3,0,9,3,34,10,47,0,4,0,0,8,24,9,22,16,74,0,0,0,3,0,0,10,22,7,31,0,0,0,0,6,20,6,20,14,48,0,3,43,154
SSC70131,6,12,0,0,0,0,0,0,0,16,0,16,0,0,0,0,0,10,0,10,3,27,0,0,0,0,0,0,0,8,0,8,0,0,0,4,0,3,3,9,6,13,0,0,21,53
SSC70132,401,787,13,74,61,281,28,111,300,1175,401,1637,31,115,23,76,96,298,147,491,550,2134,0,3,10,39,3,17,57,144,67,198,7,10,8,16,53,124,65,150,137,351,12,35,1103,3300
