SSC_CODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SSC70127,16,96,45,8,3,5,3,0,0,175,17,70,43,14,6,6,0,0,0,153,3,23,37,3,3,4,0,0,0,71,0,3,10,7,5,4,0,0,0,35,0,3,10,13,3,8,0,0,0,30,0,0,0,6,14,3,0,0,0,22,26,169,372,256,162,55,9,0,0,1049,96,477,555,310,220,92,24,3,3,1766
SSC70128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70129,0,22,56,41,75,58,23,3,0,278,0,16,44,51,64,51,11,3,0,238,0,15,34,52,68,59,10,4,0,240,0,4,46,34,64,47,3,0,0,204,0,16,130,170,145,92,16,0,0,575,0,10,118,98,113,58,7,0,0,410,43,69,407,390,317,163,57,10,3,1451,203,251,956,981,1022,731,321,79,21,4559
SSC70130,0,0,3,3,0,4,0,0,0,11,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,97,242,175,79,42,4,3,0,659,36,116,254,197,104,75,14,8,0,798
SSC70131,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,9,4,4,11,7,15,9,6,3,0,60
SSC70132,3,25,70,66,100,48,18,0,0,337,0,14,62,60,92,43,10,0,0,279,0,10,54,58,62,25,3,0,0,211,0,3,26,39,75,27,3,0,0,182,3,3,76,88,76,50,10,0,0,301,0,7,25,49,39,17,0,0,0,139,68,33,65,89,111,78,55,10,3,519,295,231,572,649,777,525,305,62,17,3428
SSC70133,3,3,8,3,10,7,0,0,0,37,0,0,0,7,11,9,0,0,0,27,0,0,4,9,5,5,0,0,0,25,0,0,0,4,8,3,0,0,0,16,0,0,0,4,11,10,0,0,0,26,0,0,0,0,6,7,0,0,0,13,8,7,10,12,27,25,3,3,0,88,35,30,38,55,118,90,22,7,0,389
SSC70134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,8,0,0,3,0,0,0,49,4,40,30,14,7,12,3,0,0,117
SSC70135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70136,0,3,26,18,14,5,0,0,0,73,0,0,18,14,12,4,0,0,0,54,0,3,13,19,14,8,0,0,0,58,0,0,5,22,20,8,0,0,0,51,0,5,22,36,33,21,0,0,0,111,0,0,5,6,5,9,0,0,0,24,16,18,40,25,52,23,14,0,0,192,41,65,188,194,195,107,27,6,0,821
