SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC70249,0,3,0,0,0,8,0,9
SSC70250,9,4,3,0,0,10,0,10
SSC70251,166,332,192,76,40,804,64,865
SSC70252,24,5,0,0,0,29,3,34
SSC70253,81,280,143,34,18,561,28,590
SSC70254,27,134,119,16,0,302,12,313
SSC70255,41,69,69,14,9,209,20,226
SSC70256,3,9,4,4,3,21,0,27
SSC70257,7,26,20,10,3,66,0,71
SSC70258,0,52,111,12,7,179,7,186
SSC70259,0,4,6,0,0,13,3,11
SSC70260,20,9,7,3,0,38,3,47
SSC70261,0,0,0,0,0,0,0,0
SSC70262,48,274,284,94,43,751,29,781
SSC70263,20,9,0,0,0,36,6,41
SSC70264,0,0,0,0,0,0,0,0
SSC70265,0,0,0,0,0,6,0,6
SSC70266,0,10,22,18,7,60,0,55
SSC70267,49,20,12,3,0,87,0,84
SSC70268,0,0,0,0,0,0,0,0
SSC70269,0,10,17,8,15,53,0,51
SSC70270,0,0,0,0,0,0,0,0
SSC70271,0,4,5,3,3,14,3,16
SSC70272,0,0,0,0,0,0,0,0
SSC70273,7,10,8,0,0,23,3,30
SSC70274,10,101,204,121,119,560,31,588
SSC70275,178,88,17,14,3,304,15,317
SSC70276,4,83,57,20,9,175,14,190
SSC70277,45,200,198,79,64,581,26,612
SSC70278,0,0,0,0,0,0,0,0
SSC70279,10,12,6,0,0,25,0,28
SSC70280,32,131,196,100,52,515,36,552
SSC70281,45,15,9,0,0,71,6,71
SSC70282,9,9,4,0,0,31,0,34
SSC70283,0,3,8,4,6,19,3,18
SSC70284,38,27,7,0,0,75,10,85
SSC70285,3,29,15,17,14,79,7,85
SSC70286,0,0,0,0,0,0,0,0
SSC70287,21,17,6,0,0,55,0,55
SSC70288,16,4,0,0,0,24,0,24
SSC70289,12,0,0,0,0,8,0,8
SSC70290,11,36,25,9,3,82,9,92
SSC70291,0,0,0,0,0,0,0,0
SSC70292,75,311,416,146,61,1007,63,1068
SSC70293,4,131,139,55,15,342,4,352
SSC70294,20,193,330,109,55,709,46,756
SSC70295,230,84,12,7,5,343,18,360
SSC70296,16,15,0,0,0,28,0,31
SSC70297,17,15,10,0,0,39,3,42
SSC70298,0,5,4,0,0,9,0,8
SSC70299,33,52,24,10,0,115,0,121
SSC70300,23,8,0,0,0,37,0,37
SSC70301,81,42,13,6,4,143,0,138
SSC70302,182,189,59,6,3,440,41,480
SSC70303,5,66,187,68,19,336,15,353
SSC79494,0,0,0,0,0,0,0,0
SSC79797,0,0,0,0,0,0,0,0
