SSC_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SSC70222,3,0,3,6,15,3,20,96,39,160
SSC70223,0,0,0,13,20,10,41,33,7,75
SSC70224,0,0,0,36,34,3,76,148,39,257
SSC70225,0,0,0,4,4,0,5,17,0,20
SSC70226,0,0,0,55,59,3,111,109,53,274
SSC70227,0,0,0,0,0,0,0,19,0,20
SSC70228,0,0,0,18,7,0,28,32,14,83
SSC70229,0,0,3,67,248,70,389,213,19,622
SSC70230,0,0,0,8,3,0,9,26,5,42
SSC70231,13,4,18,480,138,36,653,1662,392,2712
SSC70232,0,0,0,0,0,0,0,16,3,13
SSC70233,0,0,0,27,9,0,37,100,5,145
SSC70234,7,3,12,998,178,29,1206,1593,254,3047
SSC70235,0,0,0,84,31,10,127,348,107,583
SSC70236,0,0,0,3,6,0,13,36,26,72
SSC70237,6,3,9,329,138,15,493,915,268,1676
SSC70238,0,0,3,137,98,36,275,91,68,434
SSC70239,3,0,3,86,69,56,204,157,35,397
SSC70240,0,0,0,0,0,0,0,17,0,16
SSC70241,0,0,0,0,0,0,0,0,0,0
SSC70242,0,0,0,36,5,4,42,82,45,167
SSC70243,0,0,0,4,4,0,8,26,20,51
SSC70244,0,0,0,58,27,4,88,220,33,344
SSC70245,13,6,21,512,139,14,666,2415,506,3586
SSC70246,0,0,0,6,0,0,6,27,10,40
SSC70247,0,0,0,18,20,15,44,91,20,157
SSC70248,0,0,0,20,3,0,18,28,8,64
SSC70249,0,0,0,7,0,0,7,15,13,31
SSC70250,0,0,0,9,18,3,31,11,15,56
SSC70251,3,3,7,347,202,38,589,1354,406,2351
SSC70252,0,0,0,42,46,0,82,44,0,128
SSC70253,6,3,8,221,61,15,299,867,261,1429
SSC70254,3,0,4,78,27,0,102,478,54,638
SSC70255,3,0,3,84,30,3,115,316,71,500
SSC70256,0,0,0,12,6,0,15,34,6,62
SSC70257,0,0,0,22,8,4,40,126,34,197
SSC70258,0,0,0,184,12,15,204,340,80,630
SSC70259,0,0,0,3,0,0,3,19,0,22
SSC70260,0,0,0,33,50,0,85,66,33,183
SSC70261,0,0,0,0,0,0,0,0,0,0
SSC70262,67,17,84,408,130,14,553,1265,235,2049
SSC70263,0,0,0,16,8,0,21,66,10,96
SSC70264,0,0,0,3,0,0,3,0,0,3
SSC70265,0,0,0,0,0,0,0,9,3,14
SSC70266,3,0,3,31,5,0,31,85,20,135
SSC70267,0,0,0,20,15,0,36,299,42,369
SSC70268,0,0,0,0,0,0,0,0,0,0
SSC70269,0,0,0,17,7,0,25,88,9,123
SSC70270,0,0,0,0,0,0,0,0,0,0
SSC70271,0,0,0,7,0,0,4,40,88,137
SSC70272,0,0,0,0,0,0,0,0,0,0
SSC70273,0,0,0,8,5,3,24,59,39,119
SSC70274,6,0,6,295,118,9,420,895,162,1476
SSC70275,0,0,0,492,362,19,877,428,246,1554
SSC70276,3,0,3,60,27,4,89,276,29,394
SSC70277,9,0,8,295,105,16,415,1080,237,1730
SSC70278,0,0,0,0,0,0,0,0,0,0
SSC70279,0,0,0,8,25,15,50,22,6,79
SSC70280,9,0,12,277,109,14,404,931,158,1489
SSC70281,0,0,0,55,55,33,138,84,48,270
SSC70282,0,0,0,15,18,3,35,59,29,120
SSC70283,0,0,0,8,3,0,15,40,3,54
SSC70284,6,0,6,94,133,64,289,80,72,440
SSC70285,3,0,3,23,22,0,46,125,44,209
SSC70286,0,0,0,9,3,0,15,92,160,268
SSC70287,0,0,0,66,52,5,116,77,12,210
SSC70288,0,0,0,22,3,0,32,46,0,74
SSC70289,0,0,0,28,7,7,48,26,3,76
SSC70290,0,0,0,10,10,0,22,149,30,199
SSC70291,0,0,0,0,0,0,0,0,0,0
SSC70292,8,0,6,543,142,22,707,1453,307,2475
SSC70293,5,0,5,125,16,3,145,569,87,798
SSC70294,5,0,9,433,129,18,578,1073,191,1843
SSC70295,0,0,4,177,94,3,272,846,58,1173
SSC70296,0,0,0,38,29,0,73,38,11,117
SSC70297,0,0,0,13,58,3,84,59,61,209
SSC70298,0,0,0,0,0,0,0,22,11,32
SSC70299,0,0,0,138,255,18,415,143,28,581
SSC70300,0,0,3,56,37,22,109,31,16,159
SSC70301,0,0,3,86,147,65,303,156,77,542
SSC70302,0,0,3,77,13,6,98,712,213,1015
SSC70303,0,0,0,252,33,5,295,471,66,834
SSC79494,0,0,0,151,57,0,211,1317,747,2281
SSC79797,0,0,0,3,0,0,4,43,26,72
