X,Y,MarkerID,Name,Alternate_Name,Type,Facilities_List,Recreation_Activity_List,Address,SUBURB,Link,Disability_Accessible,Playground,Playground_Accessible,Playground_Shaded,Wifi,BBQ,Picnic_Tables,Drinking_Fountains,Toilets_Daylight,Toilets_24hrs,Toilets_Restricted,Showers,Baby_Change,Bicycle_Walk_Paths,Bike_Racks,Exercise_Equipment,Sports_Field_Lighting,Soccer,AFL,Basketball,Tennis,Cricket,Cycling,Swimming,Skateboarding,Watercraft,Rugby,Gaelic,Softball,CENTROID_X,CENTROID_Y,OBJECTID,LAISKEY,Area_m,Park_Class,Ward,Notes
130.919195800954384,-12.415467450933248,PK243,Boulter Road Animal Pound, ,Council Facility,Accessible,,Boulter Road,Berrimah,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.919194812142,-12.4154683202695,491,,,,,Animal Pound
130.826006751172628,-12.454339041640642,PK244,Kahlin Foreshore,,Park,"Accessible,Playground",,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.826029485851,-12.4542464018532,492,Road Reserve,,,,
130.924673186660357,-12.38859756376989,PK245,Shoal Bay Waste & Recycling Facility,,Council Facility,Accessible,,,Holmes,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.924620362028,-12.3881598904324,493,,,,,
130.892022432497413,-12.390497079454155,PK246,Anula Oval,Yanyula Park,Oval,Accessible,Rugby,59 Yanyula Dr Anula,Anula,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,130.892023818536,-12.3904767045586,494,685     07019,95900,District,Waters, 
130.841957570969413,-12.428488537593008,PK247,Parap Tennis Courts, ,Outdoor Recreation,Accessible,Tennis,77 Ross Smith Ave Parap,Parap,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,130.841864541186,-12.4287013131379,495,200     05292,38000,Regional,Lyons,
130.855038399170525,-12.440908137452436,PK248,Bayview Sea Wall, ,Park,"Accessible,Bicycle/Walking Paths",,57 Bayview Bvd Bayview,Bayview,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.85543728354,-12.441069711327,496,200     05988,163300,District,Lyons, 
130.852746023395071,-12.438535661495008,PK249,Bayview Sea Wall, ,Park,"Accessible,Bicycle/Walking Paths",,57 Bayview Bvd Bayview,Bayview,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,130.852686782707,-12.4386537475851,497,200     05988,163300,District,Lyons, 
130.859093024509633,-12.396218003462952,PK250,Velodrome,Bagot Park,Outdoor Recreation,"Accessible,Bicycle/Walking Paths",Cycling,55 Mcmillans Rd Millner,Millner,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,130.859080404102,-12.3962205663857,498,055     01676,96900,Regional,Chan, 
130.857449596665873,-12.383559433185964,PK251,Chrisp Street Tennis Courts,Rapid Creek Park,Outdoor Recreation,Accessible,Tennis,12 Valder Cres Rapid Creek,Rapid Creek,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,130.85738410413,-12.3835416445273,499,550     00732,22400,District,Chan, 
130.866507570489887,-12.3855088615884,PK252,Jingili Water Gardens Skate Park,Rapid Creek Water Gardens,Outdoor Recreation,"Accessible,BBQ,Bicycle/Walking Paths,Drinking Fountains,Picnic Tables,Toilets - Daylight Hours",Skateboarding,91 Freshwater Rd Jingili,Jingili,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,130.866371675752,-12.3854978256248,500,550     09647,280400,Regional,Chan, 
130.901137200585509,-12.391678354837035,PK253,Malak Greenbelt,,Park,"Accessible,Bicycle/Walking Paths",,"13 Malak Cres Malak
",Malak,,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.901151039794,-12.3916127947545,501,"685     02284
",32202,District,Waters,
130.825081334504631,-12.409396006861762,PK254,East Point Reserve,,Park,"Accessible,BBQ,Bicycle/Walking Paths,Drinking Fountains,Exercise Equipment,Picnic Tables,Playground,Showers,Toilets - Daylight Hours",,152 Alec Fong Lim Dr East Point,East Point,http://www.darwin.nt.gov.au/,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,130.830229992644,-12.4121915554387,502,200     05775,1907000,Regional,Lyons, 
130.887258763270552,-12.358819007208025,PK255,Garanmanuk Park, ,Park,"Accessible,Bicycle/Walking Paths,Picnic Tables,Playground,Playground - Shaded",,25 Damabila Dr Lyons,Lyons,http://www.darwin.nt.gov.au/,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.887932038957,-12.3588037952127,503,550     09800,22000,Regional,Richardson, 
130.845702515692523,-12.464516300809459,PK256,Civic Centre,,Council Facility,"Accessible,Bicycle/Bike Racks,Drinking Fountains,Toilets - Daylight Hours,Wifi",,17 Harry Chan Ave Darwin City,Darwin City,http://www.darwin.nt.gov.au/,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.845303747295,-12.464898590441,504,200     03981,20000,Regional,Lyons, 
130.83261391653437,-12.445714362871003,PK257,Mindil Beach,"Casino Drive, Mindil Beach Carpark",Park,"Accessible,BBQ,Bicycle/Walking Paths,Drinking Fountains,Playground,Playground - Shaded,Showers,Toilets - Daylight Hours",,73 Gilruth Ave The Gardens,The Gardens,http://www.darwin.nt.gov.au/,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.832090489128,-12.4461412070833,505,200     05772,110500,Regional,Lyons, 
130.839193916480951,-12.416207592758902,PK258,East Point Reserve and Fannie Bay Oval Surrounds,East Point Reserve,Park,Accessible,,152 Alec Fong Lim Dr East Point,East Point,http://www.darwin.nt.gov.au/,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,130.830229992644,-12.4121915554387,506,200     05775,1907000,Regional,Lyons,Mostly inacessible land
