SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC70073,..,867,867,732,147,878,277,66,338,150,18,172,37,6,43,19,14,28,1224,1110,2332
SSC70074,..,73,73,68,3,73,34,0,29,24,0,24,13,0,13,15,0,15,153,78,233
SSC70075,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70076,..,12,12,10,0,10,3,0,6,8,0,8,6,0,6,7,0,7,28,12,47
SSC70077,..,9,9,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,6,9,12
SSC70078,..,118,118,190,13,201,65,0,66,80,8,89,27,0,27,19,0,14,380,132,512
SSC70079,..,20,20,18,0,22,10,0,10,0,0,0,0,0,0,3,0,3,32,21,46
SSC70080,..,147,147,261,38,297,176,4,184,153,7,156,80,0,80,46,0,46,716,188,905
SSC70081,..,30,30,47,3,54,4,3,6,6,0,6,3,0,3,0,0,0,67,34,98
SSC70082,..,30,30,10,0,10,4,0,4,3,0,3,0,0,0,0,0,0,16,30,48
SSC70083,..,14,14,11,3,18,3,0,3,0,0,0,0,0,0,0,0,0,15,21,34
SSC70084,..,124,124,328,30,363,225,11,240,232,6,241,108,0,108,43,0,43,937,174,1113
SSC70085,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70086,..,6,6,14,0,14,9,0,9,16,0,16,14,0,14,65,0,65,120,6,126
SSC70087,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC70088,..,286,286,277,54,328,162,23,182,125,10,135,66,3,71,16,3,21,650,371,1022
SSC70089,..,4,4,10,0,10,10,0,10,4,0,4,0,0,0,0,0,0,16,4,21
SSC70090,..,8,8,16,0,15,3,0,3,7,0,7,0,0,0,3,0,3,23,12,36
SSC70091,..,14,14,10,0,10,8,0,8,13,0,13,13,0,13,19,0,19,59,15,73
SSC70092,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13
SSC70094,..,12,12,9,0,14,7,0,7,8,0,8,7,0,7,13,0,15,49,16,63
SSC70095,..,0,0,5,0,5,0,0,0,0,0,0,0,0,0,10,0,10,23,0,27
SSC70096,..,6,6,12,0,12,3,0,3,3,0,3,0,0,0,0,0,0,20,6,31
SSC70097,..,257,257,302,39,338,135,16,147,132,4,142,36,0,38,20,0,21,625,321,951
SSC70098,..,45,45,120,6,127,91,4,92,114,0,120,40,0,40,13,0,13,374,57,435
SSC70099,..,9,9,8,0,8,3,0,3,13,0,13,3,0,3,3,0,3,40,9,42
SSC70100,..,8,8,5,0,5,3,0,3,4,0,4,3,0,3,0,0,0,13,8,22
SSC70101,..,0,0,9,0,9,3,0,3,8,0,8,4,0,4,0,0,0,24,0,25
SSC70102,..,12,12,17,0,17,8,0,8,8,0,8,4,0,4,3,0,3,40,12,48
SSC70103,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70104,..,10,10,6,0,6,3,0,3,0,0,0,4,0,4,6,0,6,25,10,30
SSC70105,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,4,0,4
SSC70106,..,38,38,30,6,34,15,0,15,23,0,23,28,0,28,164,0,164,263,42,305
SSC70107,..,7,7,10,0,13,8,0,5,12,0,12,15,0,15,74,0,74,118,7,126
SSC70108,..,3,3,6,0,7,4,0,4,4,0,4,0,0,0,0,0,0,11,9,16
SSC70109,..,294,294,354,60,411,246,26,271,207,8,215,99,0,99,62,6,64,973,383,1355
SSC70110,..,62,62,125,9,139,92,5,98,119,0,119,49,0,49,31,0,31,417,81,495
SSC70111,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70112,..,316,316,288,45,328,163,6,174,160,3,169,76,0,76,50,0,45,745,377,1117
SSC70113,..,7,7,3,0,3,0,0,0,3,0,3,0,0,0,7,0,7,9,7,14
SSC70114,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70115,..,25,25,17,0,17,16,0,14,25,0,25,25,0,25,81,0,81,161,24,186
SSC70116,..,95,95,245,26,269,160,11,169,168,0,169,87,4,90,28,0,31,689,137,830
SSC70117,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70118,..,3,3,5,0,5,3,0,8,7,0,7,3,0,3,17,0,17,38,3,44
SSC70119,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70120,..,7,7,5,0,5,0,0,0,3,0,3,0,0,0,11,0,11,16,7,23
SSC70121,..,6,6,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,6,17
SSC70122,..,6,6,3,0,3,3,0,3,7,0,7,0,0,0,7,0,7,25,6,25
SSC70123,..,62,62,149,21,173,103,0,98,107,4,108,46,0,46,26,0,26,429,89,521
SSC70124,..,26,26,21,6,28,13,0,13,17,0,17,7,0,7,36,0,36,96,28,119
SSC70125,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70126,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70127,..,9,9,26,0,29,8,0,8,9,0,9,0,0,3,3,0,3,48,15,64
SSC70128,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70129,..,176,176,314,33,341,172,0,171,182,0,182,86,0,87,44,0,44,802,211,1012
SSC70130,..,22,22,16,0,21,12,0,12,6,0,6,4,0,4,8,0,8,44,17,65
SSC70131,..,3,3,4,0,4,0,0,0,3,0,3,3,0,3,3,0,3,14,3,17
