SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC70191,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70192,..,94,94,144,17,164,130,5,137,91,0,93,64,0,64,45,0,45,474,122,595
SSC70193,..,233,233,237,29,269,181,7,189,144,0,144,73,0,73,51,0,51,696,273,969
SSC70194,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,3,8
SSC70195,..,61,61,62,4,63,26,0,26,20,3,22,14,0,14,4,0,4,123,66,191
SSC70196,..,4,4,4,0,4,3,0,3,7,0,7,9,0,9,10,0,10,30,4,31
SSC70197,..,12,12,9,0,9,0,0,0,0,0,0,0,0,0,3,0,3,14,12,27
SSC70198,..,28,28,188,9,194,139,4,149,197,5,198,77,3,82,31,0,33,630,48,684
SSC70199,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70200,..,15,15,9,3,13,3,0,3,12,0,12,4,0,4,15,0,15,45,15,55
SSC70201,..,72,72,146,15,159,95,3,101,103,10,108,62,3,69,51,0,48,455,106,561
SSC70202,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,4,3,10
SSC70203,..,14,14,4,0,9,15,0,15,9,0,9,9,0,9,20,0,20,55,16,74
SSC70204,..,5,5,5,0,5,4,0,4,3,0,3,3,0,3,7,0,7,25,5,30
SSC70205,..,3,3,0,0,0,3,0,3,0,0,3,4,0,4,3,0,3,11,6,18
SSC70206,..,6,6,3,0,3,4,0,4,3,0,3,8,0,8,34,0,34,44,6,53
SSC70207,..,10,10,12,0,10,8,0,8,10,0,10,17,0,17,89,0,89,132,12,149
SSC70208,..,213,213,255,23,273,145,3,148,192,3,194,97,0,97,40,0,40,731,241,971
SSC70209,..,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,3,3,9
SSC70210,..,417,417,429,70,499,197,25,225,159,13,178,76,0,78,31,4,35,900,534,1433
SSC70211,..,11,11,13,3,16,3,0,3,5,0,5,3,0,3,4,0,4,31,13,46
SSC70212,..,32,32,28,3,33,9,0,9,15,0,15,13,0,13,0,0,0,67,36,105
SSC70213,..,19,19,13,0,18,18,0,18,15,0,15,18,0,18,56,0,56,120,20,137
SSC70214,..,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,7,0,3
SSC70215,..,13,13,6,0,11,10,0,10,15,0,15,8,0,8,9,0,9,46,12,61
SSC70216,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC70217,..,6,6,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,12,11
SSC70218,..,11,11,11,0,12,4,0,4,3,0,3,9,0,9,27,0,27,50,13,69
SSC70219,..,264,264,317,49,368,135,16,147,148,7,153,49,0,50,19,0,21,664,342,1007
SSC70220,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70221,..,4,4,0,0,0,3,0,3,3,0,3,0,0,0,10,0,10,20,4,20
SSC70222,..,3,3,12,0,8,0,0,0,3,0,3,3,0,3,3,0,3,18,6,21
SSC70223,..,4,4,3,0,3,0,0,0,0,0,0,3,0,3,12,0,12,16,4,21
SSC70224,..,55,55,20,4,25,4,0,4,9,0,9,3,0,3,10,0,10,56,58,112
SSC70225,..,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,11
SSC70226,..,9,9,27,4,28,10,0,10,17,0,17,9,0,9,15,0,15,73,10,90
SSC70227,..,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7
SSC70228,..,0,0,9,0,9,0,0,0,0,0,0,3,0,3,0,0,0,14,0,11
SSC70229,..,19,19,14,4,17,9,0,9,12,0,12,3,0,3,63,0,63,103,19,124
SSC70230,..,0,0,6,0,6,0,0,0,3,0,4,0,0,0,0,0,0,10,5,10
SSC70231,..,308,308,315,72,395,186,23,209,147,9,155,69,3,74,18,0,18,738,412,1150
SSC70232,..,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,10
SSC70233,..,15,15,3,0,3,3,0,3,3,0,3,0,0,0,14,0,14,25,15,34
SSC70234,..,142,142,345,39,385,269,9,278,279,3,281,126,0,126,63,0,63,1087,193,1281
SSC70235,..,109,109,82,9,85,35,0,35,16,0,16,13,0,13,5,0,5,157,118,277
SSC70236,..,5,5,12,0,12,6,0,6,5,0,5,0,0,0,0,0,0,17,5,22
SSC70237,..,198,198,166,25,196,116,8,125,100,0,100,47,0,47,34,0,34,470,238,703
SSC70238,..,16,16,17,3,23,8,0,8,14,0,14,12,0,12,42,0,42,94,19,117
SSC70239,..,20,20,13,0,14,16,0,20,17,0,17,11,0,11,38,0,38,98,24,120
SSC70240,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70241,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70242,..,23,23,23,0,20,9,0,13,11,0,11,6,0,6,3,0,3,49,25,76
SSC70243,..,3,3,9,0,9,0,0,0,0,0,0,5,0,5,0,0,0,18,3,21
SSC70244,..,27,27,40,0,46,18,0,20,22,0,22,8,0,8,5,0,5,99,32,129
SSC70245,..,378,378,469,132,601,220,57,277,157,12,167,39,4,42,49,0,47,928,582,1513
SSC70246,..,4,4,4,0,5,3,0,3,0,0,0,0,0,0,0,0,0,8,5,14
SSC70247,..,10,10,16,3,16,3,0,3,5,0,5,3,0,3,9,0,9,31,10,43
SSC70248,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
SSC70249,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9
SSC70250,..,3,3,0,0,0,0,0,0,4,0,4,3,0,3,4,0,4,12,3,10
SSC70251,..,282,282,212,21,231,118,3,123,82,5,90,57,0,57,88,0,88,560,308,865
SSC70252,..,0,0,3,0,3,7,0,7,6,0,6,10,0,10,10,0,10,34,0,34
SSC70253,..,230,230,145,37,178,77,17,88,48,3,50,20,0,20,17,0,23,301,282,590
SSC70254,..,101,101,115,30,149,37,9,41,17,0,17,9,0,9,0,0,0,173,138,313
SSC70255,..,89,89,59,7,70,20,4,24,29,0,28,9,0,9,10,0,10,125,98,226
SSC70256,..,6,6,3,3,8,4,0,4,0,0,0,0,0,0,0,0,0,16,13,27
SSC70257,..,26,26,23,0,18,5,0,5,3,0,3,3,0,3,8,0,8,41,27,71
SSC70258,..,11,11,53,0,53,31,0,31,56,0,56,22,0,22,9,0,9,172,9,186
SSC70259,..,5,5,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,10,5,11
SSC70260,..,9,9,10,0,10,7,0,7,8,0,4,3,0,3,15,0,15,35,11,47
SSC70261,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70262,..,167,167,231,27,256,142,8,148,125,7,126,47,0,44,36,0,36,574,204,781
SSC70263,..,6,6,13,0,13,10,0,10,3,0,3,0,0,0,3,0,3,32,6,41
SSC70264,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70265,..,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC70266,..,7,7,23,3,26,6,0,6,9,0,9,7,0,7,3,0,3,46,11,55
SSC70267,..,9,9,13,0,13,7,0,7,9,0,9,12,0,12,31,0,31,78,9,84
SSC70268,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70269,..,13,13,20,0,19,13,0,13,5,0,5,0,0,0,3,0,3,41,14,51
SSC70270,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70271,..,4,4,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,9,4,16
SSC70272,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70273,..,6,6,10,6,14,0,0,0,3,0,3,0,0,0,8,0,8,19,15,30
SSC70274,..,104,104,189,15,202,84,3,89,100,3,105,49,0,49,34,0,34,461,128,588
