SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC70238,0,0,3,92,171,50,11,33,73,434
SSC70239,0,0,3,104,126,60,8,62,35,397
SSC70240,0,0,0,9,3,3,0,5,0,16
SSC70241,0,0,0,0,0,0,0,0,0,0
SSC70242,0,0,0,25,35,16,15,30,41,167
SSC70243,0,0,0,6,12,3,6,7,22,51
SSC70244,0,0,0,97,89,26,11,74,39,344
SSC70245,10,3,21,1039,944,258,130,701,515,3586
SSC70246,0,0,0,7,3,0,3,12,10,40
SSC70247,0,0,0,37,25,15,21,46,10,157
SSC70248,0,0,0,9,10,0,3,27,15,64
SSC70249,0,0,0,0,3,0,5,3,13,31
SSC70250,0,0,0,18,9,3,5,5,15,56
SSC70251,7,3,7,541,516,194,100,586,406,2351
SSC70252,0,0,0,31,30,47,5,12,0,128
SSC70253,0,3,8,324,348,118,79,301,265,1429
SSC70254,0,0,4,172,196,53,22,134,56,638
SSC70255,0,0,3,89,133,60,32,113,73,500
SSC70256,0,0,0,9,11,12,0,13,9,62
SSC70257,0,0,0,50,39,12,8,49,36,197
SSC70258,0,0,0,160,177,53,49,109,82,630
SSC70259,0,0,0,9,4,4,0,9,0,22
SSC70260,0,0,0,26,51,19,0,42,42,183
SSC70261,0,0,0,0,0,0,0,0,0,0
SSC70262,51,13,84,392,535,216,153,514,238,2049
SSC70263,0,0,0,24,37,15,0,14,9,96
SSC70264,0,0,0,0,0,0,0,0,0,3
SSC70265,0,0,0,0,0,3,0,0,3,14
SSC70266,0,0,3,24,29,8,20,33,24,135
SSC70267,0,0,0,138,40,7,14,141,42,369
SSC70268,0,0,0,0,0,0,0,0,0,0
SSC70269,0,0,0,22,44,14,9,20,13,123
SSC70270,0,0,0,0,0,0,0,0,0,0
SSC70271,0,0,0,14,15,0,0,23,88,137
SSC70272,0,0,0,0,0,0,0,0,0,0
SSC70273,0,0,0,24,15,12,0,15,46,119
SSC70274,7,0,6,298,465,167,162,227,166,1476
SSC70275,0,0,0,394,367,181,61,296,263,1554
SSC70276,0,0,3,81,123,68,46,53,25,394
SSC70277,3,0,8,318,373,141,104,546,252,1730
SSC70278,0,0,0,0,0,0,0,0,0,0
SSC70279,0,0,0,6,21,30,4,3,6,79
SSC70280,8,0,12,323,436,146,133,295,163,1489
SSC70281,0,0,0,23,103,47,21,20,50,270
SSC70282,0,0,0,26,25,14,4,20,28,120
SSC70283,0,0,0,15,13,9,10,13,3,54
SSC70284,0,0,6,52,144,72,68,30,80,440
SSC70285,0,0,3,50,67,19,6,16,47,209
SSC70286,0,0,0,4,9,3,0,85,160,268
SSC70287,0,0,0,81,40,31,0,48,8,210
SSC70288,0,0,0,28,21,3,0,25,3,74
SSC70289,0,0,0,36,7,12,3,7,14,76
SSC70290,0,0,0,48,39,17,3,59,28,199
SSC70291,0,0,0,0,0,0,0,0,0,0
SSC70292,3,0,6,547,740,244,176,445,321,2475
SSC70293,0,0,5,292,212,56,31,131,83,798
SSC70294,4,0,9,423,527,216,137,335,202,1843
SSC70295,0,0,4,213,222,85,21,570,65,1173
SSC70296,0,0,0,36,23,7,4,31,8,117
SSC70297,0,0,0,71,22,25,18,16,58,209
SSC70298,0,0,0,3,9,0,0,5,11,32
SSC70299,0,0,0,181,161,75,82,56,25,581
SSC70300,0,0,3,18,30,40,51,4,14,159
SSC70301,0,0,3,136,156,64,57,48,74,542
SSC70302,0,0,3,259,211,50,29,258,221,1015
SSC70303,0,0,0,194,259,81,64,163,71,834
SSC79494,0,0,0,334,366,137,92,522,839,2281
SSC79797,0,0,0,0,0,0,4,43,23,72
