SSC_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SSC70085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70086,0,0,48,48,12,0,23,38,20,0,27,53,34,3,20,57,15,0,20,41,13,0,14,27,3,0,7,14,3,0,4,4,0,0,0,0,106,3,170,278,3,0,41,48,10,0,28,41,27,0,24,52,38,3,26,69,12,0,15,31,15,0,14,28,0,0,6,10,0,0,3,3,0,0,0,0,103,3,167,275,3,0,94,95,25,0,49,77,45,0,59,105,79,4,47,126,33,0,38,68,26,0,28,51,6,0,14,23,3,0,3,9,0,0,0,0,211,4,336,553
SSC70087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,13
SSC70088,0,0,81,78,0,13,49,59,31,49,90,173,78,34,50,161,73,22,51,154,71,26,40,140,44,14,20,77,11,0,4,16,0,0,3,5,314,161,385,868,0,3,58,62,0,21,38,59,61,61,107,232,78,36,78,191,87,41,77,207,73,24,81,173,20,8,45,72,11,0,21,28,0,0,3,3,337,190,508,1030,0,3,144,143,0,37,81,119,96,111,195,399,162,75,123,356,163,71,128,358,146,49,117,319,65,15,66,150,17,0,25,49,0,0,11,14,649,354,895,1897
SSC70089,0,0,0,0,0,0,0,3,3,3,0,4,3,0,0,7,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,5,24,0,0,0,0,0,3,0,3,3,0,0,6,4,0,0,9,3,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,17,0,0,0,0,0,4,0,3,5,3,0,10,11,3,0,13,3,5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11,9,43
SSC70090,0,0,6,6,0,0,3,4,0,0,6,6,0,0,0,4,6,9,0,15,0,0,3,6,4,0,0,3,0,0,0,0,0,0,0,0,10,10,14,40,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,3,8,3,8,3,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,11,15,7,31,0,0,6,6,0,3,4,3,3,5,6,12,3,7,0,7,10,12,4,20,5,0,6,15,4,0,0,4,0,0,0,0,0,0,0,0,26,24,22,69
SSC70091,0,0,8,8,3,3,6,11,0,11,5,15,4,11,9,21,0,4,0,13,0,4,0,8,0,0,3,9,0,0,4,4,0,0,0,0,12,34,39,87,0,0,9,9,3,3,4,11,0,9,12,26,3,10,6,19,0,3,11,15,3,3,10,17,0,0,3,9,0,0,0,0,0,0,0,0,9,32,62,106,0,0,23,23,6,7,11,28,3,22,19,42,3,19,11,43,3,8,15,25,4,6,10,26,5,3,10,12,0,0,3,3,0,0,0,0,23,66,101,197
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,3,3,0,3,0,3,0,0,0,0,0,0,0,0,3,4,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,9,9,4,19
SSC70094,0,0,10,15,7,3,8,11,3,3,10,16,8,4,8,16,5,6,10,22,6,5,6,16,0,0,3,7,0,0,0,0,0,0,0,0,27,18,52,104,3,0,12,15,3,0,17,18,6,4,4,20,3,6,8,18,9,4,3,16,6,3,5,10,0,0,3,5,0,0,0,0,0,0,0,0,29,19,43,96,3,0,20,24,11,5,19,31,9,5,17,38,12,12,14,30,14,8,12,38,8,7,10,22,3,0,4,8,0,0,3,3,0,0,0,0,61,38,98,201
