SSC_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
SSC70105,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,15
SSC70106,3,0,103,107,15,0,64,78,83,7,96,183,76,3,39,113,57,9,39,101,34,0,24,55,6,0,6,14,0,0,4,4,0,0,0,0,275,15,378,671,3,0,105,110,28,4,64,92,88,0,89,177,74,3,56,134,56,5,44,107,26,3,51,79,0,0,19,23,0,0,3,3,0,0,0,0,276,19,433,724,8,0,206,218,43,3,124,176,172,13,181,362,150,4,97,252,118,9,89,213,55,3,72,131,6,0,28,35,0,0,9,13,0,0,0,0,552,35,808,1399
SSC70107,0,0,51,50,11,0,33,46,33,3,52,89,30,3,24,51,17,0,19,30,17,0,10,26,0,0,3,11,0,0,0,0,0,0,0,0,113,12,179,301,7,0,35,36,12,0,25,44,26,3,50,80,34,0,41,78,16,4,21,41,4,0,15,21,0,0,9,9,0,0,3,3,0,0,0,0,107,8,199,315,5,0,85,92,25,0,58,84,68,11,102,173,64,7,63,133,27,3,40,70,24,0,25,51,0,0,8,18,0,0,3,3,0,0,0,0,221,22,381,619
SSC70108,0,0,0,0,0,3,5,4,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,8,16,0,0,0,0,0,4,0,4,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,0,0,0,0,0,4,5,7,4,0,0,3,3,3,3,4,0,0,0,0,4,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,11,9,11,30
SSC70109,0,3,120,124,4,20,67,92,97,62,114,262,146,56,70,273,129,38,69,238,95,27,51,173,49,8,26,75,17,0,7,30,3,0,6,7,543,208,524,1273,0,3,96,100,12,24,65,109,124,77,112,312,152,54,80,286,127,52,103,287,86,24,82,194,30,5,46,87,9,0,29,36,0,0,12,14,551,240,631,1428,0,7,220,226,22,44,136,200,217,140,224,581,298,103,150,553,257,92,176,529,182,52,134,368,79,7,70,165,27,3,35,70,3,0,19,20,1094,446,1159,2699
SSC70110,0,0,59,59,0,7,41,51,21,23,30,68,66,27,18,116,92,25,31,149,52,18,26,95,30,3,17,48,0,0,7,6,0,0,0,0,264,108,229,602,0,0,49,52,0,14,19,31,28,28,17,75,95,30,19,142,85,31,25,140,50,7,13,69,11,3,9,24,3,0,4,7,0,0,0,0,275,112,151,540,0,0,114,116,3,19,56,78,51,50,48,140,165,61,34,259,175,56,57,294,102,29,36,162,36,5,24,68,3,0,5,14,0,0,0,0,534,220,381,1137
SSC70111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70112,0,0,90,96,0,24,67,89,67,46,98,220,91,29,82,200,76,30,98,208,68,18,55,143,36,7,35,73,13,0,16,25,0,0,9,7,357,159,547,1062,0,7,79,81,4,25,54,87,97,52,93,245,100,34,82,216,77,25,63,164,55,16,62,134,29,5,44,79,5,0,23,29,4,0,10,11,371,166,512,1048,0,7,172,178,4,47,124,176,165,99,196,463,190,67,165,417,152,57,162,366,124,35,113,278,70,8,74,157,16,0,37,51,3,0,15,21,725,326,1060,2104
SSC70113,0,0,5,5,3,0,0,3,0,0,0,4,0,0,6,7,0,3,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,15,29,0,0,3,3,3,0,0,3,0,0,0,3,0,3,0,3,0,6,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,17,0,0,12,12,5,0,0,5,4,0,0,5,0,4,6,10,3,6,0,8,3,3,6,6,0,0,0,0,0,0,0,0,0,0,0,0,14,12,22,42
SSC70114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70115,8,0,55,66,14,0,28,43,40,8,35,86,36,4,21,69,27,0,17,43,18,4,5,29,7,0,4,8,0,0,0,0,0,0,0,0,150,21,173,344,8,3,52,63,17,0,31,52,45,7,45,102,36,6,41,80,27,0,27,61,8,3,19,30,0,0,3,3,0,0,5,4,0,0,0,0,151,23,218,394,17,3,107,127,36,3,61,97,89,19,83,185,70,10,66,143,58,3,44,106,32,8,28,58,9,0,4,13,0,0,5,4,0,0,0,0,300,44,392,737
SSC70116,0,0,62,62,3,24,59,94,82,88,67,232,126,35,36,201,92,19,37,156,69,9,9,88,14,0,7,26,7,0,3,12,3,0,0,3,401,185,290,871,0,0,71,73,9,32,45,88,112,77,45,238,127,47,29,203,86,18,32,136,49,14,35,95,13,4,16,34,4,0,9,14,0,0,0,0,406,192,274,874,0,0,133,134,13,60,107,177,195,161,109,471,258,81,67,406,184,40,67,291,120,20,43,182,30,8,25,57,9,0,12,17,3,0,0,3,806,376,564,1744
SSC70117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
SSC70118,4,0,6,11,0,0,4,6,7,0,17,25,9,0,5,14,0,0,3,3,9,0,6,16,7,0,3,5,0,0,0,0,0,0,0,0,34,0,48,81,0,0,11,12,0,0,11,15,14,0,18,26,10,0,7,16,4,0,9,11,6,0,4,7,0,0,4,3,0,0,0,0,0,0,0,0,35,0,62,89,0,0,16,24,5,0,15,22,20,0,36,55,12,0,14,25,5,0,10,18,9,0,8,21,4,0,4,8,0,0,0,0,0,0,0,0,63,0,106,175
SSC70119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8
SSC70120,0,0,13,13,0,0,0,0,4,0,5,13,5,0,3,6,3,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,29,42,0,0,9,9,0,0,0,0,9,0,3,14,10,0,7,13,3,0,5,10,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,15,0,28,45,0,0,19,19,0,0,0,0,11,0,14,25,12,0,7,23,10,0,10,16,0,0,4,3,0,0,3,3,0,0,0,0,0,0,0,0,32,0,58,87
SSC70121,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,3,5,16,0,0,0,0,0,0,0,4,0,0,4,4,0,0,6,3,3,0,4,3,4,0,3,5,6,0,0,6,0,0,3,3,0,0,0,0,7,3,15,26
SSC70122,0,0,6,6,0,0,0,0,7,4,4,11,4,0,4,4,3,0,0,3,0,4,5,7,0,0,4,4,0,0,0,0,0,0,0,0,18,8,18,44,0,0,3,3,0,0,0,0,4,3,3,11,3,0,3,10,0,0,5,9,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,17,6,16,38,0,0,8,8,0,0,0,0,9,3,7,22,10,0,9,18,4,0,5,7,6,4,4,17,0,0,0,6,0,0,0,0,0,0,0,0,33,10,35,79
SSC70123,0,0,50,50,0,3,21,27,40,48,27,106,77,31,22,129,66,35,37,132,41,6,22,70,13,7,13,31,13,0,5,16,0,0,0,0,249,125,184,561,0,0,31,35,0,12,21,36,59,38,22,122,85,25,18,133,60,27,35,122,38,12,21,70,12,3,12,29,4,0,3,10,0,0,0,0,261,124,163,558,0,0,82,81,3,16,42,65,99,83,46,227,165,57,33,259,127,57,77,258,81,18,39,143,33,10,24,66,16,0,9,24,0,0,0,0,515,254,352,1113
SSC70124,0,0,29,27,4,4,12,26,28,10,15,47,7,7,9,24,15,0,9,27,12,0,7,17,0,0,3,5,0,0,0,0,0,0,0,0,69,16,74,167,6,0,14,22,10,3,12,26,10,6,27,51,14,4,20,42,18,0,14,31,9,0,9,21,0,0,6,6,0,0,3,3,0,0,0,0,71,18,111,205,5,0,39,48,15,5,27,49,36,13,39,98,24,14,25,62,34,4,23,60,23,0,20,41,0,0,8,15,0,0,3,3,0,0,0,0,143,41,184,368
SSC70125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70127,0,0,3,3,0,0,3,3,0,3,4,5,6,0,3,7,13,5,4,23,12,0,3,12,5,0,0,9,0,0,0,3,0,0,0,0,33,5,18,61,0,0,0,0,0,0,3,3,3,3,0,9,4,0,3,12,7,3,0,15,16,3,0,19,3,0,4,3,0,0,0,0,0,0,0,0,36,10,14,67,0,0,10,10,0,0,8,8,4,3,6,13,9,0,7,15,21,5,8,36,20,3,0,28,10,0,4,15,0,0,3,3,0,0,0,0,71,20,39,128
SSC70128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70129,0,4,94,93,4,16,64,77,24,38,64,135,96,39,50,183,142,62,50,251,132,50,56,232,87,9,45,143,24,0,20,46,3,0,6,14,508,213,453,1178,0,3,67,74,3,18,43,71,40,36,39,116,98,50,31,179,156,62,36,251,130,41,48,219,73,7,27,100,8,0,16,25,3,0,10,11,512,213,317,1048,0,5,164,167,4,31,109,145,70,80,105,250,194,86,84,367,298,122,82,499,262,90,102,453,158,14,72,248,30,3,36,67,6,0,16,21,1026,428,765,2221
SSC70130,0,0,9,9,0,0,11,11,0,0,3,0,3,9,3,10,0,3,7,11,5,6,7,17,0,0,3,5,3,0,0,5,0,0,0,0,17,18,35,64,0,0,3,3,0,0,10,10,0,0,10,5,3,3,4,6,5,8,7,16,3,4,13,17,7,0,5,6,0,0,0,0,0,0,0,0,12,10,43,70,0,0,11,11,0,0,15,15,0,0,12,8,3,10,9,20,10,6,7,23,10,12,22,34,9,0,3,9,3,0,4,9,0,0,0,0,27,26,77,137
SSC70131,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,0,0,0,5,3,0,0,6,0,0,0,0,0,0,0,0,12,7,13,24,0,0,0,0,0,0,0,0,0,0,6,6,5,0,0,3,3,0,0,3,0,0,3,10,0,0,0,0,0,0,3,3,0,0,0,0,8,3,15,22,0,0,4,4,0,0,4,4,0,0,6,4,6,0,3,8,3,0,3,8,3,3,3,9,4,0,0,6,0,0,3,3,0,0,0,0,16,8,26,47
SSC70132,0,3,142,141,0,13,87,106,68,68,100,243,137,79,59,278,187,67,89,347,123,38,76,234,86,9,50,145,11,0,12,23,3,0,0,6,629,280,622,1527,0,5,107,108,7,22,68,94,94,90,63,248,174,63,43,284,178,76,56,308,119,25,56,202,59,11,33,105,5,0,17,27,0,0,3,4,640,289,449,1378,0,5,243,248,4,38,158,197,165,161,165,490,311,140,104,560,362,145,146,654,243,63,133,442,149,24,85,249,17,0,30,48,0,0,7,13,1261,569,1070,2901
SSC70133,0,0,17,17,0,3,12,9,4,3,8,15,8,4,4,22,22,8,9,44,22,0,9,29,7,0,0,14,3,0,0,3,0,0,0,0,70,22,60,153,0,0,13,13,0,0,12,12,4,7,9,21,12,3,8,25,29,10,9,45,18,0,10,33,0,0,3,4,0,0,3,5,0,0,0,0,63,23,66,153,0,0,29,29,0,3,22,23,7,11,16,37,26,6,17,45,55,18,15,85,39,3,21,61,7,3,3,14,3,0,8,7,0,0,0,0,130,47,130,300
SSC70134,0,0,3,3,0,0,0,4,6,0,3,12,6,0,0,7,4,0,0,6,5,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,14,0,17,33,0,0,0,0,0,0,0,0,7,0,3,12,6,0,0,6,3,0,3,7,4,0,3,6,0,0,4,4,0,0,0,0,0,0,0,0,20,0,17,34,0,0,3,3,0,0,3,4,14,0,7,25,8,0,3,11,4,0,3,7,7,0,4,11,0,0,4,4,0,0,0,0,0,0,0,0,34,0,31,69
SSC70135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70136,0,0,19,19,0,6,20,26,19,10,28,64,39,19,26,86,34,16,28,78,20,3,19,44,3,0,3,5,0,0,0,0,0,0,0,0,116,57,139,315,0,0,5,6,3,9,5,18,30,19,18,72,31,22,13,70,29,10,22,65,11,3,11,28,3,0,3,9,0,0,3,3,0,0,0,0,119,67,86,270,0,0,26,29,3,16,28,41,53,35,48,133,70,36,44,152,63,27,50,138,35,12,30,71,11,0,7,16,0,0,3,3,0,0,0,0,232,122,227,586
SSC70137,0,0,19,19,5,0,9,11,12,0,3,16,17,0,3,20,15,0,5,14,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,47,0,39,88,0,0,20,20,7,0,3,12,12,0,11,23,13,0,14,24,7,0,13,17,3,0,8,12,0,0,3,3,0,0,0,0,0,0,0,0,44,0,59,110,0,0,35,35,11,0,11,24,25,0,12,39,30,0,18,51,24,0,14,35,3,0,8,13,0,0,3,3,0,0,3,3,0,0,0,0,93,0,103,193
SSC70138,0,0,46,46,0,4,36,41,16,21,45,82,70,35,43,142,60,21,35,110,45,7,22,76,43,5,12,60,17,3,10,32,0,0,0,3,242,95,245,590,0,0,44,50,0,0,30,30,38,28,38,103,72,33,23,131,54,26,54,138,43,8,37,88,36,5,20,64,8,0,10,16,0,0,4,4,256,103,265,620,0,0,86,88,5,3,65,73,51,48,81,182,141,65,68,272,114,49,88,248,85,15,56,165,80,6,36,118,22,3,23,50,0,0,9,10,497,193,510,1201
SSC70139,0,0,31,35,11,40,74,123,90,81,75,249,99,21,16,138,44,4,9,56,17,3,8,21,9,0,0,5,0,0,0,0,0,0,0,0,265,153,216,634,0,5,29,34,12,55,49,115,111,71,56,238,103,20,26,154,27,6,28,59,16,3,16,25,3,4,4,9,0,0,0,0,0,0,0,0,269,160,200,638,0,7,60,70,20,94,126,244,204,147,132,490,204,42,42,291,66,15,31,113,24,3,17,49,9,3,7,19,0,0,0,0,0,0,0,0,537,312,421,1266
SSC70140,3,0,6,8,3,0,12,12,9,3,9,17,5,6,4,15,6,3,7,18,3,0,4,5,3,0,0,3,0,0,0,0,0,0,0,0,32,10,39,79,4,0,8,7,3,0,9,10,6,0,3,15,3,0,4,7,4,0,11,19,3,0,5,6,3,0,6,6,0,0,0,0,0,0,0,0,30,10,34,74,7,0,12,20,3,0,18,19,17,3,9,27,9,6,9,24,15,3,18,35,7,0,9,15,6,0,6,10,0,0,0,0,0,0,0,0,61,19,73,156
SSC70141,3,0,12,12,4,0,11,15,18,5,3,21,8,0,3,13,8,3,3,17,8,0,4,13,0,0,3,3,3,0,3,3,0,0,0,0,45,7,43,93,0,0,6,8,9,0,8,21,16,0,13,24,0,3,15,15,6,0,16,24,7,0,6,8,0,0,4,7,0,0,3,3,0,0,0,0,41,9,68,118,3,0,17,22,11,5,16,36,31,3,16,45,10,3,18,30,14,4,16,36,10,0,13,22,0,0,5,9,3,0,6,6,0,0,0,0,83,13,109,209
SSC70142,0,0,12,12,0,3,12,9,6,0,12,20,17,0,7,28,10,3,9,25,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,0,36,8,64,110,0,0,13,13,4,0,8,12,13,0,7,19,12,3,12,22,7,3,10,21,0,0,5,7,0,0,4,4,0,0,0,0,0,0,0,0,35,11,58,101,0,0,26,28,3,0,16,25,19,0,16,40,27,6,20,53,14,9,17,44,0,0,15,13,0,0,3,8,3,0,0,6,0,0,0,0,70,20,122,212
SSC70143,0,0,177,176,0,17,131,148,86,66,144,298,172,43,86,298,151,36,71,263,164,24,64,254,71,8,36,112,15,0,13,24,3,0,6,10,663,203,721,1580,0,3,146,154,6,21,92,121,125,78,155,355,185,43,101,328,159,40,102,293,132,18,98,250,38,3,54,98,6,0,36,39,0,0,13,13,659,211,787,1661,0,3,320,329,10,41,216,271,214,144,299,658,354,86,181,632,312,79,171,560,294,46,162,504,110,10,89,215,25,0,45,68,3,0,18,19,1324,416,1507,3244
SSC70144,0,0,20,20,0,7,16,31,21,25,37,88,26,13,12,52,33,17,21,63,36,10,16,62,20,0,18,38,0,0,11,13,0,0,0,0,135,77,152,365,0,0,24,28,3,13,14,36,30,25,30,84,28,16,20,63,33,15,33,79,38,13,25,72,4,0,16,23,0,0,6,7,0,0,3,3,143,77,173,398,0,0,43,48,3,26,37,63,55,51,72,172,48,28,37,116,61,30,50,144,71,24,38,135,27,0,30,59,3,0,19,18,3,0,3,5,273,156,328,761
SSC70145,0,0,90,90,3,17,55,72,71,51,75,202,92,35,30,157,83,34,35,154,56,10,22,93,30,5,22,56,8,0,11,21,0,0,0,0,349,151,340,844,0,0,71,71,5,20,46,74,92,70,60,219,105,35,39,184,84,24,29,140,52,14,48,112,20,4,27,53,4,0,8,18,0,0,0,0,364,168,338,865,0,0,160,166,7,39,96,144,159,124,136,419,200,69,72,341,163,56,72,290,109,21,72,205,52,9,52,111,13,0,25,40,0,0,0,3,711,321,678,1712
SSC70146,0,0,29,24,0,10,23,31,26,24,33,89,28,8,20,53,26,9,18,62,26,14,41,81,19,5,27,50,3,0,6,14,0,0,0,0,125,74,205,408,0,3,21,25,0,9,22,34,36,26,41,99,29,12,34,78,26,16,36,70,24,10,25,56,7,3,17,33,7,0,7,8,0,0,0,0,131,74,203,403,0,3,48,54,0,18,49,71,55,49,75,181,57,23,52,134,56,22,52,134,49,21,74,138,31,11,43,79,5,0,15,21,0,0,0,0,252,148,405,810
SSC70147,0,0,4,4,0,0,7,13,3,0,4,10,3,0,0,8,3,0,4,10,0,0,4,5,6,0,3,11,0,0,4,5,0,0,0,0,23,3,28,54,0,0,0,0,0,3,3,4,3,0,3,13,5,0,7,13,3,0,7,10,3,0,0,3,4,0,3,7,3,0,3,6,0,0,3,3,18,4,34,62,0,0,8,8,0,4,7,14,6,4,10,20,7,0,5,14,11,0,8,18,3,0,3,5,7,0,7,18,5,0,11,9,0,0,4,4,39,5,67,116
SSC70148,0,0,13,13,3,0,9,16,11,0,6,23,16,3,6,22,8,0,4,12,9,0,6,13,5,0,3,7,0,0,0,0,0,0,0,0,55,7,47,111,0,0,15,19,4,0,12,15,12,0,16,35,12,3,18,32,3,0,11,14,10,0,9,25,3,0,3,9,0,0,0,0,0,0,0,0,56,11,93,154,0,0,34,33,11,0,19,27,28,6,25,63,24,3,27,59,10,4,10,24,23,3,14,36,8,0,9,15,0,0,4,4,0,0,0,0,112,18,143,269
SSC70149,0,0,9,9,3,0,13,17,5,6,9,25,11,0,6,19,11,3,5,20,13,3,3,26,8,3,0,18,0,0,0,0,0,0,3,4,61,19,48,130,0,0,21,21,0,0,6,10,15,7,10,24,8,0,5,20,19,4,3,29,19,4,4,26,7,0,4,14,0,0,0,4,0,0,0,0,61,20,58,143,0,0,28,28,5,0,24,29,22,14,20,50,18,3,16,38,31,7,11,47,31,10,9,50,15,5,8,25,3,0,0,5,0,0,3,3,123,38,111,269
SSC70150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70151,0,0,3,3,0,0,0,3,4,0,7,11,3,0,0,4,5,0,3,9,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,29,0,0,4,4,0,0,0,0,4,0,3,10,4,0,3,14,4,0,3,6,0,0,5,5,0,0,3,0,0,0,3,3,0,0,0,0,16,0,22,42,0,0,3,3,0,0,4,3,9,0,8,19,8,0,4,14,6,0,7,17,0,0,4,5,0,0,4,3,0,0,4,4,0,0,0,0,30,0,37,71
SSC70152,3,0,21,23,8,0,6,16,22,6,12,39,23,6,3,34,13,4,10,24,7,0,3,14,0,0,0,4,0,0,0,0,0,0,0,0,82,16,54,152,7,0,18,18,10,0,7,17,26,4,18,42,16,6,3,32,15,5,9,26,3,0,4,15,0,0,4,4,0,0,3,3,0,0,0,0,83,11,64,165,5,0,34,41,15,0,13,35,51,11,22,86,48,8,10,65,32,5,16,51,14,0,11,26,0,0,4,6,0,0,3,3,0,0,0,0,161,30,120,313
SSC70153,0,0,0,0,0,0,0,0,0,0,5,5,0,0,3,6,3,0,3,6,0,0,3,9,5,3,3,12,0,0,0,0,0,0,0,0,11,0,22,31,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,6,3,0,3,8,4,0,3,5,0,0,0,0,0,0,0,0,12,3,7,23,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,5,3,0,9,11,3,0,9,13,5,4,9,13,0,0,0,0,0,0,0,0,18,5,27,53
