SSC_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SSC70043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,3,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,38,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,38,3,0,0,0,46
SSC70044,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,9
SSC70045,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,7,0,0,0,0,3,0,0,0,0,0,0,21,0,0,4,0,28,3,0,0,0,0,3,0,0,0,0,0,0,43,0,0,4,0,42
SSC70046,16,0,0,0,0,20,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,34,0,0,3,3,40
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,5
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,5,6,0,0,0,0,6,0,0,0,0,0,0,32,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33
SSC70051,0,0,0,0,0,0,0,0,7,0,0,7,0,0,13,0,0,13,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,16,0,0,24,0,0,0,0,0,0,0,0,3,0,0,3,3,0,28,3,0,31
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,3,0,0,4,3,15,0,6,0,4,3,12,0,10,0,3,0,11,11,7,0,0,0,17,8,4,0,13,4,28,3,0,0,0,0,5,0,0,0,5,0,7,0,0,0,0,0,0,26,19,0,23,3,69,0,0,0,0,0,0,0,0,0,0,3,6,26,23,0,32,12,94
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC70059,75,46,16,0,0,142,104,88,93,0,0,285,49,137,122,0,0,309,4,83,91,0,0,172,15,58,46,0,3,125,3,3,14,0,0,25,7,14,7,0,0,24,0,3,3,0,0,8,86,292,285,4,3,665,0,0,0,0,0,0,8,10,25,0,3,43,279,438,414,3,7,1142
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC70061,36,0,0,7,0,42,51,0,0,0,0,51,8,0,0,0,0,8,0,0,0,0,0,0,10,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,3,0,26,0,0,0,0,0,0,7,0,0,0,0,7,111,0,0,10,0,124
SSC70062,0,3,0,41,0,42,3,6,0,3,0,14,6,24,75,0,0,114,0,0,3,0,0,3,4,11,0,0,0,12,0,0,0,0,0,0,0,0,0,11,0,9,0,0,3,0,0,3,12,37,85,11,0,140,0,0,0,0,0,0,0,3,3,3,0,8,13,49,88,54,3,208
SSC70063,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,6
SSC70064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,12,0,0,0,0,0,0,15,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,3,18
SSC70065,68,0,0,30,4,102,146,0,0,3,7,157,7,0,0,0,0,8,0,0,0,0,0,0,19,0,0,3,3,28,3,0,0,0,19,20,4,0,0,17,0,16,3,0,0,0,0,3,41,0,0,21,21,84,0,0,0,0,0,0,9,0,0,3,3,14,259,0,0,58,36,354
SSC70066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70067,4,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,10
SSC70068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,3,0,0,0,0,3,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,14
SSC70069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,0,3,33,0,0,0,0,33
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,11,0,0,6,0,17,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,7,20,0,0,7,0,40
SSC70072,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6
SSC70073,6,0,147,6,0,161,3,0,366,0,0,371,4,0,1182,0,0,1185,0,0,45,0,0,46,5,3,232,0,0,241,3,0,0,0,0,3,0,0,210,0,4,216,0,0,16,0,0,11,19,3,1681,0,5,1706,0,0,16,0,0,13,3,0,74,3,9,81,31,0,2279,9,19,2332
SSC70074,56,0,0,0,0,63,126,0,0,0,0,129,8,0,0,0,0,8,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,36,0,0,0,0,36,0,0,0,0,0,0,5,0,0,0,0,11,229,0,0,3,4,233
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70076,0,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,4,0,0,0,0,0,0,30,0,0,0,0,30,3,0,0,0,0,3,0,0,0,0,0,3,33,0,0,11,0,47
SSC70077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,12
SSC70078,93,12,0,11,0,117,112,36,0,7,0,157,38,48,3,5,0,94,0,4,0,0,0,9,19,21,3,0,0,40,0,0,0,0,0,0,35,29,3,3,0,75,4,3,0,0,0,9,96,102,7,14,0,225,0,5,0,0,0,3,3,3,0,0,0,6,307,158,10,30,0,512
SSC70079,7,0,0,4,0,12,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,9,0,0,3,0,7,21,0,0,3,0,22,3,0,0,0,0,3,3,0,0,3,0,10,37,0,0,9,0,46
SSC70080,72,8,9,0,0,94,297,11,74,0,0,377,112,17,98,0,0,226,59,3,13,0,0,75,54,9,32,0,0,95,0,0,3,0,0,3,4,0,3,0,0,9,0,0,7,0,0,4,228,30,151,0,0,411,0,0,0,0,0,0,11,3,10,0,0,25,609,46,244,0,3,905
SSC70081,56,0,0,0,0,61,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,14,0,0,0,0,14,0,0,0,0,0,0,3,0,0,0,0,4,95,0,0,0,0,98
SSC70082,30,0,0,0,0,35,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,6,43,0,0,0,0,48
SSC70083,13,0,0,0,0,16,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,3,31,0,0,5,0,34
SSC70084,111,0,0,0,0,112,359,6,6,0,0,371,371,4,5,0,0,387,10,0,0,0,0,14,91,3,0,0,0,100,0,0,0,0,0,0,120,0,0,0,0,120,0,0,0,0,0,0,596,8,10,0,0,622,0,0,0,0,0,0,8,3,0,0,0,13,1076,15,17,0,0,1113
SSC70085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70086,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,21,0,0,0,0,0,0,88,0,0,0,0,87,0,0,0,0,0,0,3,0,0,3,0,5,109,0,0,5,0,114,8,0,0,0,0,5,0,0,0,0,0,0,122,0,0,4,0,126
SSC70087,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC70088,168,20,3,15,0,199,283,47,3,15,0,353,63,103,22,9,0,199,29,3,0,3,0,37,56,34,10,5,0,104,0,3,0,0,0,3,9,48,3,0,3,64,7,5,0,0,0,5,158,199,37,24,3,421,0,3,0,0,0,9,18,9,0,9,0,35,627,285,43,60,3,1022
SSC70089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,18,0,0,0,0,0,0,19,0,0,0,4,23,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4,21
SSC70090,8,0,0,0,0,10,12,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,3,36
SSC70091,4,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,44,3,0,0,0,46,6,0,4,0,0,5,3,0,0,0,0,0,53,3,3,0,0,61,0,0,0,0,0,0,3,0,0,0,0,5,59,3,3,9,0,73
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,13
SSC70094,3,0,0,0,0,5,6,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,26,4,0,0,0,34,0,0,0,3,0,3,0,0,0,0,0,0,36,3,0,3,0,44,0,0,0,0,0,0,0,0,0,0,0,3,50,3,0,6,3,63
SSC70095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27
SSC70096,7,0,0,0,0,7,12,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,31
SSC70097,160,72,5,11,0,243,120,112,12,0,0,245,57,157,32,0,0,243,0,35,0,0,0,35,31,61,3,0,0,92,0,0,0,0,0,0,4,7,3,0,0,11,0,0,0,0,0,3,95,259,40,0,0,388,21,6,0,0,6,31,13,13,0,0,3,39,404,465,53,7,11,951
SSC70098,26,0,0,0,0,32,175,15,0,0,0,194,93,43,0,0,0,139,0,3,0,0,0,3,22,6,0,0,0,30,0,0,0,0,0,0,33,4,0,0,0,35,0,0,0,0,0,0,149,51,0,0,0,202,0,0,0,0,0,0,6,3,0,0,0,13,355,78,0,0,0,435
SSC70099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,3,3,0,0,0,0,3,45,0,0,4,0,42
SSC70100,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,10,12,0,0,6,0,22
SSC70101,9,0,0,0,0,9,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,25,0,0,0,0,25
SSC70102,12,0,0,0,0,16,28,0,0,0,0,28,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,48
SSC70103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,24,0,0,0,0,0,0,3,0,0,0,0,3,28,0,0,0,0,30
SSC70105,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4
SSC70106,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,186,23,0,0,0,209,0,0,0,0,0,0,23,3,0,0,0,28,29,11,0,0,0,40,5,5,0,0,0,10,251,36,0,0,0,289,3,0,0,0,0,3,3,0,0,0,0,3,264,36,0,3,0,305
SSC70107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,6,0,0,0,73,0,0,0,0,0,0,3,0,0,0,0,3,9,0,0,0,0,9,8,0,0,0,0,8,89,6,0,0,0,98,0,0,0,0,0,0,30,3,0,0,0,27,115,10,0,0,0,126
SSC70108,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,15,0,0,0,0,16
SSC70109,160,18,6,10,0,196,423,73,15,31,0,543,115,103,24,14,0,254,63,32,7,4,0,109,63,26,9,10,0,104,0,3,0,0,0,7,64,9,0,6,0,83,11,3,0,0,0,20,318,174,39,33,0,570,6,0,0,0,0,5,31,7,3,0,3,42,941,270,55,81,5,1355
SSC70110,98,0,0,3,0,98,316,0,0,3,0,317,17,0,0,0,0,17,0,0,0,0,0,0,31,0,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,53,0,0,0,0,52,5,0,0,0,0,5,13,0,0,0,0,14,486,0,0,6,0,495
SSC70111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70112,85,0,25,0,0,106,304,5,97,0,0,412,95,4,101,0,0,201,93,0,158,0,0,248,37,3,31,0,0,72,0,0,0,0,0,0,11,0,11,0,0,24,3,0,4,0,0,6,241,4,304,0,0,552,4,0,0,0,0,6,18,0,29,0,0,47,650,13,452,3,3,1117
SSC70113,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,14
SSC70114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,9,0,0,0,116,0,0,0,0,0,0,18,4,0,0,0,18,25,0,0,0,0,24,4,0,0,0,0,4,159,11,0,0,3,173,3,0,0,0,0,3,5,0,0,0,0,12,168,11,0,0,6,186
SSC70116,73,0,0,0,0,76,293,4,0,0,0,298,263,7,0,0,0,276,7,0,0,0,0,11,54,0,0,0,0,54,0,0,0,0,0,0,88,0,0,0,0,86,3,0,0,0,0,3,421,7,7,0,0,426,3,0,0,0,0,3,20,0,0,0,0,23,804,11,3,0,0,830
SSC70117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70118,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,11,0,3,0,0,0,0,0,0,0,3,0,3,26,5,0,3,0,34,0,0,0,0,0,0,4,0,0,0,0,4,37,5,0,3,0,44
SSC70119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,23
SSC70121,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,3,0,17
SSC70122,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,13,0,0,0,0,15,0,0,0,0,0,0,3,0,0,0,0,3,23,0,0,0,0,25
SSC70123,71,0,0,10,0,76,328,0,0,6,0,342,32,0,0,0,0,32,0,0,0,0,0,0,39,0,0,4,0,39,0,0,0,0,0,0,5,0,0,0,0,6,7,0,0,0,0,7,76,0,0,5,0,86,0,0,0,0,0,0,18,0,0,0,0,19,495,0,0,22,0,521
SSC70124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,6,6,0,0,69,0,0,0,0,0,0,25,0,0,0,0,25,5,3,0,0,0,10,4,3,0,0,0,9,86,12,9,4,0,112,0,0,0,0,0,0,0,0,0,0,0,3,91,15,9,4,0,119
SSC70125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
