SSC_CODE_2016,F_400_499_15_19_yrs,F_400_499_20_24_yrs,F_400_499_25_34_yrs,F_400_499_35_44_yrs,F_400_499_45_54_yrs,F_400_499_55_64_yrs,F_400_499_65_74_yrs,F_400_499_75_84_yrs,F_400_499_85ov,F_400_499_Tot,F_500_649_15_19_yrs,F_500_649_20_24_yrs,F_500_649_25_34_yrs,F_500_649_35_44_yrs,F_500_649_45_54_yrs,F_500_649_55_64_yrs,F_500_649_65_74_yrs,F_500_649_75_84_yrs,F_500_649_85ov,F_500_649_Tot,F_650_799_15_19_yrs,F_650_799_20_24_yrs,F_650_799_25_34_yrs,F_650_799_35_44_yrs,F_650_799_45_54_yrs,F_650_799_55_64_yrs,F_650_799_65_74_yrs,F_650_799_75_84_yrs,F_650_799_85ov,F_650_799_Tot,F_800_999_15_19_yrs,F_800_999_20_24_yrs,F_800_999_25_34_yrs,F_800_999_35_44_yrs,F_800_999_45_54_yrs,F_800_999_55_64_yrs,F_800_999_65_74_yrs,F_800_999_75_84_yrs,F_800_999_85ov,F_800_999_Tot,F_1000_1249_15_19_yrs,F_1000_1249_20_24_yrs,F_1000_1249_25_34_yrs,F_1000_1249_35_44_yrs,F_1000_1249_45_54_yrs,F_1000_1249_55_64_yrs,F_1000_1249_65_74_yrs,F_1000_1249_75_84_yrs,F_1000_1249_85ov,F_1000_1249_Tot,F_1250_1499_15_19_yrs,F_1250_1499_20_24_yrs,F_1250_1499_25_34_yrs,F_1250_1499_35_44_yrs,F_1250_1499_45_54_yrs,F_1250_1499_55_64_yrs,F_1250_1499_65_74_yrs,F_1250_1499_75_84_yrs,F_1250_1499_85ov,F_1250_1499_Tot,F_1500_1749_15_19_yrs,F_1500_1749_20_24_yrs,F_1500_1749_25_34_yrs,F_1500_1749_35_44_yrs,F_1500_1749_45_54_yrs,F_1500_1749_55_64_yrs,F_1500_1749_65_74_yrs,F_1500_1749_75_84_yrs,F_1500_1749_85ov,F_1500_1749_Tot,F_1750_1999_15_19_yrs,F_1750_1999_20_24_yrs,F_1750_1999_25_34_yrs,F_1750_1999_35_44_yrs,F_1750_1999_45_54_yrs,F_1750_1999_55_64_yrs,F_1750_1999_65_74_yrs,F_1750_1999_75_84_yrs,F_1750_1999_85ov,F_1750_1999_Tot,F_2000_2999_15_19_yrs,F_2000_2999_20_24_yrs,F_2000_2999_25_34_yrs,F_2000_2999_35_44_yrs,F_2000_2999_45_54_yrs,F_2000_2999_55_64_yrs,F_2000_2999_65_74_yrs,F_2000_2999_75_84_yrs,F_2000_2999_85ov,F_2000_2999_Tot,F_3000_more_15_19_yrs,F_3000_more_20_24_yrs,F_3000_more_25_34_yrs,F_3000_more_35_44_yrs,F_3000_more_45_54_yrs,F_3000_more_55_64_yrs,F_3000_more_65_74_yrs,F_3000_more_75_84_yrs,F_3000_more_85ov,F_3000_more_Tot,F_PI_NS_15_19_yrs,F_PI_NS_ns_20_24_yrs,F_PI_NS_ns_25_34_yrs,F_PI_NS_ns_35_44_yrs,F_PI_NS_ns_45_54_yrs,F_PI_NS_ns_55_64_yrs,F_PI_NS_ns_65_74_yrs,F_PI_NS_ns_75_84_yrs,F_PI_NS_ns_85_yrs_ovr,F_PI_NS_ns_Tot,F_Tot_15_19_yrs,F_Tot_20_24_yrs,F_Tot_25_34_yrs,F_Tot_35_44_yrs,F_Tot_45_54_yrs,F_Tot_55_64_yrs,F_Tot_65_74_yrs,F_Tot_75_84_yrs,F_Tot_85ov,F_Tot_Tot,P_Neg_Nil_income_15_19_yrs,P_Neg_Nil_income_20_24_yrs,P_Neg_Nil_income_25_34_yrs,P_Neg_Nil_income_35_44_yrs,P_Neg_Nil_income_45_54_yrs,P_Neg_Nil_income_55_64_yrs,P_Neg_Nil_income_65_74_yrs,P_Neg_Nil_income_75_84_yrs,P_Negtve_Nil_incme_85_yrs_ovr,P_Neg_Nil_income_Tot,P_1_149_15_19_yrs,P_1_149_20_24_yrs,P_1_149_25_34_yrs,P_1_149_35_44_yrs,P_1_149_45_54_yrs,P_1_149_55_64_yrs,P_1_149_65_74_yrs,P_1_149_75_84_yrs,P_1_149_85ov,P_1_149_Tot,P_150_299_15_19_yrs,P_150_299_20_24_yrs,P_150_299_25_34_yrs,P_150_299_35_44_yrs,P_150_299_45_54_yrs,P_150_299_55_64_yrs,P_150_299_65_74_yrs,P_150_299_75_84_yrs,P_150_299_85ov,P_150_299_Tot,P_300_399_15_19_yrs,P_300_399_20_24_yrs,P_300_399_25_34_yrs,P_300_399_35_44_yrs,P_300_399_45_54_yrs,P_300_399_55_64_yrs,P_300_399_65_74_yrs,P_300_399_75_84_yrs,P_300_399_85ov,P_300_399_Tot,P_400_499_15_19_yrs,P_400_499_20_24_yrs,P_400_499_25_34_yrs,P_400_499_35_44_yrs,P_400_499_45_54_yrs,P_400_499_55_64_yrs,P_400_499_65_74_yrs,P_400_499_75_84_yrs,P_400_499_85ov,P_400_499_Tot,P_500_649_15_19_yrs,P_500_649_20_24_yrs,P_500_649_25_34_yrs,P_500_649_35_44_yrs,P_500_649_45_54_yrs,P_500_649_55_64_yrs,P_500_649_65_74_yrs,P_500_649_75_84_yrs,P_500_649_85ov,P_500_649_Tot,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot
SSC70001,0,0,0,0,6,0,4,0,0,13,0,3,0,3,4,9,3,0,0,24,0,0,3,3,7,0,0,0,0,17,3,0,6,6,7,8,0,0,0,28,0,0,7,3,5,0,0,0,0,16,0,4,3,5,4,3,0,0,0,19,0,0,0,3,3,0,0,0,0,10,0,0,3,4,3,0,0,0,0,13,0,0,0,5,4,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,4,3,5,5,9,5,5,0,0,38,16,19,45,52,69,48,19,3,0,255,16,0,9,10,4,14,0,0,0,50,7,0,0,0,3,3,0,0,0,18,8,0,5,0,5,3,0,0,0,17,0,0,0,10,4,3,6,0,0,30,3,0,0,0,10,5,3,3,0,26,0,7,0,7,8,11,3,0,0,31,0,4,3,3,9,8,4,3,0,29,3,8,8,10,9,14,0,0,0,52
SSC70002,0,0,0,0,3,3,0,3,5,12,0,3,5,0,0,0,3,0,0,14,0,0,0,3,6,3,0,0,0,15,0,0,3,3,8,0,0,0,0,17,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,7,3,3,0,21,9,15,18,11,35,20,15,7,3,138,5,3,3,0,3,5,0,0,0,23,0,0,3,0,0,0,0,0,0,10,0,11,6,0,7,4,8,0,0,33,0,0,0,0,3,8,16,0,0,28,0,0,0,3,3,7,10,4,5,22,0,4,8,0,0,0,4,0,0,16,0,0,0,3,10,4,3,0,0,20,0,3,3,4,8,4,0,0,0,22
SSC70003,4,7,6,8,6,11,13,4,0,48,8,9,10,12,8,5,7,4,0,62,0,3,15,10,7,3,7,3,0,54,0,8,13,12,12,3,7,3,0,66,0,11,15,16,17,12,0,3,0,71,0,0,19,10,16,9,3,0,0,55,0,3,7,10,14,11,0,0,0,43,0,0,11,11,8,6,0,0,0,39,0,0,11,15,14,3,3,0,0,51,0,0,0,3,3,3,0,0,0,12,5,8,30,26,13,17,9,7,0,116,42,83,180,173,150,112,84,32,5,863,39,19,25,24,16,8,9,6,0,142,29,4,11,7,0,3,8,0,0,56,7,12,12,12,9,8,11,7,0,75,9,18,19,18,13,18,44,10,3,152,3,12,28,11,7,13,18,4,3,101,12,11,20,19,16,15,11,3,0,103,0,10,23,24,18,3,14,3,0,100,3,20,24,35,24,7,17,7,0,135
SSC70004,3,0,3,4,5,0,3,0,0,12,0,0,3,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,8,0,8,3,0,0,0,24,19,27,36,38,25,14,10,0,0,175,6,0,0,3,0,0,0,0,0,11,7,13,22,6,7,3,4,0,0,72,8,27,20,16,10,7,3,0,3,87,3,3,10,16,12,6,4,0,0,59,3,0,3,3,5,0,3,0,0,16,0,0,3,4,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0,0,3,0,3,3,0,0,0,4
SSC70005,0,0,0,0,4,3,0,0,0,11,0,0,0,7,4,0,0,0,0,10,0,0,3,0,0,0,0,0,0,7,0,0,4,3,0,0,0,0,0,6,0,3,5,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,4,0,0,0,0,3,3,0,0,0,5,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,12,13,12,4,5,0,0,48,6,11,31,30,26,17,13,4,0,132,0,0,4,0,6,0,0,0,0,14,0,0,4,0,3,0,3,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,3,0,0,11,0,0,0,0,3,5,0,0,0,14,0,3,0,7,4,0,0,0,0,13,3,0,5,0,4,0,3,0,0,21,0,0,6,0,3,0,0,0,0,13
SSC70006,0,3,4,0,3,0,0,0,0,6,0,0,3,4,3,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,3,3,0,0,0,0,19,21,17,39,22,29,12,3,0,0,144,13,0,3,0,0,0,0,0,0,17,3,12,8,3,3,3,0,0,0,34,4,18,28,17,15,12,3,0,0,104,0,5,7,3,5,3,0,0,0,32,0,8,4,0,3,0,4,0,0,14,0,0,3,3,3,4,0,0,0,12,0,0,3,4,3,0,0,0,0,12,0,0,3,0,0,0,0,0,0,4
SSC70007,0,0,6,0,0,0,0,0,0,5,0,0,6,3,0,0,0,0,0,11,0,0,6,4,3,0,0,0,0,15,0,3,4,7,3,0,0,0,0,17,0,0,7,9,4,5,0,0,0,33,0,0,11,11,0,0,0,0,0,26,0,3,10,7,3,3,3,0,0,26,0,3,10,0,3,5,0,0,0,18,0,0,9,15,7,0,0,0,0,28,0,0,3,5,3,0,0,0,0,13,8,0,6,7,0,0,0,0,0,26,9,14,83,80,45,24,5,0,0,270,6,3,11,8,3,4,0,0,0,33,0,0,6,4,0,0,0,0,0,5,0,0,6,3,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,0,0,8,0,4,4,6,0,3,0,0,0,21,0,0,6,4,8,0,0,0,0,23,4,5,5,7,8,0,0,0,0,25
SSC70008,0,0,0,0,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,0,0,0,14,9,14,11,22,29,9,3,0,3,112,0,0,0,0,0,0,0,0,0,8,10,8,19,14,12,6,0,0,0,67,3,6,10,12,13,7,4,0,0,51,0,0,0,3,10,0,3,0,0,16,0,0,3,0,6,0,0,0,0,12,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
SSC70009,3,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,10,25,28,29,25,16,13,7,3,0,141,0,0,0,0,0,0,0,0,0,4,0,0,9,0,3,0,0,0,0,19,23,41,38,25,28,5,14,5,0,178,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4
SSC70010,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,4,8,7,9,10,3,0,0,0,39,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,8,3,4,0,0,0,0,15,0,0,4,4,3,0,0,0,0,12,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,0,6,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,10
