SSC_CODE_2016,IA_DS_Separate_house,IA_DS_SemD_ro_tr_h_th,IA_DS_Flat_or_Apart,IA_DS_Other_dwelling,IA_DS_Not_stated,IA_Total,I_NA_DS_Separate_house,I_NA_DS_SemD_ro_tr_h_th,I_NA_DS_Flat_or_Apart,I_NA_DS_Other_dwelling,I_NA_DS_Not_stated,I_NA_Total,IC_NS_DS_Separate_house,IC_NS_DS_SemD_ro_tr_h_th,IC_NS_DS_Flat_or_Apart,IC_NS_DS_Other_dwelling,IC_NS_DS_Not_stated,IC_not_stated_Total,Total_DS_Separate_house,Total_DS_SemD_ro_tr_h_th,Total_DS_Flat_or_Apart,Total_DS_Other_dwelling,Total_DS_Not_stated,Total_Total
SSC70066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70067,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,10
SSC70068,10,0,0,0,0,10,4,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,14
SSC70069,9,0,0,0,0,9,20,0,0,0,0,20,3,0,0,0,0,3,33,0,0,0,0,33
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,13,0,0,6,0,25,6,0,0,0,0,6,6,0,0,3,0,12,20,0,0,7,0,40
SSC70072,4,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6
SSC70073,17,0,1970,3,9,1999,8,0,226,3,0,242,3,0,80,3,9,89,31,0,2279,9,19,2332
SSC70074,181,0,0,4,0,182,36,0,0,0,0,39,12,0,0,0,0,14,229,0,0,3,4,233
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70076,13,0,0,0,0,17,17,0,0,7,0,27,3,0,0,0,0,3,33,0,0,11,0,47
SSC70077,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,12
SSC70078,298,144,9,26,0,479,11,13,0,3,0,24,3,0,0,0,0,8,307,158,10,30,0,512
SSC70079,26,0,0,6,0,32,9,0,0,3,0,6,0,0,0,3,0,5,37,0,0,9,0,46
SSC70080,540,29,188,0,0,761,49,13,40,0,0,106,21,3,14,0,0,36,609,46,244,0,3,905
SSC70081,70,0,0,0,0,67,26,0,0,0,0,26,4,0,0,0,0,4,95,0,0,0,0,98
SSC70082,12,0,0,0,0,21,25,0,0,0,0,25,6,0,0,0,0,6,43,0,0,0,0,48
SSC70083,17,0,0,0,0,19,14,0,0,0,0,13,3,0,0,0,0,4,31,0,0,5,0,34
SSC70084,1003,13,18,0,0,1039,53,0,0,0,0,53,19,3,0,0,0,20,1076,15,17,0,0,1113
SSC70085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70086,27,0,0,3,0,32,87,0,0,5,0,96,0,0,0,0,0,0,122,0,0,4,0,126
SSC70087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC70088,551,238,33,42,3,873,54,38,8,10,0,115,18,7,0,3,0,31,627,285,43,60,3,1022
SSC70089,16,0,0,0,0,16,0,0,0,0,4,3,0,0,0,0,0,0,16,0,0,0,4,21
SSC70090,22,0,0,0,3,24,9,0,0,0,0,9,0,0,0,0,0,0,33,0,0,0,3,36
SSC70091,45,3,3,3,0,58,13,0,0,3,0,12,3,0,0,0,0,3,59,3,3,9,0,73
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,3,0,13
SSC70094,33,3,0,4,3,38,19,0,0,0,0,23,3,0,0,0,0,4,50,3,0,6,3,63
SSC70095,5,0,0,0,0,5,16,0,0,0,0,16,0,0,0,0,0,0,27,0,0,0,0,27
SSC70096,16,0,0,0,0,20,11,0,0,0,0,11,0,0,0,0,0,0,24,0,0,0,0,31
SSC70097,359,406,48,7,8,825,31,48,3,3,0,83,15,18,0,0,3,33,404,465,53,7,11,951
SSC70098,342,62,0,0,0,411,11,10,0,0,0,13,7,3,0,0,0,10,355,78,0,0,0,435
SSC70099,9,0,0,0,0,5,29,0,0,0,0,34,5,0,0,0,0,5,45,0,0,4,0,42
SSC70100,5,0,0,3,0,12,3,0,0,0,0,5,4,0,0,3,0,10,12,0,0,6,0,22
SSC70101,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
SSC70102,40,0,0,0,0,38,11,0,0,0,0,11,0,0,0,0,0,0,44,0,0,0,0,48
SSC70103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70104,6,0,0,0,0,11,14,0,0,0,0,14,3,0,0,0,0,3,28,0,0,0,0,30
SSC70105,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4
SSC70106,191,27,0,3,0,222,60,6,0,0,0,69,9,0,0,0,0,10,264,36,0,3,0,305
SSC70107,50,5,0,0,0,48,31,0,0,0,0,27,44,3,0,0,0,42,115,10,0,0,0,126
SSC70108,0,0,0,0,0,3,3,0,0,0,0,3,10,0,0,0,0,10,15,0,0,0,0,16
SSC70109,764,203,42,69,0,1072,149,62,13,10,0,239,31,4,7,0,0,43,941,270,55,81,5,1355
SSC70110,420,0,0,5,0,424,57,0,0,0,0,57,12,0,0,0,0,12,486,0,0,6,0,495
SSC70111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70112,545,7,260,0,3,818,90,3,158,0,0,249,22,0,26,0,0,53,650,13,452,3,3,1117
SSC70113,0,0,0,4,0,3,6,0,0,0,0,10,0,0,0,0,0,0,8,0,0,9,0,14
SSC70114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70115,111,6,0,0,4,122,49,6,0,0,0,55,7,0,0,0,0,11,168,11,0,0,6,186
SSC70116,748,7,3,0,0,760,38,3,0,0,0,46,22,0,0,0,0,23,804,11,3,0,0,830
SSC70117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
SSC70118,18,3,0,0,0,26,9,0,0,3,0,14,3,0,0,0,0,3,37,5,0,3,0,44
SSC70119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70120,3,0,0,0,0,3,16,0,0,0,0,16,0,0,0,0,0,0,23,0,0,0,0,23
SSC70121,8,0,0,0,0,6,3,0,0,0,0,8,0,0,0,0,0,0,8,0,0,3,0,17
SSC70122,7,0,0,0,0,7,15,0,0,0,0,15,3,0,0,0,0,3,23,0,0,0,0,25
SSC70123,437,0,0,14,0,455,40,0,0,4,0,46,14,0,0,0,0,18,495,0,0,22,0,521
SSC70124,42,14,5,3,0,65,41,0,0,0,0,48,4,0,0,0,0,5,91,15,9,4,0,119
SSC70125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70127,20,3,0,30,0,48,4,0,0,3,0,5,4,0,0,3,0,6,30,3,0,33,0,64
SSC70128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70129,795,5,4,53,18,870,101,0,3,10,0,108,24,0,0,6,0,27,916,5,9,68,21,1012
SSC70130,24,0,0,4,0,24,31,0,0,4,0,28,3,0,0,4,0,6,56,0,0,9,0,65
SSC70131,17,0,0,0,0,17,3,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,17
SSC70132,1032,0,21,18,20,1086,156,0,11,4,3,184,37,0,0,4,0,46,1226,3,33,26,25,1311
SSC70133,92,0,0,4,3,97,26,0,0,0,0,24,3,0,0,0,0,4,118,0,3,4,3,132
SSC70134,3,0,0,0,0,3,16,0,0,0,0,16,0,0,0,0,0,0,23,0,0,0,0,23
SSC70135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70136,184,33,44,12,4,275,27,8,9,4,0,43,5,0,0,3,0,12,216,42,48,20,3,335
SSC70137,0,0,0,0,0,0,40,0,0,0,0,40,4,0,0,0,0,4,41,0,0,0,0,41
SSC70138,473,0,5,0,3,481,52,0,0,0,0,49,14,0,3,0,0,18,533,4,9,0,4,550
SSC70139,337,176,27,0,0,544,33,32,6,0,0,68,7,7,3,0,0,17,370,220,38,0,0,634
SSC70140,15,0,0,7,0,26,21,0,0,8,0,31,3,0,0,8,0,5,42,0,0,29,3,73
SSC70141,37,3,0,0,0,40,33,5,0,0,0,36,0,0,0,0,0,0,69,7,0,0,0,76
SSC70142,6,11,7,0,0,18,36,0,0,0,0,44,0,0,3,3,0,6,44,12,12,0,0,72
SSC70143,955,186,56,4,0,1195,130,62,14,3,0,207,38,9,5,0,0,52,1126,259,68,7,0,1453
SSC70144,244,23,27,13,6,310,67,4,23,4,11,103,7,0,3,0,0,12,320,22,51,15,15,429
SSC70145,587,76,3,0,3,663,101,46,8,0,0,155,35,17,0,0,3,46,720,131,14,0,6,873
SSC70146,195,14,64,40,11,317,54,6,38,10,5,116,6,0,6,0,3,18,257,22,111,51,18,454
SSC70147,19,4,0,0,0,26,18,17,0,0,0,32,0,0,0,0,0,0,41,23,0,0,0,61
SSC70148,11,0,4,0,0,12,48,0,0,0,0,48,6,0,0,0,0,6,66,0,4,0,0,69
SSC70149,69,7,0,0,4,79,20,0,0,0,0,21,4,0,0,0,0,8,92,5,0,0,4,102
SSC70150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70151,9,0,0,0,0,9,21,0,0,0,0,21,0,0,0,0,0,0,22,0,0,0,0,22
SSC70152,61,3,3,0,0,69,32,0,3,0,0,35,3,0,0,0,0,3,93,4,3,0,0,107
SSC70153,12,0,0,7,0,13,14,0,0,0,0,14,4,0,0,0,0,3,26,0,0,5,0,36
SSC70154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70155,74,0,0,0,0,74,17,0,0,3,0,18,3,0,0,0,0,3,96,0,0,3,0,94
SSC70156,47,0,0,8,21,81,9,0,0,4,3,22,13,0,0,0,0,14,68,3,0,10,25,114
SSC70157,3,0,0,0,0,7,34,0,0,0,0,34,0,0,0,0,0,0,40,0,0,0,0,40
SSC70158,388,161,0,46,0,594,51,54,5,8,0,116,16,15,0,8,0,39,452,229,3,59,0,744
SSC70159,274,115,744,3,17,1159,10,43,74,0,0,129,7,3,23,0,4,32,295,157,841,9,25,1322
SSC70160,3,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,7,0,0,5,0,9
SSC70161,976,40,274,35,0,1325,96,21,53,4,0,173,19,0,9,3,0,38,1094,70,338,36,0,1537
SSC70162,0,0,0,27,0,27,0,0,0,6,0,6,0,0,0,10,0,10,0,0,0,42,0,42
SSC70163,3,0,0,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,12
SSC70164,0,0,0,8,0,10,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13,0,11
SSC70165,105,0,0,3,0,109,22,0,0,0,4,23,4,0,0,0,0,4,130,0,0,5,7,143
SSC70166,45,0,0,0,0,45,9,0,0,0,0,9,0,0,0,0,0,0,50,0,0,0,0,50
SSC70167,349,70,19,5,0,444,36,23,7,0,0,67,17,4,0,0,0,24,409,87,29,5,0,526
SSC70168,506,9,83,0,0,608,12,0,12,0,0,27,5,0,0,0,0,8,528,12,105,0,0,640
SSC70169,617,121,11,0,0,755,68,64,3,0,0,141,23,13,0,0,0,45,708,202,13,0,0,929
SSC70170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70172,146,40,0,0,0,189,97,22,0,0,0,120,14,3,0,0,0,15,254,64,3,3,0,320
SSC70173,12,0,0,0,0,12,9,0,0,0,0,13,0,0,0,0,0,0,22,0,0,0,0,27
SSC70174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70175,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4
SSC70176,192,0,0,0,0,192,6,0,0,0,0,10,0,0,0,0,0,0,196,0,0,0,3,202
SSC70177,103,0,0,3,3,109,49,0,0,0,0,51,13,0,0,0,0,15,167,0,0,6,3,173
SSC70178,203,38,165,67,3,470,5,6,18,22,0,54,0,7,4,27,0,39,205,50,184,118,3,560
SSC70179,41,0,0,25,3,66,12,0,0,15,0,20,0,0,0,15,0,24,50,0,0,54,6,110
SSC70180,5,0,0,21,0,25,18,0,0,8,0,30,3,0,0,18,0,19,26,0,0,44,0,76
SSC70181,185,0,3,9,0,190,21,0,0,3,0,24,12,0,0,0,0,12,213,0,3,13,0,225
SSC70182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70184,15,0,0,0,0,15,4,0,0,0,0,4,0,0,0,0,0,0,21,0,0,3,0,21
SSC70185,71,4,3,0,0,80,14,0,0,0,0,19,0,3,0,0,0,4,88,8,3,0,0,104
SSC70186,87,23,0,0,0,118,13,15,0,0,0,32,3,0,0,0,0,3,109,46,0,3,0,155
SSC70187,372,101,269,0,0,737,69,25,36,0,0,133,17,4,10,0,0,34,459,127,311,0,0,902
SSC70188,0,0,0,0,0,0,29,0,0,0,0,29,0,0,0,0,0,0,29,0,0,0,0,29
SSC70189,9,0,0,0,0,9,49,3,0,4,0,56,0,4,0,0,0,3,57,5,0,4,0,72
SSC70190,8,0,0,0,0,8,25,10,0,0,0,36,0,0,0,0,0,0,39,10,0,0,0,43
SSC70191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70192,448,39,10,0,0,502,46,15,3,0,0,69,18,3,0,0,0,24,518,65,9,0,0,595
SSC70193,629,35,76,0,0,742,118,6,60,0,0,193,28,0,8,0,0,40,776,37,150,3,0,969
SSC70194,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,3,0,8
SSC70195,37,71,22,28,0,169,0,6,10,4,0,25,0,0,0,0,0,3,45,84,37,34,0,191
SSC70196,8,0,0,0,0,8,25,0,0,0,0,25,0,0,0,0,0,0,31,0,0,0,0,31
SSC70197,4,0,0,6,0,7,3,0,0,9,0,13,0,0,0,4,0,7,10,0,0,17,0,27
SSC70198,598,44,0,0,0,648,15,3,0,0,0,18,17,0,0,0,0,17,633,48,0,0,0,684
SSC70199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70200,22,4,0,0,0,26,25,3,0,0,0,29,3,0,0,0,0,3,54,4,0,0,0,55
SSC70201,453,22,15,9,0,495,35,3,5,0,0,43,18,0,0,0,0,18,509,29,13,8,0,561
SSC70202,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SSC70203,26,9,0,0,0,36,26,10,0,0,0,37,0,0,0,0,0,3,52,24,0,0,0,74
SSC70204,7,0,0,0,0,7,17,0,0,0,0,17,3,0,0,0,0,4,31,0,0,0,0,30
SSC70205,12,0,0,0,0,12,5,0,0,0,0,5,0,0,0,0,0,0,18,0,0,0,0,18
SSC70206,41,0,0,0,0,41,17,0,0,0,0,17,0,0,0,0,0,0,53,0,0,0,0,53
SSC70207,65,11,0,0,4,77,37,9,0,0,0,50,16,8,0,0,0,23,110,32,0,0,4,149
SSC70208,631,80,71,9,7,802,55,12,20,6,0,91,48,13,10,4,0,85,743,103,97,21,14,971
SSC70209,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9
SSC70210,445,32,684,10,18,1185,42,14,135,0,0,193,18,0,29,0,0,55,511,44,854,8,19,1433
SSC70211,5,0,0,15,0,18,7,6,3,0,3,20,0,0,0,4,0,4,14,6,3,17,3,46
SSC70212,72,0,0,14,0,87,4,0,0,6,0,17,0,0,0,0,0,3,84,0,0,24,0,105
SSC70213,73,14,24,0,0,101,10,4,4,0,0,20,10,6,0,0,0,19,86,25,25,0,0,137
SSC70214,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SSC70215,11,3,0,0,0,12,41,0,3,0,0,44,0,0,0,0,0,3,51,3,3,0,0,61
SSC70216,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5
SSC70217,4,0,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,12,0,11
SSC70218,28,0,3,0,0,31,39,0,0,0,0,39,0,0,0,0,0,0,61,0,3,0,0,69
SSC70219,286,89,505,3,3,883,13,24,56,0,0,97,7,8,11,0,0,26,308,118,578,0,8,1007
SSC70220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70221,10,0,0,0,0,14,11,0,0,0,0,11,0,0,0,0,0,0,20,0,0,0,0,20
SSC70222,9,0,0,0,0,11,13,0,0,0,0,11,0,0,0,3,0,3,18,0,0,3,0,21
SSC70223,7,0,0,0,0,7,15,0,0,0,0,15,0,0,0,0,0,0,21,0,0,0,0,21
SSC70224,60,3,4,6,0,79,17,0,4,3,0,26,4,0,0,3,0,5,83,7,7,14,0,112
SSC70225,3,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,11
SSC70226,57,0,3,0,0,62,17,0,4,0,0,19,6,0,4,0,0,10,74,0,13,0,0,90
SSC70227,6,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,7
SSC70228,3,0,0,0,0,5,7,0,0,0,0,7,0,0,0,0,0,0,15,0,0,0,0,11
SSC70229,67,12,0,0,0,78,33,14,0,0,0,41,0,0,0,0,0,0,103,23,0,0,0,124
SSC70230,3,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,0,10
SSC70231,423,17,508,21,3,970,33,3,89,3,0,129,15,0,30,0,0,54,468,18,634,28,4,1150
SSC70232,3,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,6,0,0,0,0,10
SSC70233,0,0,0,0,0,0,21,3,0,0,0,25,8,0,0,0,0,8,31,3,0,0,0,34
SSC70234,800,214,117,0,0,1140,49,32,10,0,0,96,27,4,7,0,0,47,884,254,137,0,0,1281
SSC70235,97,46,0,61,0,207,20,11,0,25,0,53,0,8,0,3,0,16,119,60,0,94,0,277
SSC70236,11,0,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,0,19,0,0,4,0,22
SSC70237,345,176,20,0,0,540,50,60,14,0,0,123,23,14,3,0,0,43,422,245,36,0,0,703
SSC70238,51,0,0,3,0,52,49,0,0,12,0,59,7,0,0,0,0,8,99,0,0,12,0,117
