SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC70261,0,0,0,0,0,0,0,0
SSC70262,235,15,3,6,0,0,0,262
SSC70263,7,0,0,0,0,0,3,14
SSC70264,0,0,0,0,0,0,0,0
SSC70265,0,0,0,0,0,0,0,0
SSC70266,14,0,0,0,0,0,0,20
SSC70267,37,10,0,8,0,3,3,52
SSC70268,0,0,0,0,0,0,0,0
SSC70269,12,3,0,0,0,0,0,16
SSC70270,0,0,0,0,0,0,0,0
SSC70271,3,0,0,0,0,0,0,4
SSC70272,0,0,0,0,0,0,0,0
SSC70273,9,0,0,0,0,0,0,8
SSC70274,180,25,11,3,0,0,0,223
SSC70275,184,13,9,22,3,0,5,235
SSC70276,33,5,3,0,0,0,0,44
SSC70277,219,20,3,5,0,0,0,250
SSC70278,0,0,0,0,0,0,0,0
SSC70279,11,0,0,0,0,0,0,10
SSC70280,197,16,6,3,0,0,0,223
SSC70281,24,3,0,9,0,0,4,47
SSC70282,11,4,0,3,0,0,3,15
SSC70283,10,0,0,0,0,0,0,10
SSC70284,48,0,0,6,0,3,4,66
SSC70285,13,4,0,0,0,0,0,17
SSC70286,0,0,0,0,0,0,0,0
SSC70287,31,0,0,0,0,0,0,32
SSC70288,6,0,0,0,0,0,0,9
SSC70289,8,0,0,6,0,0,0,17
SSC70290,6,3,0,0,0,0,0,4
SSC70291,0,0,0,0,0,0,0,0
SSC70292,315,41,31,5,0,0,0,388
SSC70293,66,7,5,0,0,0,0,75
SSC70294,254,31,11,5,0,0,3,309
SSC70295,131,10,0,12,6,0,4,163
SSC70296,18,0,0,0,0,0,0,18
SSC70297,15,0,0,12,0,0,3,31
SSC70298,0,0,0,0,0,0,0,0
SSC70299,67,0,0,5,0,0,0,81
SSC70300,17,0,0,7,6,0,0,26
SSC70301,46,12,3,12,0,0,7,70
SSC70302,31,4,0,0,0,0,0,35
SSC70303,152,8,5,0,3,0,0,171
SSC79494,0,0,0,0,0,0,0,0
SSC79797,0,0,0,0,0,0,0,0
