SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC70291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70292,39,59,96,134,174,308,0,0,0,10,20,29,0,0,0,327,380,699,0,3,6,13,16,36,3,0,10,11,6,16,18,19,41,0,0,0,11,8,19,24,25,52,12,17,28,3,3,3,3,3,3,44,44,85,32,35,68,0,0,0,652,754,1403,7,15,20,14,10,26,0,0,3,0,0,0,3,5,9,0,0,0,3,5,13,646,536,1189,4,8,8,3,3,7,655,547,1206,228,247,472,1608,1625,3233
SSC70293,7,6,13,45,36,79,0,0,0,4,10,16,0,0,0,132,103,232,0,0,0,16,19,35,0,3,3,0,0,0,0,3,3,0,0,0,3,3,7,3,4,5,9,5,15,0,0,0,0,0,0,8,22,30,13,10,24,0,0,0,227,215,446,9,14,21,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,154,333,0,0,0,0,0,0,174,154,333,64,50,113,491,435,930
SSC70294,29,58,89,78,82,161,0,0,0,21,27,49,0,0,0,324,336,658,3,0,4,39,31,74,9,16,25,0,0,0,10,12,21,0,0,0,4,3,10,17,18,33,14,9,25,3,0,3,9,10,15,27,51,77,25,28,51,0,0,0,583,627,1210,11,18,24,10,13,22,0,0,3,0,0,3,4,5,7,5,7,13,10,11,18,431,343,772,6,3,5,3,3,6,436,347,787,150,130,282,1232,1203,2435
SSC70295,4,4,4,7,3,9,0,0,0,0,0,4,0,0,0,700,721,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,11,0,0,6,0,0,0,714,728,1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,29,57,0,0,0,0,0,0,30,29,57,39,27,60,784,782,1563
SSC70296,0,0,0,0,0,0,0,0,0,40,44,76,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,12,9,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,57,63,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,0,0,0,0,3,6,10,17,23,42,76,96,166
SSC70297,0,0,0,0,0,0,0,0,0,10,10,14,0,0,0,5,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,3,9,6,0,0,3,0,0,0,21,28,48,0,0,0,0,0,0,0,0,0,89,87,179,0,0,0,0,0,0,89,87,179,9,8,18,0,0,0,0,0,0,9,8,18,18,26,47,142,152,293
SSC70298,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,4,4,6,6,0,6,25,11,32
SSC70299,6,3,8,3,4,9,0,0,0,4,0,6,3,3,11,202,210,411,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,3,4,5,10,19,0,0,0,0,0,0,0,0,0,20,24,47,10,14,24,0,0,0,252,276,526,0,0,0,0,0,0,0,0,0,49,57,103,0,0,0,0,0,0,49,57,103,46,61,108,0,3,4,0,0,0,51,63,116,32,30,65,381,431,809
SSC70300,0,0,0,0,0,0,0,0,0,13,11,26,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,70,72,140,0,0,0,0,0,0,12,11,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,98,191,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,4,3,8,0,3,7,0,0,0,0,0,0,0,3,7,10,8,20,113,106,220
SSC70301,0,0,3,7,13,18,0,0,0,104,147,251,0,0,0,33,35,65,0,0,0,0,0,0,0,0,0,0,0,0,20,19,43,0,0,0,3,0,6,22,21,43,0,0,0,0,0,0,0,0,0,0,0,4,7,5,11,0,0,0,197,242,435,0,0,0,0,0,0,0,0,0,71,64,133,0,0,0,0,0,0,71,64,133,42,49,87,0,0,0,5,0,4,50,46,94,39,55,95,355,403,759
SSC70302,7,14,24,43,41,89,0,0,0,4,5,6,0,0,0,89,89,172,0,0,0,0,0,0,0,0,0,0,0,0,5,3,9,0,0,0,6,3,7,3,4,10,3,4,5,4,0,4,0,0,0,4,5,13,10,19,31,0,0,0,175,174,348,32,13,48,3,3,4,0,0,0,4,0,3,0,0,0,4,3,7,6,7,17,237,179,416,0,3,5,0,0,0,242,184,422,132,95,227,603,497,1099
SSC70303,5,5,9,44,38,86,0,0,0,11,10,17,0,0,0,166,204,368,0,0,0,6,9,17,0,0,0,0,0,0,3,3,4,0,0,0,0,3,3,12,8,16,6,0,5,0,0,0,4,3,9,16,9,24,21,19,45,0,0,0,286,324,606,32,26,56,3,8,11,0,0,0,3,0,3,0,0,0,0,0,3,3,0,7,176,151,327,4,6,5,0,0,0,182,156,337,51,47,98,567,561,1129
SSC79494,10,8,18,133,117,243,0,0,0,20,19,37,0,0,0,215,192,402,0,4,6,3,0,3,0,0,0,3,3,5,6,10,19,0,0,0,10,6,16,10,13,19,18,23,47,3,3,9,3,0,3,53,69,120,21,15,34,0,0,5,501,471,968,5,6,9,8,3,8,0,0,0,0,0,0,0,0,0,4,4,13,4,4,13,383,323,706,7,7,13,4,0,3,390,331,724,411,336,749,1332,1157,2489
SSC79797,3,0,3,4,0,3,0,0,0,0,0,0,0,0,0,16,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,19,7,24,0,0,0,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,11,0,0,0,0,0,0,11,4,11,8,3,10,61,14,70
