SSC_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
SSC70271,0,0,0,0,0,7,0,0,0,4,3,4,0,0,0,5,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,12,0,0,3,19,17,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,17,0,0,0,0,0,0,12,7,17,61,36,101,96,59,154
SSC70272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70273,0,0,0,12,6,18,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,33,0,0,0,0,0,0,0,0,0,12,13,23,0,0,0,0,0,0,12,13,23,17,13,36,0,0,0,0,0,0,17,13,36,31,19,56,90,66,152
SSC70274,4,5,15,116,127,235,0,0,0,23,9,38,0,0,0,148,158,305,0,0,0,17,14,34,5,4,14,0,3,5,11,8,17,0,0,0,4,0,3,6,7,13,14,26,46,0,0,0,3,3,3,44,46,84,19,22,34,0,0,0,414,437,849,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,405,321,721,4,0,4,3,0,3,409,316,729,121,112,235,958,879,1836
SSC70275,4,0,7,7,10,12,0,0,0,0,0,0,0,0,0,817,863,1682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,5,0,0,0,0,0,0,0,0,3,28,22,47,0,0,0,855,899,1750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,91,90,177,0,0,0,0,0,0,92,90,181,158,174,337,1111,1171,2280
SSC70276,3,8,9,31,26,52,0,0,0,0,3,4,0,0,0,22,44,67,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,8,0,0,0,9,7,14,0,0,0,0,0,0,8,13,23,12,8,19,0,0,0,81,110,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,118,80,195,0,0,0,0,0,0,118,80,193,29,28,61,237,227,461
SSC70277,38,43,82,36,42,79,0,0,0,11,14,20,0,0,0,243,237,475,0,0,3,119,94,217,3,5,6,5,3,8,5,0,8,0,0,0,4,4,5,11,23,35,13,3,12,5,4,8,10,14,22,27,22,51,34,32,67,0,0,0,522,508,1027,55,43,99,59,20,76,0,0,0,0,0,0,8,0,4,5,6,14,12,6,21,288,249,537,3,0,6,0,0,0,289,251,541,159,159,316,1126,1032,2163
SSC70278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,37,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,38,37,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,18,0,0,0,0,0,0,9,10,18,5,3,8,57,48,102
SSC70280,22,36,60,69,71,137,0,0,0,9,12,23,0,0,0,223,235,458,0,0,0,73,60,137,6,9,10,0,0,0,3,3,8,0,0,0,0,0,0,9,16,27,17,15,32,0,0,0,4,4,9,40,42,84,20,22,40,0,0,0,478,489,966,30,20,54,29,23,58,0,0,0,0,0,3,3,0,3,3,0,3,8,0,9,270,235,503,4,0,3,3,0,3,272,237,512,118,116,234,952,923,1876
