SSC_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SSC70011,8,6,10,48,43,90,0,0,0,0,0,0,48,43,90,33,38,66,0,0,0,0,10,10,33,44,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,142,153,175,323
SSC70012,7,0,5,3,10,8,0,0,0,0,0,0,3,10,8,3,4,7,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,11,21,19,37
SSC70013,4,3,9,42,41,85,0,0,0,0,0,0,42,41,85,9,8,12,0,0,0,3,0,3,9,8,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,17,19,40,77,66,145
SSC70014,25,18,37,97,91,192,9,18,24,15,19,33,123,125,245,45,61,108,12,22,35,15,21,33,80,100,179,3,3,3,3,0,3,3,3,6,4,10,17,0,0,0,12,15,29,8,15,23,8,14,18,3,10,12,19,27,40,0,0,0,36,64,100,0,4,5,3,11,17,0,0,0,10,15,25,102,96,204,380,437,818
SSC70015,19,29,51,61,57,120,30,27,56,63,58,114,146,143,291,20,17,40,31,27,51,45,45,86,98,88,181,3,0,3,0,0,0,3,0,7,12,11,29,0,0,3,15,20,35,3,10,13,3,13,16,0,0,0,19,50,68,0,0,0,26,70,95,0,3,3,7,11,16,0,0,0,7,14,21,117,143,262,429,511,942
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,0,0,7,5,16,0,0,0,0,0,0,7,5,16,0,4,4,0,0,0,7,3,6,4,3,14,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,12,10,21,31,29,57
SSC70018,0,0,0,0,0,0,0,0,0,3,0,3,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,14,16,3,19
SSC70019,4,3,8,12,7,17,0,0,0,0,0,3,14,10,21,3,4,8,0,3,3,3,0,3,7,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,25,25,46,44,43,91
SSC70020,6,3,12,23,19,40,0,0,0,4,0,4,24,19,40,0,3,3,0,0,0,0,3,5,0,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,13,19,38,47,85
SSC70021,0,3,4,14,16,32,0,0,0,0,0,0,14,15,34,0,0,3,0,3,5,0,7,7,3,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,37,83,64,63,128
SSC70022,34,26,61,128,118,240,15,9,29,14,19,33,153,144,304,46,55,99,21,21,39,13,12,26,79,86,166,7,0,7,0,5,7,4,3,11,17,23,34,0,0,0,28,30,57,7,17,18,6,17,24,8,8,16,17,34,56,0,0,0,33,74,112,3,3,6,3,13,17,0,0,0,8,19,28,119,97,216,456,476,933
SSC70023,9,3,15,24,23,47,0,0,0,0,0,0,24,23,47,9,10,20,3,0,3,0,0,0,8,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,10,13,16,47,57,107
SSC70024,3,3,5,22,17,38,0,0,0,0,0,0,22,17,38,15,4,20,0,0,0,0,0,0,15,5,16,0,6,3,3,9,9,3,0,3,0,10,11,0,0,0,5,14,27,0,0,0,3,3,5,0,0,0,0,3,6,0,0,0,4,11,11,0,0,0,0,3,3,0,0,0,0,3,3,53,56,105,94,118,211
SSC70025,12,5,19,33,40,68,19,13,26,5,8,17,53,61,117,33,45,82,3,7,13,17,18,32,52,76,129,0,0,4,0,4,3,6,4,11,3,6,10,0,0,0,12,15,29,6,9,16,0,10,10,3,4,12,15,22,33,0,0,0,24,45,74,0,0,0,3,3,6,0,0,0,0,10,8,91,55,144,252,274,521
SSC70026,3,5,8,24,27,49,3,0,5,5,4,12,37,32,72,17,23,41,3,3,3,5,10,15,29,33,61,0,0,3,0,0,0,3,0,4,0,3,4,0,0,0,6,11,11,3,3,3,3,4,8,3,0,3,0,3,3,0,0,0,6,13,19,0,0,0,0,3,3,0,0,0,0,3,3,43,37,83,126,134,257
SSC70027,32,30,63,109,95,203,19,27,47,26,38,67,156,164,313,44,39,88,19,12,31,10,8,26,77,66,139,0,0,0,0,4,9,9,4,12,8,17,25,0,0,0,26,29,52,12,14,19,8,10,17,4,7,13,11,46,61,0,0,0,36,80,110,0,3,6,3,12,10,0,0,0,0,11,19,77,89,162,399,461,861
SSC70028,0,0,0,3,3,10,0,0,0,0,0,0,3,3,10,3,3,3,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,12,18,15,34
SSC70029,3,0,3,6,7,18,4,0,4,3,0,7,18,13,27,17,7,26,7,0,7,66,71,134,84,76,166,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,4,3,6,0,3,5,0,7,5,3,7,7,3,3,7,0,0,0,12,14,26,0,0,0,0,3,3,0,0,0,0,3,3,78,59,139,194,178,367
SSC70030,10,13,21,25,22,39,6,3,7,0,4,3,28,28,59,15,18,34,5,0,3,4,3,9,25,21,46,0,0,0,0,0,0,3,0,4,4,6,7,0,0,0,10,3,13,0,4,4,0,0,3,0,0,0,3,9,6,0,0,0,3,12,15,3,0,3,0,3,3,0,0,0,3,7,7,55,49,108,141,137,271
SSC70031,7,11,19,29,37,68,0,0,0,0,0,0,29,37,68,16,22,36,0,0,0,0,0,0,16,22,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,21,63,82,152
SSC70032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,4
SSC70033,0,0,3,19,8,31,0,0,3,0,0,0,23,10,29,3,7,13,0,0,0,0,3,3,4,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,13,37,25,61
SSC70034,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,18,11,16,27
SSC70035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70036,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,13,6,17
SSC70037,9,5,11,59,53,108,0,0,0,0,0,0,59,53,108,15,21,37,0,0,0,4,0,4,19,21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,4,0,0,0,0,0,3,0,0,0,0,3,11,0,0,0,0,3,3,0,0,0,3,3,4,53,44,100,143,129,268
SSC70038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,36,23,17,38
SSC70039,29,25,60,93,72,165,18,16,38,28,22,50,136,115,246,35,36,69,35,37,70,43,32,78,115,99,213,6,0,6,3,3,10,7,14,16,6,18,26,3,0,3,25,30,56,0,8,10,8,3,14,3,10,8,18,49,72,0,0,0,32,69,107,3,3,6,6,23,28,0,0,0,11,28,38,190,199,382,533,571,1103
SSC70040,10,3,13,25,31,56,4,5,7,0,7,7,31,42,78,25,18,43,3,5,9,12,5,11,35,27,68,3,0,3,3,0,4,3,3,8,0,3,6,0,0,0,12,9,16,48,40,94,62,37,100,5,0,8,17,24,40,0,0,0,131,101,234,0,0,0,0,4,7,0,0,0,4,4,9,104,63,172,333,253,590
SSC70041,0,0,0,3,0,10,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,3,11
SSC70042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70043,0,0,0,27,19,40,0,0,0,0,0,0,27,19,40,5,3,10,0,0,0,0,0,0,4,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,18,46,36,79
SSC70044,0,0,0,0,4,4,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,16,5,17,17
SSC70045,0,0,0,0,3,5,0,0,0,3,0,4,9,5,10,4,3,10,0,0,0,3,0,4,6,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,42,88,62,55,115
SSC70046,0,0,0,4,3,7,0,0,0,0,0,0,4,3,7,0,6,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,5,9,10,18,27
SSC70047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70048,0,0,0,3,3,7,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,7,10
SSC70049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70050,0,0,3,18,23,39,0,0,0,0,0,0,18,24,41,6,0,10,0,0,0,0,0,0,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,8,32,47,30,77
SSC70051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,3,3,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,30,23,56,34,18,51,0,6,4,4,6,10,0,0,0,70,51,119,0,0,0,0,6,6,0,0,0,0,6,4,46,33,81,124,95,215
SSC70052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,13,7,7,10
SSC70055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70056,0,3,3,9,5,13,0,0,3,0,0,0,12,9,18,0,3,3,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,20,11,37,41,29,69
SSC70057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,15,5,3,15
SSC70059,14,20,30,64,44,108,7,12,19,12,10,22,78,70,147,46,51,96,6,3,7,6,23,30,55,73,129,0,3,0,0,4,5,3,10,8,10,7,21,0,0,0,14,21,36,11,26,45,30,35,66,3,0,4,29,51,78,3,0,3,72,117,194,6,9,14,10,16,29,0,0,0,16,19,39,204,201,412,458,532,987
SSC70060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4
SSC70061,3,0,7,12,9,16,3,0,3,3,3,7,17,14,29,3,7,11,5,3,12,9,4,21,22,17,37,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,8,6,0,0,4,0,0,0,0,0,0,0,3,3,26,29,54,78,67,139
SSC70062,3,3,11,16,7,24,4,0,4,0,0,0,15,7,26,6,4,17,0,0,0,0,0,0,11,4,18,0,0,3,0,0,0,4,3,4,0,6,6,0,0,0,5,11,17,0,0,6,0,7,9,3,5,6,0,10,10,0,0,0,9,21,28,0,0,0,0,0,0,0,0,0,0,0,0,59,56,112,98,109,206
SSC70063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,5,3,10
SSC70064,0,0,3,0,0,0,0,0,0,3,0,3,4,0,4,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,8,6,14,18,12,27
SSC70065,4,12,19,62,47,105,10,0,13,0,3,3,67,55,120,28,31,66,9,13,21,0,0,0,42,48,88,3,0,3,0,0,0,0,0,3,3,9,8,0,0,0,5,6,16,0,0,0,0,0,3,0,0,0,6,14,17,0,0,0,4,10,17,0,0,0,0,3,4,0,0,0,0,3,4,114,83,195,245,221,463
SSC70066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,5,3,3
SSC70067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,9,0,7
SSC70069,0,0,0,20,14,42,0,0,0,3,3,3,29,17,48,3,3,6,0,0,0,0,0,3,8,3,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13,21,45,34,85
SSC70070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70071,3,3,4,3,4,9,0,0,0,0,0,0,3,4,9,0,0,0,0,5,5,0,3,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,16,23,16,34
SSC70072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70073,16,15,31,53,38,93,19,22,40,15,11,26,89,73,163,21,36,58,9,4,7,5,10,22,35,52,92,3,6,6,8,14,25,12,8,20,18,46,64,0,0,0,40,76,119,28,41,69,45,65,108,5,23,31,75,95,173,0,0,0,154,225,376,7,8,19,16,26,47,0,0,0,24,37,63,623,465,1084,988,943,1926
SSC70074,4,5,6,31,22,58,6,6,10,0,7,5,39,32,69,16,11,34,3,0,6,3,3,8,24,22,45,0,0,0,0,0,0,0,3,3,5,4,5,0,0,0,5,8,10,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,15,15,0,0,0,0,3,3,0,0,0,0,3,3,52,44,100,129,120,252
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70076,0,3,3,13,6,23,0,0,0,0,0,0,13,6,23,4,0,4,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,23,36,22,55
SSC70077,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,8,8,14
SSC70078,16,13,33,27,25,49,14,16,34,19,22,35,56,60,118,0,4,6,9,8,24,35,31,66,52,45,99,0,0,0,0,0,0,4,0,4,0,12,11,0,0,0,6,14,19,0,0,4,3,6,7,0,4,3,24,31,56,0,0,0,26,44,64,0,3,5,0,3,9,0,0,0,3,9,13,76,82,157,239,261,502
SSC70079,0,0,4,0,7,9,0,0,0,0,4,4,0,10,10,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,3,45,21,68,53,38,92
SSC70080,28,21,49,107,89,197,8,12,22,19,22,40,139,115,257,57,71,131,19,13,34,16,20,40,96,104,204,5,0,7,0,0,3,3,3,7,10,19,33,0,0,0,19,25,48,12,22,30,6,18,22,5,10,10,13,45,55,0,0,0,32,92,124,3,3,3,7,12,22,0,0,0,12,15,25,177,163,343,504,540,1038
SSC70081,0,3,3,4,5,9,0,0,0,0,0,0,4,5,9,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,12,3,17,16,15,31
SSC70082,0,0,0,0,0,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,11,6,13
SSC70083,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,8,8,12
