SSC_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
SSC70011,5,36,20,61,9,23,8,42,6,35,15,59,10,39,14,57,5,31,8,43,0,9,9,25,3,4,0,12,0,0,0,0,0,0,0,0,36,179,72,290,7,33,24,71,11,23,6,41,14,48,21,78,12,36,12,65,6,31,13,56,3,16,12,31,3,8,0,6,0,0,5,6,0,0,0,0,60,195,97,350,17,72,42,131,14,45,11,81,20,81,33,141,25,76,22,118,11,58,21,98,3,27,25,54,5,11,0,15,0,0,7,4,0,0,0,0,97,377,170,645
SSC70012,0,3,0,3,0,3,0,5,3,13,3,21,0,4,0,3,0,3,0,3,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,36,9,42,0,3,0,3,0,0,0,3,0,17,0,18,4,3,0,5,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,25,3,35,0,3,0,6,3,3,0,6,6,25,7,38,4,6,0,10,0,9,0,9,0,4,0,4,0,3,0,3,0,0,0,0,0,0,0,0,10,62,9,82
SSC70013,9,5,0,16,3,4,0,14,5,20,4,34,7,25,3,38,8,18,0,29,0,16,0,13,0,8,3,18,0,3,0,3,0,0,0,0,35,114,16,162,3,12,3,20,4,5,0,14,9,26,3,37,18,21,3,40,11,17,3,33,5,23,0,25,3,8,0,10,0,7,0,9,0,3,0,3,48,135,14,197,10,21,3,30,7,14,0,27,11,50,8,69,25,47,3,76,20,41,6,64,5,37,0,40,4,18,3,30,0,14,0,12,0,3,0,3,83,249,25,354
SSC70014,3,60,3,69,7,61,7,76,20,132,13,164,20,136,18,164,18,130,15,159,14,118,11,145,9,66,12,85,5,19,0,24,4,0,0,3,89,729,86,896,0,68,4,71,5,61,9,76,23,131,20,167,22,149,13,184,23,132,15,161,30,102,14,144,7,56,5,68,4,17,0,22,0,0,0,0,108,712,75,902,4,128,5,142,9,125,14,147,40,264,36,336,38,280,26,350,38,257,22,325,42,224,26,290,14,122,17,155,11,37,4,45,4,3,0,4,199,1442,158,1799
SSC70015,6,77,12,91,3,59,13,79,4,163,16,185,10,158,11,184,20,154,20,196,8,144,19,171,6,47,3,54,4,18,5,24,0,3,0,3,65,827,99,991,0,58,10,69,4,52,14,68,9,188,20,223,24,171,20,214,27,161,27,211,16,123,20,164,8,50,8,65,0,19,4,18,0,3,4,7,87,829,129,1041,7,139,20,163,3,115,24,141,15,354,37,407,37,332,36,404,47,315,42,409,23,269,39,329,10,99,11,118,3,33,8,49,0,6,3,11,150,1659,222,2028
SSC70016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70017,0,8,0,7,3,3,5,13,4,10,3,14,3,6,0,9,0,3,0,3,0,4,4,13,0,6,0,4,0,0,0,0,0,0,0,0,16,37,16,73,0,0,0,3,7,7,9,20,7,9,0,16,3,7,0,15,4,11,0,10,7,10,0,12,4,3,0,8,0,3,0,0,0,0,0,0,33,46,13,89,3,7,6,15,11,5,11,34,16,17,3,33,13,17,0,29,4,11,0,14,9,15,4,25,6,8,0,15,0,3,0,0,0,0,0,0,47,85,27,161
SSC70018,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,9,0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,19
SSC70019,0,6,6,9,0,0,0,7,3,18,0,18,0,17,6,28,4,16,0,20,0,19,0,17,0,5,0,8,0,0,0,0,0,0,0,0,12,85,8,105,0,4,0,11,0,3,4,7,7,19,3,26,0,14,0,14,3,16,0,14,3,15,3,25,0,8,0,8,0,0,0,0,0,0,0,0,18,82,12,109,3,15,5,19,3,3,4,12,5,34,3,47,0,29,9,43,5,30,0,37,7,30,3,39,0,13,0,18,0,0,0,0,0,0,0,0,31,163,19,215
SSC70020,0,6,0,7,0,8,3,9,3,10,0,10,4,10,3,17,0,9,0,13,0,11,0,11,0,0,0,3,0,0,0,3,0,0,0,0,13,49,10,72,0,8,0,8,3,3,0,9,5,15,0,25,0,11,0,11,3,3,0,9,0,5,0,8,0,4,3,4,0,0,0,0,0,0,0,0,15,57,7,77,0,11,0,15,3,14,3,17,13,27,0,39,4,26,3,29,3,17,0,21,0,13,3,17,0,3,3,11,0,0,0,6,0,0,0,0,22,110,15,146
SSC70021,0,5,3,8,0,9,9,24,0,9,21,33,0,4,6,13,3,8,4,13,0,9,0,7,0,0,0,3,0,4,0,5,0,0,0,0,8,46,51,99,0,4,0,6,0,10,4,13,0,11,13,22,4,9,5,11,0,12,3,19,0,3,3,7,0,7,0,5,0,0,0,0,0,0,0,0,8,47,29,91,0,6,4,14,0,16,19,33,3,22,30,52,3,9,10,27,3,18,6,30,0,14,6,17,0,5,0,8,0,4,0,5,0,0,0,0,9,94,79,187
SSC70022,6,69,10,83,3,105,11,115,12,281,30,322,14,223,22,253,11,180,20,208,8,103,15,126,4,28,6,40,0,10,0,10,0,0,0,0,62,998,107,1172,4,85,3,92,8,112,8,128,26,253,22,298,30,231,26,286,30,164,12,203,21,86,13,120,4,41,3,44,3,18,0,22,0,0,0,0,125,987,90,1202,11,148,15,177,13,211,15,240,36,536,48,626,44,450,46,542,41,346,28,411,29,190,34,250,13,67,12,85,3,31,0,39,0,3,0,4,186,1986,198,2371
